date,id,name,category,A轉跌幅,回彈,20日跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3,昨日A轉跌幅,漲跌幅,成交量,20日最高成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離
2024-12-24,5269,祥碩,半導體業,-2.91,0.96,-27.34,2000.0,-16.0,63.0,2.86,42.15,29.72,國泰證券,7.32%,富邦證券,5.92%,統一-中壢,3.75%,-1.48,0.0,1148.48,3461.91,-2.69,0.5,0.0,25.0,1.25,2025.0,2000.0,1239.1,630.09,-43.0,-190.0,3.0,-4.0,5.0,1.0,29.0,19.0,-1.25,3.0,4.0,-37.0,-36.0,-0.05,9.17,-167.0,-0.24,21.69,13.0,0.02,1.65,0.09,-0.15,1.19,1.74,1.0,6.0,12.0,-0.49,-0.75,-0.64,-0.03,0.85,2.14,-7.0,30.0,152.5,285.58
2024-12-24,2383,台光電,電子零組件業,-3.09,0.96,-26.89,595.0,643.0,-322.0,8.91,49.98,56.73,摩根大通,7.05%,台灣摩根士丹利,6.13%,美商高盛,3.46%,-0.98,-2.14,4340.35,13949.49,0.33,-3.4,2.01,7.0,0.33,610.0,608.0,8549.35,5867.53,1061.0,127.0,3.0,81.0,-169.0,-58.0,180.0,130.0,-1.72,1.0,-305.0,61.0,-1071.0,-0.31,12.65,1224.0,0.36,33.11,-26.0,-0.01,1.35,-0.09,-0.91,-0.47,0.04,1.0,5.0,12.0,2.26,4.21,8.1,0.47,1.89,5.64,-11.2,-3.4,40.25,119.24
2024-12-24,6691,洋基工程,其他電子業,-4.25,1.0,-25.97,394.5,157.0,-72.0,43.81,88.73,-7.09,台灣摩根士丹利,13.9%,美商高盛,7.53%,凱基-台北,2.73%,-1.21,-3.07,770.42,3438.42,0.74,-2.08,1.88,0.0,0.98,411.0,407.0,722.62,805.99,298.0,1.0,1.0,0.0,-4.0,-10.0,-12.0,3.0,-inf,1.0,-10.0,-17.0,-158.0,-0.18,16.36,177.0,0.2,10.18,-18.0,-0.02,0.12,-0.08,-0.02,-0.54,-0.36,3.0,5.0,7.0,1.12,2.78,4.05,0.59,1.24,2.02,-8.3,-0.15,31.45,66.97
2024-12-24,2404,漢唐,其他電子業,-3.57,0.75,-16.3,445.5,9.0,-140.0,-12.77,-44.70,-32.85,摩根大通,4.73%,台灣摩根士丹利,4.58%,兆豐證券,3.98%,-1.83,-2.52,1335.36,4481.75,-2.52,-0.86,-0.87,19.5,1.09,462.0,457.0,1712.92,1466.42,58.0,-122.0,2.0,-10.0,-3.0,-24.0,1.0,10.0,1.4,2.0,-49.0,-9.0,-108.0,-0.06,24.86,4.0,0.0,25.38,-18.0,-0.01,5.64,-0.07,0.61,0.89,0.58,4.0,7.0,11.0,-0.54,-0.17,0.78,0.04,0.57,2.24,-15.6,-15.5,-5.62,60.9
2024-12-24,6223,旺矽,半導體業,-2.92,0.83,-24.62,864.0,-80.0,-203.0,1.02,43.64,24.72,美商高盛,2.18%,群益金鼎,1.98%,台灣摩根士丹利,1.91%,-1.35,-1.59,1516.97,7641.85,-2.72,-2.35,0.69,40.0,1.25,889.0,878.0,1305.02,1040.5,-120.0,-295.0,0.0,-2.0,-32.0,-10.0,3.0,74.0,4.0,3.0,33.0,55.0,-197.0,-0.21,19.55,-90.0,-0.1,26.25,-8.0,-0.01,0.29,-0.22,-0.12,0.11,0.61,3.0,6.0,11.0,-0.66,0.51,3.41,-0.74,0.58,3.03,-21.0,-13.3,17.55,51.87
2024-12-24,3665,貿聯-KY,其他電子業,-3.53,0.2,-19.51,601.0,-144.0,-234.0,-0.01,18.54,4.26,美商高盛,8.37%,凱基-台北,7.67%,美林,5.23%,-2.54,-1.96,2579.92,9528.93,3.61,-1.74,-1.13,115.0,0.49,616.0,613.0,3518.22,2048.93,-129.0,655.0,1.0,-19.0,-27.0,-103.0,-160.0,371.0,4.42,3.0,29.0,-5.0,-281.0,-0.17,20.19,951.0,0.58,38.84,-15.0,-0.01,1.82,-0.14,-2.82,-3.1,-2.95,0.0,2.0,7.0,2.25,1.82,2.77,-0.81,-0.9,-1.09,-13.8,-50.7,-62.15,41.12
2024-12-24,3211,順達,電腦及週邊設備業,-4.1,0.44,-33.75,187.0,-2199.0,-364.0,37.94,-39.39,-18.69,凱基-台北,1.28%,永豐金-復興,0.86%,華南永昌,0.86%,-5.76,-0.53,17367.55,61088.33,1.64,2.7,-1.31,45.0,1.06,190.0,188.0,21823.15,29548.17,-2353.0,-405.0,4.0,-79.0,158.0,28.0,-81.0,158.0,-1.35,4.0,-641.0,586.0,6.0,0.0,13.33,-470.0,-0.31,13.25,59.0,0.04,2.42,-0.24,2.6,2.63,7.59,5.0,6.0,11.0,-5.38,-4.21,-9.59,-1.88,-3.8,-5.81,0.3,-0.85,-9.3,40.64
2024-12-24,2379,瑞昱,半導體業,-1.85,0.86,-15.52,532.0,145.0,35.0,-2.52,11.73,18.64,美商高盛,21.7%,台灣摩根士丹利,14.4%,新加坡商瑞銀,9.84%,-0.92,-0.93,985.54,5565.28,-2.37,-1.12,1.51,12.0,0.74,541.0,537.0,3112.15,1516.55,400.0,207.0,1.0,2.0,-4.0,-2.0,-4.0,8.0,-2.0,2.0,-43.0,5.0,-267.0,-0.05,14.42,498.0,0.1,51.24,-24.0,-0.0,2.3,0.01,-0.1,0.02,0.4,2.0,6.0,15.0,0.34,0.85,1.42,0.04,0.27,0.74,-4.2,-2.5,15.15,36.33
2024-12-24,3450,聯鈞,半導體業,-1.69,0.92,-16.27,262.5,577.0,1450.0,-8.98,62.55,36.36,摩根大通,3.56%,凱基-台北,2.33%,美商高盛,1.81%,-2.08,1.35,20553.1,42610.94,3.21,-0.58,1.37,3.5,0.97,261.5,259.0,27077.12,20505.31,847.0,1797.0,5.0,26.0,80.0,77.0,-488.0,546.0,1.96,4.0,-62.0,42.0,216.0,0.15,13.52,1478.0,1.01,18.99,103.0,0.07,1.78,1.0,1.08,2.74,4.67,4.0,7.0,16.0,4.28,1.85,-0.88,5.56,4.58,3.86,5.9,12.65,14.57,29.28
2024-12-24,8299,群聯,半導體業,-1.32,1.0,-11.13,487.5,583.0,874.0,16.60,-19.85,26.43,統一,14.55%,康和,12.9%,富邦證券,5.59%,-0.1,1.67,3884.35,4241.49,-1.47,-0.85,3.34,0.0,-0.1,479.0,479.5,2678.7,2936.97,647.0,972.0,2.0,11.0,-3.0,6.0,-35.0,11.0,-0.45,2.0,-59.0,-102.0,1343.0,0.66,14.17,-423.0,-0.21,29.45,52.0,0.03,1.83,0.43,3.74,6.36,7.52,5.0,9.0,15.0,-3.06,-4.71,-6.38,0.68,1.32,0.93,12.7,17.45,24.82,20.77
