id,name,category,收盤價,漲跌幅,投信持股比例,投信買賣超%,投信買賣超(張),投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資持股比例,外資買賣超(張),外資買賣超%,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%
1101,台泥,水泥工業,36.85,-1.21,3.09,0.02,1148.0,0.06,0.05,-0.14,4.0,7.0,10.0,19.06,-13239.0,-0.19,-0.68,-0.85,-0.66,0.0,1.0,,0.0,2.81,-12273.0,-0.17,-0.58,-0.7,-0.66,-8.13,-3.61,11.90
1102,亞泥,水泥工業,43.85,-0.23,4.31,0.0,52.0,0.06,0.09,-0.0,5.0,10.0,12.0,17.74,-983.0,-0.03,-0.21,-0.21,-0.11,0.0,2.0,,0.0,5.16,-499.0,-0.01,-0.03,0.0,-0.04,-7.84,-14.21,-8.79
1104,環泥,水泥工業,29.55,-0.67,0.02,0.0,1.0,0.0,0.0,-0.0,5.0,7.0,10.0,15.61,-404.0,-0.06,-0.44,-0.41,0.81,0.0,3.0,,-0.0,0.19,-437.0,-0.07,-0.4,-0.42,-0.09,-9.95,5.45,14.44
1109,信大,水泥工業,18.05,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,-35.0,-0.01,-0.08,-0.08,-0.1,1.0,2.0,,-0.04,0.42,-78.0,-0.02,-0.07,-0.09,-0.12,-17.67,-12.72,0.86
1201,味全,食品工業,19.9,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93,-132.0,-0.03,-0.19,-0.33,-0.62,0.0,1.0,,-0.01,0.45,-135.0,-0.03,-0.18,-0.43,-0.54,2.23,2.58,6.03
1203,味王,食品工業,42.8,-2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,1.0,0.0,-0.01,-0.01,0.04,4.0,5.0,,-0.0,0.07,0.0,0.0,0.0,0.0,0.0,-13.99,-10.01,-0.09
1210,大成,食品工業,52.5,1.35,0.18,0.01,100.0,0.01,0.06,0.0,5.0,8.0,10.0,11.04,242.0,0.03,0.16,0.34,0.3,4.0,8.0,,0.02,0.48,84.0,0.01,-0.02,0.22,0.12,-9.26,-5.97,2.61
1213,大飲,食品工業,6.55,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,0.0,0.01,-122.19,-107.26,-39.53
1215,卜蜂,食品工業,91.9,0.0,3.18,0.0,1.0,-0.16,0.15,2.55,3.0,5.0,13.0,39.17,-126.0,-0.04,-0.22,-0.43,-0.71,0.0,2.0,,-0.0,0.54,67.0,0.02,-0.4,-0.6,0.19,-3.90,3.69,4.31
1225,福懋油,食品工業,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,-21.0,-0.01,-0.01,-0.01,0.0,0.0,3.0,,-0.0,0.06,0.0,0.0,0.0,0.0,-0.0,-7.48,-13.55,-0.47
1234,黑松,食品工業,39.65,-2.94,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,6.1,-123.0,-0.03,0.02,-0.17,0.02,3.0,5.0,,-0.0,0.14,-24.0,-0.01,-0.06,-0.25,-0.04,6.69,10.02,19.64
1303,南亞,塑膠工業,69.0,0.44,3.09,-0.0,-39.0,-0.02,-0.03,-0.03,0.0,1.0,5.0,29.29,-1535.0,-0.02,-0.2,-0.36,-0.44,0.0,0.0,,-0.0,0.77,-1869.0,-0.02,-0.21,-0.34,-0.33,-12.41,-38.45,-34.20
1307,三芳,塑膠工業,23.25,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,11.6,78.0,0.02,-0.12,0.3,0.28,2.0,6.0,,-0.0,0.19,3.0,0.0,-0.12,-0.13,-0.17,-11.51,-15.03,-7.85
1319,東陽,汽車工業,51.3,-1.16,0.11,-0.0,-2.0,-0.0,0.0,0.0,1.0,4.0,6.0,23.04,-883.0,-0.15,-0.22,-0.32,-0.31,1.0,3.0,,-0.03,0.8,-793.0,-0.13,-0.25,-0.48,-0.64,3.05,-0.86,6.76
1321,大洋,塑膠工業,34.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,-13.0,-0.01,-0.03,-0.03,0.06,0.0,3.0,,-0.0,0.19,1.0,0.0,0.0,0.0,-0.01,-18.11,-46.09,-32.89
1338,廣華-KY,汽車工業,43.0,-1.26,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,8.03,-70.0,-0.08,-0.07,-0.06,-0.27,1.0,4.0,,-0.0,0.16,-59.0,-0.07,-0.23,-0.25,-0.26,1.84,-32.63,-26.03
1339,昭輝,汽車工業,45.5,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,-5.0,-0.01,0.05,0.15,0.18,2.0,6.0,,-0.01,0.28,-11.0,-0.01,0.01,-0.02,-0.24,-17.68,-10.13,-5.35
1402,遠東新,紡織纖維,32.0,-0.16,6.72,0.01,760.0,0.08,0.08,0.04,5.0,7.0,11.0,16.28,-3105.0,-0.06,-0.38,-0.41,-0.43,0.0,1.0,,-0.0,1.07,-651.0,-0.01,-0.1,-0.11,0.01,0.88,-9.43,-5.89
1416,廣豐,其他,11.2,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.27,-75.0,-0.04,-0.25,-0.39,-0.07,0.0,0.0,,-0.0,0.21,5.0,0.0,-0.07,-0.16,-0.16,-12.33,-51.58,7.61
1417,嘉裕,紡織纖維,13.9,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,98.0,0.05,0.08,0.48,0.78,3.0,7.0,,-0.0,0.28,32.0,0.02,-0.06,0.19,0.3,-39.70,-9.98,12.82
1440,南紡,紡織纖維,16.15,-0.31,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6.51,-282.0,-0.02,-0.04,-0.02,-0.03,1.0,5.0,,-0.0,0.36,-216.0,-0.01,-0.06,-0.07,-0.08,-5.90,-11.15,-7.97
1444,力麗,紡織纖維,11.3,0.89,0.08,0.01,103.0,0.07,0.07,0.07,5.0,5.0,5.0,6.2,1564.0,0.16,0.3,0.37,0.57,4.0,6.0,,-0.0,0.25,1182.0,0.12,0.16,0.01,0.16,-16.02,-40.86,-32.46
1446,宏和,紡織纖維,36.45,1.96,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.28,3.0,0.0,0.02,0.11,0.05,3.0,7.0,,-0.01,0.07,-14.0,-0.01,-0.04,-0.04,-0.39,-49.44,-13.50,7.83
