id,name,category,收盤價,漲跌幅,月增率%,年增率%,累計年增率%,投信持股比例,投信買賣超%,投信買賣超(張),投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資持股比例,外資買賣超(張),外資買賣超%,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,投信5賣N天,投信10賣N天,投信20賣N天,20漲跌幅,60漲跌幅
1101,台泥,水泥工業,20.4,-2.16,,,,0.3,-0.0,-139.0,-0.0,-0.0,-0.0,1.0,3.0,3.0,17.74,-7709.0,-0.1,-0.47,-0.34,-1.14,1.0,6.0,,-0.0,2.66,-9086.0,-0.12,-0.48,-0.43,-1.18,2.0,2.0,4.0,-11.5,-17.07
1102,亞泥,水泥工業,37.55,1.08,,,,7.37,0.01,194.0,0.02,-0.03,-0.23,3.0,3.0,4.0,21.07,5.0,0.0,0.15,0.35,0.2,5.0,10.0,,0.02,8.38,986.0,0.03,0.11,0.19,-0.05,2.0,7.0,16.0,-0.27,-1.57
1103,嘉泥,水泥工業,13.3,-0.37,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,15.0,0.0,0.03,0.12,0.01,4.0,8.0,,0.0,0.24,-2.0,-0.0,-0.0,0.03,0.02,0.0,0.0,0.0,-1.85,-2.92
1104,環泥,水泥工業,29.75,0.17,,,,0.06,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,16.57,-41.0,-0.01,-0.08,-0.06,0.07,1.0,4.0,,-0.0,0.2,-32.0,-0.0,-0.14,-0.13,-0.07,1.0,3.0,6.0,-8.74,-9.16
1108,幸福,水泥工業,14.9,-0.33,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,-3.0,-0.0,-0.0,0.01,0.03,4.0,8.0,,0.0,0.08,8.0,0.0,-0.01,-0.03,-0.03,0.0,0.0,0.0,-1.32,-3.87
1109,信大,水泥工業,15.35,-1.29,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,4.0,0.0,0.01,0.01,0.01,3.0,7.0,,0.0,0.37,-18.0,-0.01,-0.0,0.0,-0.03,0.0,0.0,0.0,-2.54,-4.06
1110,東泥,水泥工業,16.15,-2.12,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91,17.0,0.0,0.0,0.02,-0.0,1.0,4.0,,0.0,0.03,-5.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-5.56,-9.27
1201,味全,食品工業,14.8,-0.67,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,-47.0,-0.01,-0.05,-0.06,-0.04,1.0,3.0,,-0.0,0.42,-50.0,-0.01,-0.05,-0.04,-0.07,0.0,0.0,0.0,-3.27,-5.73
1203,味王,食品工業,39.5,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,1.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.88,-2.47
1210,大成,食品工業,51.0,-1.54,,,,3.36,0.01,96.0,0.02,0.0,-0.11,3.0,5.0,7.0,10.94,-1222.0,-0.14,-0.26,0.03,-0.93,2.0,6.0,,0.01,0.41,-1051.0,-0.12,-0.17,0.03,-0.81,2.0,5.0,13.0,-8.11,-8.11
1213,大飲,食品工業,10.0,-0.99,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.42,-22.18
