id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),融資增加,投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
1101,台泥,水泥工業,33.65,-1.17,-0.59,33.45,33.7,0.15,-0.3,31251.8,-3749.0,4.0,95.0,99.0,0.04,3.0,601.0,114.0,-0.81,-1764.0,-0.02,5.49,-2001.0,-0.03,19.43,16.0,0.0,2.66,-3971.0,-0.06,-0.22,-0.44,-0.42,0.0,0.0,7.0,-0.1,-0.3,-1.37,2.0,4.0,6.0,-0.24,-0.58,-1.41,,,,-0.07,0.31,0.57,0.04,美林,6.65%,群益金鼎,3.6%,國泰證券,2.84%
1102,亞泥,水泥工業,40.85,0.12,0.0,40.85,41.2,0.86,0.0,4516.86,1507.0,3.0,36.0,-40.0,-2.11,3.0,11.0,-63.0,-6.73,-17.0,-0.0,6.09,1765.0,0.05,16.14,-241.0,-0.01,4.92,421.0,0.01,-0.01,-0.04,-0.06,1.0,2.0,5.0,-0.03,-0.04,0.11,3.0,6.0,12.0,-0.12,-0.17,-0.09,,,,0.16,0.26,0.75,1.13,美商高盛,16.91%,新加坡商瑞銀,10.1%,凱基-台北,8.57%
1103,嘉泥,水泥工業,18.05,1.12,0.0,18.05,18.4,1.94,-0.54,367.68,-27.0,2.0,4.0,0.0,-1.0,1.0,-6.0,-12.0,1.0,0.0,0.0,0.0,-25.0,-0.0,5.27,-2.0,-0.0,0.2,135.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.08,4.0,9.0,16.0,0.04,0.05,0.07,,,,0.51,0.81,1.21,1.48,國票-南崁,30.43%,日盛-雙和,27.17%,永豐金-北高雄,6.25%
1104,環泥,水泥工業,22.25,-0.45,0.22,22.3,22.6,1.57,-1.31,1124.43,81.0,0.0,0.0,0.0,,4.0,140.0,-24.0,-1.17,0.0,0.0,0.0,47.0,0.01,13.23,34.0,0.01,0.13,7.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.06,0.09,0.05,4.0,7.0,11.0,0.06,0.07,0.12,,,,0.4,0.7,1.1,1.68,群益金鼎-永和,5.34%,兆豐-新營,4.45%,元大證券,4.36%
1108,幸福,水泥工業,10.95,-0.45,0.91,11.05,11.0,0.46,-0.45,96.77,7.0,0.0,0.0,0.0,,0.0,-36.0,-7.0,-0.81,0.0,0.0,0.0,7.0,0.0,1.03,0.0,0.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,4.0,7.0,13.0,0.01,-0.0,0.04,,,,0.07,0.22,0.29,0.51,花旗環球,15.46%,臺銀-臺中,10.31%,群益金鼎-永和,7.22%
1109,信大,水泥工業,16.5,3.45,0.61,16.6,16.55,0.3,-0.6,90.08,-20.0,0.0,0.0,0.0,,3.0,-6.0,-11.0,0.83,0.0,0.0,0.0,-19.0,-0.01,3.39,-1.0,-0.0,0.34,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,3.0,4.0,9.0,0.03,0.02,-0.0,,,,0.46,0.71,0.9,0.85,第一金-桃園,15.56%,日盛-花蓮,11.11%,日盛-景美,11.11%
1110,東泥,水泥工業,17.9,-0.83,0.0,17.9,17.75,-0.84,-0.84,57.65,2.0,0.0,0.0,0.0,,4.0,29.0,4.0,-0.86,0.0,0.0,0.0,2.0,0.0,6.71,0.0,0.0,0.12,-1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.06,4.0,6.0,14.0,0.0,-0.0,0.0,,,,-0.14,-0.1,-0.22,-0.11,永豐金-板橋,13.79%,花旗環球,10.34%,群益金鼎-竹南,10.34%
1201,味全,食品工業,19.15,-0.52,0.0,19.15,19.2,0.26,-0.26,271.31,76.0,0.0,0.0,0.0,,1.0,0.0,-8.0,-inf,0.0,0.0,0.0,77.0,0.02,10.66,-1.0,-0.0,0.36,-44.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.02,4.0,8.0,11.0,-0.01,0.02,-0.02,,,,0.02,0.06,0.26,0.13,摩根大通,21.03%,台灣摩根士丹利,6.27%,瑞士信貸,6.27%
1203,味王,食品工業,34.4,0.58,0.0,34.4,34.25,-0.44,-0.72,22.86,12.0,0.0,0.0,0.0,,1.0,-1.0,-16.0,15.0,0.0,0.0,0.0,12.0,0.01,1.92,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,4.0,8.0,14.0,0.0,0.0,0.01,,,,-0.05,,,,摩根大通,39.13%,國票-安和,21.74%,花旗環球,21.74%
1210,大成,食品工業,44.75,0.0,0.0,44.75,44.85,0.22,-1.1,880.98,-27.0,1.0,0.0,-1.0,-inf,1.0,-10.0,0.0,-1.0,0.0,0.0,0.06,-20.0,-0.0,10.02,-7.0,-0.0,0.17,-110.0,-0.01,0.0,0.0,0.0,1.0,2.0,10.0,0.04,0.12,-0.04,2.0,7.0,10.0,-0.07,-0.13,-0.23,,,,0.27,0.76,1.48,0.9,兆豐-新竹,5.68%,元大-林森,5.22%,凱基-台北,4.43%
