id,name,category,月增率%,年增率%,累計年增率%,5日漲跌幅,收盤價,漲跌幅,A轉跌幅,成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日A轉跌幅,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
1101,台泥,水泥工業,,,,6.01,26.2,4.8,-0.95,80518.85,0.0,0.2,0.0,,0.0,25.0,-1.19,38299.48,36085.55,0.98,1.56,2.46,3.6
1102,亞泥,水泥工業,,,,-1.46,36.8,0.0,-0.67,10104.56,-1.99,-0.27,0.14,,-0.54,36.6,-0.41,7642.46,4668.16,-0.16,-0.23,-0.13,-0.44
1103,嘉泥,水泥工業,,,,1.79,14.1,-0.35,-0.7,364.69,0.72,0.71,0.0,,-1.77,13.9,0.0,339.58,212.6,0.02,0.1,0.1,0.39
1104,環泥,水泥工業,,,,-0.33,30.25,0.0,-0.82,367.66,-0.16,-0.16,-0.82,,-0.5,30.1,-1.14,339.79,426.55,-0.18,0.06,0.12,-0.53
1108,幸福,水泥工業,,,,1.33,15.15,0.33,-0.33,294.55,0.33,0.33,0.0,,0.0,15.1,-0.33,185.8,155.99,0.07,0.15,0.19,0.19
1109,信大,水泥工業,,,,0.97,15.55,0.0,-0.32,162.87,0.0,0.0,0.65,,-0.32,15.5,0.0,91.37,156.12,0.06,0.09,0.06,0.01
1110,東泥,水泥工業,,,,0.6,16.55,0.3,-0.6,346.5,-1.51,0.92,0.3,,-0.91,16.35,0.0,323.16,760.45,0.08,0.12,0.1,0.0
1201,味全,食品工業,,,,1.74,14.6,1.04,0.0,742.49,0.7,0.35,-0.34,,-0.35,14.4,-0.34,160.74,280.06,0.13,0.14,0.06,-0.23
1203,味王,食品工業,,,,-0.13,39.5,-0.25,-0.25,13.24,-0.13,0.76,-0.75,,-1.01,39.2,-0.75,5.56,9.63,-0.15,-0.13,-0.18,-0.16
1210,大成,食品工業,,,,2.51,52.3,0.19,-1.32,2078.43,0.19,1.16,-0.38,,-0.38,52.0,-0.57,971.52,1185.52,0.22,0.53,0.87,0.21
1213,大飲,食品工業,,,,0.0,9.99,-0.1,-0.1,11.18,-1.0,5.56,-4.31,,0.0,10.0,-0.99,11.3,18.04,-0.08,-0.05,-0.32,-0.48
1215,卜蜂,食品工業,,,,2.31,150.5,-3.22,-2.9,948.82,-1.98,0.0,4.71,,-0.96,154.0,-1.58,926.84,2811.8,-0.4,5.17,11.18,11.3
1216,統一,食品工業,,,,-0.92,74.7,-0.93,-0.93,10023.52,-0.79,0.66,-0.79,,0.0,75.4,-0.53,7694.66,14556.78,-0.84,-0.8,-2.18,-1.85
1217,愛之味,食品工業,,,,2.39,10.6,0.0,-0.93,927.89,0.96,0.95,-0.47,,0.0,10.6,-0.93,846.21,558.63,0.03,0.09,0.09,0.2
1218,泰山,食品工業,,,,1.64,18.5,0.82,-0.54,1021.18,0.27,0.27,-0.27,,-0.27,18.3,-0.54,516.57,462.26,0.12,0.19,0.27,0.26
1219,福壽,食品工業,,,,0.37,13.5,-0.37,-0.74,306.41,0.37,0.74,-1.09,,-0.74,13.45,-1.09,347.98,411.21,-0.08,0.0,0.02,-0.11
1220,台榮,食品工業,,,,4.8,13.05,3.98,-0.38,1558.25,0.4,0.0,0.0,,-0.8,12.45,0.0,172.6,173.48,0.41,0.45,0.49,0.4
1225,福懋油,食品工業,,,,1.6,28.3,-0.88,-1.22,292.38,0.53,1.06,-0.35,,0.18,28.6,-1.38,105.82,182.03,-0.11,0.02,-0.41,-1.57
1227,佳格,食品工業,,,,0.51,29.45,-0.17,-0.67,1056.47,0.51,-0.17,-0.34,,0.0,29.5,-0.67,601.48,1028.22,-0.09,-0.16,-0.59,-1.16
1229,聯華,食品工業,,,,1.4,46.7,-0.11,-0.95,1813.91,1.61,-0.63,-0.43,,-0.53,46.5,-0.95,1084.38,1483.39,-0.13,0.07,-0.49,-0.87
1231,聯華食,食品工業,,,,0.74,94.2,-0.74,-0.84,342.75,0.64,0.84,-0.84,,0.0,94.9,-1.56,203.87,380.68,-0.6,-0.51,-2.08,-5.84
1232,大統益,食品工業,,,,0.34,146.0,-0.34,-0.34,51.06,0.34,-0.34,0.34,,-0.34,146.0,0.0,45.52,37.59,-0.2,0.56,1.0,1.11
1233,天仁,食品工業,,,,0.47,32.35,0.0,0.0,17.07,0.31,0.0,0.15,,0.0,32.35,0.0,15.0,13.23,0.05,0.14,0.26,0.78
1234,黑松,食品工業,,,,0.81,37.2,-0.67,-0.8,129.63,0.4,0.4,-0.13,,0.0,37.45,-0.4,82.69,126.96,-0.14,-0.16,-0.4,-0.4
1235,興泰,食品工業,,,,-0.44,43.5,-2.79,-2.9,41.31,0.67,0.22,-1.43,,0.0,44.75,0.0,11.0,14.78,-1.29,-1.46,-2.19,-4.66
1236,宏亞,食品工業,,,,-1.4,24.55,-0.61,-0.41,62.85,-0.6,-0.6,0.0,,-0.61,24.55,0.0,77.75,71.62,-0.21,-0.51,-0.9,-0.78
1256,鮮活果汁-KY,食品工業,,,,2.75,157.0,-4.85,-6.55,108.79,2.45,-0.3,-1.2,,1.82,168.0,-2.94,37.35,57.62,-7.0,-3.11,6.5,12.08
1301,台塑,塑膠工業,,,,9.33,43.7,1.63,-0.57,34318.61,2.11,3.78,0.94,,0.0,43.0,-0.92,57892.47,42821.74,1.59,1.99,3.22,3.33
1303,南亞,塑膠工業,,,,30.39,79.4,7.59,-2.1,362661.42,1.93,9.94,5.88,,2.3,75.5,0.0,226595.28,370162.87,9.7,11.98,16.7,23.56
1304,台聚,塑膠工業,,,,3.91,11.85,2.16,-0.84,5985.17,0.43,3.03,-2.52,,-0.86,11.5,-3.33,10626.42,5242.2,0.17,0.37,0.58,0.81
1305,華夏,塑膠工業,,,,10.92,12.35,3.78,-2.76,6834.86,1.31,6.47,-3.64,,0.84,12.0,-4.42,8438.46,4044.89,0.42,0.67,1.01,1.09
1307,三芳,塑膠工業,,,,5.94,32.8,2.66,-0.61,1005.99,3.21,0.0,-0.62,,0.0,31.95,-1.39,524.93,559.24,0.76,0.86,0.5,0.32
1308,亞聚,塑膠工業,,,,4.81,14.0,1.45,-1.06,1920.23,1.85,2.18,-1.78,,0.0,13.8,-2.47,3579.44,1996.51,0.18,0.41,0.58,0.82
1309,台達化,塑膠工業,,,,3.81,12.05,1.26,-1.63,1135.1,0.42,2.53,-2.06,,0.42,11.95,-3.25,2624.45,1429.77,0.1,0.3,0.58,0.77
1310,台苯,塑膠工業,,,,2.62,8.96,1.59,-0.67,2846.65,1.59,3.02,-4.13,,0.0,8.82,-4.03,5235.77,6903.04,0.02,0.09,0.23,0.19
1312,國喬,塑膠工業,,,,6.51,13.55,0.37,-2.52,10057.44,-1.53,7.0,-1.82,,0.0,13.5,-3.23,34712.32,14965.21,0.21,0.68,1.43,2.27
1313,聯成,塑膠工業,,,,4.31,10.75,2.38,-1.38,3979.65,0.48,2.86,-2.78,,-0.95,10.4,-3.23,6276.85,3322.86,0.15,0.32,0.44,0.41
1314,中石化,塑膠工業,,,,3.97,8.33,2.46,-0.72,30867.72,0.87,1.6,-1.69,,-0.12,8.12,-1.81,28872.26,18965.38,0.14,0.22,0.35,0.25
1315,達新,塑膠工業,,,,1.72,64.7,-0.46,-0.46,87.27,-0.16,0.16,1.72,,-0.15,64.9,-0.76,82.07,60.52,0.44,0.58,0.54,0.27
1316,上曜,建材營造,,,,0.34,14.45,1.4,-1.03,4270.82,2.41,-1.34,-3.06,,0.0,14.25,-3.06,2772.93,5339.08,-0.12,-0.17,-0.69,-0.73
1319,東陽,汽車工業,,,,19.12,110.0,-1.79,-3.51,7758.64,3.03,6.49,6.67,,0.0,112.0,-0.44,11478.79,15936.9,5.74,10.01,11.84,13.07
1321,大洋,塑膠工業,,,,-1.3,33.3,-2.63,-2.49,568.71,0.0,-1.16,0.0,,-1.02,33.85,-0.44,280.27,110.6,-0.88,-1.21,-1.47,-2.15
1323,永裕,塑膠工業,,,,-1.05,18.7,-0.8,-0.53,94.81,-0.26,-0.26,-0.26,,-0.53,18.75,-0.26,45.05,49.91,-0.18,-0.38,-0.61,-0.82
1324,地球,塑膠工業,,,,1.36,11.2,0.45,0.0,69.75,1.36,0.89,-1.33,,0.0,11.15,-1.33,53.8,54.8,0.02,-0.03,0.33,0.41
1325,恆大,塑膠工業,,,,-0.17,29.05,-2.35,-2.68,836.69,0.0,-0.17,-0.34,,0.34,29.85,-1.33,511.37,282.52,-0.64,-1.02,-1.19,-1.89
1326,台化,塑膠工業,,,,13.55,34.9,1.16,-0.85,24330.41,2.9,7.99,0.15,,0.14,34.55,-2.4,54359.22,31740.16,1.55,1.99,2.47,2.9
1337,再生-KY,塑膠工業,,,,1.24,4.89,2.3,0.0,394.52,0.62,0.21,-1.85,,0.21,4.79,-2.65,123.69,630.86,0.04,0.04,0.05,-0.05
1338,廣華-KY,汽車工業,,,,5.74,21.2,0.71,0.0,150.55,0.25,2.99,1.69,,-0.24,21.0,-2.09,224.73,388.64,0.58,0.81,0.74,0.55
1339,昭輝,汽車工業,,,,13.99,45.9,-1.29,-2.03,209.5,1.22,3.97,7.51,,0.11,46.55,-2.21,105.17,394.16,2.23,2.99,2.39,1.58
1340,勝悅-KY,塑膠工業,,,,6.82,7.0,3.86,-0.71,290.31,1.82,-0.3,0.6,,0.0,6.74,-0.74,188.18,214.58,0.25,0.23,-0.19,-0.05
1341,富林-KY,塑膠工業,,,,-0.34,58.0,-0.85,-0.85,7.05,0.0,0.0,-0.34,,0.0,58.5,-0.34,4.0,6.0,-0.52,-0.28,-0.38,-0.61
1342,八貫,其他,,,,2.42,97.0,0.73,-0.41,214.08,0.11,1.16,0.0,,0.0,96.3,-0.1,218.16,130.22,1.02,2.04,5.35,9.93
1402,遠東新,紡織纖維,,,,2.32,28.65,0.88,-0.17,11743.45,0.89,0.71,-0.35,,-0.18,28.35,-0.7,11209.95,7724.13,0.27,0.32,0.56,0.77
1409,新纖,紡織纖維,,,,5.33,15.75,1.61,-0.32,6962.09,2.33,0.65,0.32,,0.0,15.5,-0.64,6433.53,4673.11,0.34,0.57,0.58,0.83
1410,南染,紡織纖維,,,,0.44,33.8,-0.29,-0.73,1014.12,0.15,0.0,-0.15,,-0.15,33.85,-1.02,19.19,14.7,-0.1,-0.19,-0.25,-0.51
1413,宏洲,紡織纖維,,,,1.01,9.95,0.0,-0.4,80.91,0.1,0.2,0.3,,-2.01,9.75,-0.1,12.26,32.37,0.03,0.02,-0.02,-0.14
1414,東和,紡織纖維,,,,2.05,19.75,-0.5,-0.75,352.98,-4.36,6.17,0.25,,-0.25,19.8,-0.5,452.08,337.98,0.24,0.46,1.59,2.1
1416,廣豐,其他,,,,0.0,11.75,0.0,-0.42,376.87,0.42,0.42,-1.26,,0.0,11.75,-0.84,165.93,279.02,-0.06,-0.06,-0.12,0.1
1417,嘉裕,紡織纖維,,,,0.34,8.8,0.11,-0.45,239.14,0.57,0.23,-1.01,,0.11,8.8,-1.12,48.81,129.22,-0.03,-0.02,-0.09,0.09
1418,東華,紡織纖維,,,,-0.75,19.85,-0.25,0.0,10.43,-0.25,0.25,-0.5,,-2.26,19.45,-0.5,8.2,27.93,-0.09,-0.08,0.03,-0.17
1419,新紡,紡織纖維,,,,3.42,75.5,4.28,0.0,500.13,0.14,0.27,-1.23,,0.28,72.6,-0.82,104.66,78.21,2.04,2.69,4.72,8.39
1423,利華,紡織纖維,,,,-0.39,38.05,-0.26,-0.13,7.46,0.39,-0.78,0.13,,-0.13,38.1,0.0,35.94,13.73,-0.14,-0.18,-0.16,-0.38
