id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,三大買賣超,融券5N,前日融券,昨日融券,昨日融券5MAX,昨日融券10MAX,昨日融券20MAX,融券差額(張),昨日融券5增張,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
1101,台泥,水泥工業,37.9,-1.04,0.4,38.05,37.75,-0.4,-0.92,20325.43,-9119.0,0.0,-3.0,-12.0,-2.0,6.0,6.0,0.0,-42.0,-1.0,3.0,598.0,175.0,-4311.0,-0.06,3.3,-3923.0,-0.05,20.74,-885.0,-0.01,2.8,-6924.0,-0.1,-0.24,-0.51,-1.26,,,,-0.27,-0.25,-0.41,0.04,永豐金-彰化,2.19%,台中銀-員林,2.04%,美林,1.53%
1102,亞泥,水泥工業,43.95,-0.23,0.46,44.15,44.05,0.23,-0.56,3619.82,-358.0,1.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,,1.0,-2.0,-36.0,215.0,0.01,4.29,-573.0,-0.02,17.83,0.0,0.0,5.11,221.0,0.01,0.01,0.04,0.08,,,,0.09,-0.13,-0.16,0.34,香港上海匯豐,19.28%,元富,8.29%,凱基,6.49%
1103,嘉泥,水泥工業,20.9,4.5,0.0,20.9,20.5,-1.91,-2.15,1509.65,-459.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,284.0,-57.0,0.0,0.0,0.0,-466.0,-0.06,5.57,7.0,0.0,0.28,-377.0,-0.05,-0.11,-0.09,-0.06,,,,0.26,0.34,0.42,0.92,第一金-華江,4.97%,華南永昌-三重,3.58%,元大-忠孝,2.05%
1104,環泥,水泥工業,27.65,0.18,-0.54,27.5,27.8,0.54,0.0,861.75,-72.0,0.0,0.0,0.0,0.0,21.0,21.0,-9.0,0.0,-inf,1.0,8.0,-13.0,69.0,0.01,0.02,-120.0,-0.02,14.86,-21.0,-0.0,0.21,-143.0,-0.02,-0.13,-0.24,-0.29,,,,0.06,0.01,-0.6,0.84,美林,9.98%,港商野村,8%,華南永昌-麻豆,5.8%
1108,幸福,水泥工業,15.25,1.33,0.0,15.25,15.15,-0.66,-0.98,648.49,-261.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,-5.0,,2.0,-50.0,-2.0,0.0,0.0,0.0,-208.0,-0.05,3.08,-53.0,-0.01,0.16,-101.0,-0.02,-0.09,-0.24,-0.36,,,,0.0,-0.1,-0.43,0.07,元富-宜蘭,6.17%,宏遠證券,4.63%,統一-桃園,3.86%
1109,信大,水泥工業,18.55,0.0,0.54,18.65,18.35,-1.08,-1.61,259.72,-89.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,3.0,9.0,6.0,0.0,0.0,0.0,-25.0,-0.01,3.36,-64.0,-0.02,0.43,-77.0,-0.02,-0.03,-0.01,0.05,,,,-0.17,-0.2,0.07,0.74,元大-永春,9.62%,群益金鼎-中港,8.08%,凱基-士林,6.15%
1110,東泥,水泥工業,18.6,0.27,0.0,18.6,18.45,-0.81,-0.81,229.02,-85.0,1.0,-2.0,0.0,2.0,2.0,2.0,0.0,-2.0,,3.0,17.0,-10.0,0.0,0.0,0.0,-83.0,-0.01,6.25,-2.0,-0.0,0.24,-43.0,-0.01,-0.03,-0.02,-0.03,,,,-0.23,-0.82,-0.64,0.12,台新-三民,14.41%,臺銀-民權,8.73%,元大-基隆,7.42%
1201,味全,食品工業,20.45,-0.24,0.73,20.6,20.45,0.0,-0.73,854.41,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,34.0,0.0,0.0,0.0,-30.0,-0.01,10.55,1.0,0.0,0.45,-43.0,-0.01,-0.04,-0.01,-0.0,,,,-0.03,-0.11,0.11,0.18,彰銀,4.68%,凱基-台北,4.1%,摩根大通,2.69%
1203,味王,食品工業,41.5,1.1,0.0,41.5,41.5,0.0,-0.24,6.81,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0,0.11,,,,0.27,0.19,1.5,,國泰-館前,28.57%,台灣摩根士丹利,14.29%,土銀-南港,14.29%
1210,大成,食品工業,52.5,-1.5,0.0,52.5,52.7,0.38,-0.57,1051.6,31.0,1.0,0.0,3.0,3.0,10.0,10.0,0.0,-14.0,-1.0,2.0,-88.0,136.0,-2.0,-0.0,0.17,28.0,0.0,10.64,5.0,0.0,0.53,-108.0,-0.01,-0.04,0.25,0.74,,,,-0.18,-0.54,-0.38,0.95,宏遠-高雄,7.98%,第一金,7.51%,永豐金-復興,4.94%
1213,大飲,食品工業,6.46,0.94,3.87,6.71,6.5,0.62,-3.13,29.39,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,-0.03,-0.02,-0.02,,,,0.03,-0.13,-0.26,-0.49,元大-學甲,6.9%,富邦-桃園,6.9%,富邦-台中,6.9%
