date,id,name,category,收盤價,漲跌幅,月增率%,年增率%,累計年增率%,投信持股比例,投信買賣超%,投信買賣超(張),投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資持股比例,外資買賣超(張),外資買賣超%,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,投信5賣N天,投信10賣N天,投信20賣N天,20漲跌幅,60漲跌幅
2026-03-18,5475,德宏,電子零組件業,212.0,9.84,,,,0.3,0.3,382.0,0.3,0.3,0.3,1.0,1.0,1.0,6.37,225.0,0.18,-2.28,-2.55,-2.69,1.0,2.0,,0.0,0.09,699.0,0.55,-3.88,-3.61,-4.02,0.0,0.0,0.0,-5.36,-5.36
2026-03-18,6274,台燿,電子零組件業,531.0,5.15,,,,12.52,0.15,416.0,-1.84,-6.7,-9.7,1.0,1.0,1.0,34.07,1376.0,0.51,-1.82,1.48,2.56,2.0,6.0,,0.31,0.75,2192.0,0.81,-1.81,-3.05,-5.13,4.0,9.0,19.0,-7.97,-7.97
2026-03-18,3357,臺慶科,電子零組件業,167.5,-0.89,,,,0.2,0.08,80.0,0.08,-0.63,-0.85,1.0,1.0,1.0,17.22,24.0,0.02,-1.3,-3.98,-0.92,2.0,2.0,,-0.15,0.28,-818.0,-0.8,-0.76,-5.11,-1.33,0.0,1.0,5.0,-16.87,-16.87
2026-03-18,5288,豐祥-KY,電機機械,138.5,1.09,,,,0.18,0.05,30.0,0.05,0.05,0.05,1.0,1.0,1.0,62.16,-20.0,-0.03,-0.29,-0.44,-0.52,0.0,0.0,,0.01,0.23,5.0,0.01,-0.0,-0.05,-0.01,1.0,1.0,1.0,-8.28,-13.44
2026-03-18,4991,環宇-KY,半導體業,353.5,9.95,,,,7.21,0.03,28.0,0.03,0.03,-0.97,1.0,1.0,1.0,17.45,-213.0,-0.19,-0.43,0.05,1.95,2.0,6.0,,-0.08,1.57,352.0,0.32,-0.23,0.4,-1.05,0.0,1.0,5.0,-4.97,-4.97
2026-03-18,1802,台玻,玻璃陶瓷,64.1,3.39,,,,0.25,0.0,10.0,-0.01,-0.01,0.24,1.0,1.0,6.0,5.94,-38412.0,-1.32,-1.39,-1.27,-1.08,0.0,4.0,,0.07,0.66,-30944.0,-1.06,-1.16,-1.33,-1.24,2.0,2.0,2.0,-4.61,-4.61
2026-03-18,1503,士電,電機機械,208.5,1.71,,,,0.13,0.0,3.0,-0.1,-0.1,-0.1,1.0,1.0,1.0,31.67,482.0,0.09,-0.0,-0.44,-1.25,2.0,2.0,,0.01,0.56,223.0,0.04,-0.19,-0.26,-0.76,4.0,6.0,12.0,-11.65,-15.24
2026-03-18,1476,儒鴻,紡織纖維,392.0,5.66,,,,1.88,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,32.83,234.0,0.09,-0.12,-0.32,-0.58,1.0,3.0,,0.01,1.88,275.0,0.1,-0.21,-0.58,-0.4,4.0,8.0,15.0,-10.4,-10.4
2026-03-18,2106,建大,橡膠工業,18.3,0.55,,,,0.0,0.0,1.0,-0.01,-0.01,-0.01,1.0,1.0,1.0,8.4,-57.0,-0.01,-0.1,-0.22,-0.13,0.0,0.0,,0.0,0.19,-69.0,-0.01,-0.14,-0.22,-0.28,2.0,2.0,2.0,-10.07,-13.27
2026-03-18,2258,鴻華先進-創,汽車工業,31.95,-0.31,,,,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.24,3.0,0.0,-0.02,-0.06,0.04,2.0,3.0,,0.0,0.09,-115.0,-0.01,-0.07,-0.09,-0.06,0.0,0.0,0.0,-19.32,-26.38
2026-03-18,9910,豐泰,其他,83.9,2.19,,,,0.68,0.0,1.0,0.0,0.0,0.01,1.0,1.0,3.0,10.41,-271.0,-0.03,-0.61,-1.02,-1.22,0.0,1.0,,-0.0,0.37,179.0,0.02,-0.21,-0.38,-0.44,4.0,8.0,15.0,-12.79,-31.79
2026-03-18,9945,潤泰新,其他,26.7,-0.74,,,,0.07,0.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,9.04,-1354.0,-0.05,-0.4,-0.68,-0.18,1.0,2.0,,0.01,0.21,-2413.0,-0.08,-0.37,-0.45,-0.28,2.0,2.0,7.0,-10.55,-12.75
