date,id,name,category,A轉跌幅,回彈,20日跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3,昨日A轉跌幅,漲跌幅,成交量,20日最高成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離
2024-07-23,1540,喬福,電機機械,0.0,0.85,-43.99,34.65,843.0,688.0,77.92,380.34,25.46,港商野村,7.77%,元大-台中,5.58%,元大證券,3.26%,-5.97,10.0,8973.91,31396.4,3.56,-4.44,-5.55,2.3999999999999986,3.97,32.75,31.5,16381.13,10668.34,1970.0,-458.0,0.0,-22.0,-55.0,-43.0,-114.0,13.0,0.95,3.0,-847.0,658.0,0.0,0.0,0.0,-474.0,-0.55,7.94,16.0,0.02,0.34,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.92,-0.02,1.42,2.76,1.99,1.03,3.66,7.73,11.94
2024-07-23,2524,京城,建材營造,0.0,0.79,-38.14,79.2,233.0,614.0,1.92,130.62,152.09,富邦證券,22.28%,凱基-信義,8.9%,新加坡商瑞銀,2.85%,-4.51,10.0,2809.86,13791.28,9.99,-3.84,-4.26,6.799999999999997,0.69,72.5,72.0,13791.28,3963.72,595.0,-166.0,2.0,-34.0,-128.0,89.0,-23.0,189.0,-3.62,3.0,-491.0,127.0,0.0,0.0,0.0,-174.0,-0.05,0.84,8.0,0.0,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.28,0.19,0.12,0.37,0.3,4.06,8.56,16.71,22.2
2024-07-23,9902,台火,其他,0.0,0.64,-26.82,19.85,6.0,336.0,577.20,"2,662.16",152.79,國票證券,16.95%,凱基-台北,8.65%,群益金鼎-永和,7.09%,-4.75,9.97,1410.42,8445.1,-3.4,-4.77,-4.75,2.1499999999999986,1.11,18.25,18.05,1996.09,1374.9,29.0,124.0,0.0,-6.0,-22.0,-1.0,-29.0,75.0,-0.83,0.0,-86.0,-100.0,0.0,0.0,0.02,128.0,0.13,4.86,-4.0,-0.0,0.52,0.34,-0.27,-0.35,-0.35,0.0,0.0,0.0,0.9,1.51,2.3,0.44,0.45,0.29,0.38,0.03,1.62,2.7
2024-07-23,2383,台光電,電子零組件業,0.0,0.26,-20.12,440.0,-468.0,142.0,2.03,62.65,71.42,美林,10.83%,摩根大通,9.59%,富邦證券,5.91%,-4.25,5.64,5096.84,10321.86,-3.14,-3.13,-3.92,77.0,1.8,424.0,416.5,5486.9,4369.28,-251.0,110.0,1.0,-21.0,-30.0,9.0,-147.0,-7.0,-1.43,4.0,143.0,-146.0,-302.0,-0.09,10.92,225.0,0.07,27.9,187.0,0.05,0.83,0.04,-0.22,-0.31,1.11,1.0,3.0,12.0,-0.24,0.17,1.26,-0.97,-1.5,-0.26,0.1,-22.3,-35.1,-6.64
2024-07-23,8210,勤誠,電腦及週邊設備業,0.0,0.27,-19.38,279.0,-759.0,-60.0,6.23,60.20,53.36,美林,7.22%,港商野村,3.61%,元大證券,1.81%,-8.75,4.89,2602.96,11035.66,-3.23,-3.33,-8.28,46.0,3.38,275.0,266.0,2093.95,4547.79,-864.0,59.0,3.0,99.0,-6.0,25.0,212.0,113.0,-0.75,2.0,-143.0,-9.0,-53.0,-0.04,0.84,6.0,0.0,8.7,106.0,0.09,1.19,-0.05,-0.15,-0.06,-0.13,3.0,5.0,8.0,-2.07,-1.79,-0.42,-2.19,-1.93,-1.7,-10.0,-15.75,-17.75,-20.16
2024-07-23,6274,台燿,電子零組件業,0.0,0.35,-18.89,158.0,-1346.0,255.0,0.11,61.01,36.83,華南永昌,6.97%,美商高盛,5.95%,台灣摩根士丹利,4.52%,-4.43,4.64,4487.8,14567.54,-1.19,-4.82,-4.43,22.0,1.99,154.0,151.0,6791.76,9190.15,-1609.0,20.0,2.0,-43.0,-7.0,31.0,-62.0,11.0,-1.72,0.0,-160.0,-163.0,-434.0,-0.16,5.63,429.0,0.16,32.29,25.0,0.01,0.82,0.09,-0.41,-1.19,-0.98,2.0,4.0,9.0,0.14,0.38,0.68,-1.37,-2.29,-1.06,-2.2,-6.9,-7.75,-12.78
2024-07-23,6223,旺矽,半導體業,-0.89,0.29,-19.94,555.0,-670.0,146.0,5.34,28.77,16.94,元大證券,5.49%,美林,4.22%,台灣摩根士丹利,2.65%,-11.06,4.52,4191.24,4196.78,-2.09,-3.28,-10.0,92.0,0.75,535.0,531.0,3703.92,4182.01,104.0,897.0,3.0,56.0,2.0,-21.0,-8.0,56.0,-1.38,1.0,-18.0,-209.0,407.0,0.43,18.0,415.0,0.44,19.5,75.0,0.08,0.51,0.15,0.6,1.61,1.31,4.0,8.0,13.0,0.66,-0.2,1.28,-1.13,-1.28,-0.13,-26.8,-42.6,-17.25,46.77
2024-07-23,8016,矽創,半導體業,-0.21,0.37,-12.31,243.0,-177.0,159.0,-12.67,2.27,6.44,兆豐證券,19.56%,永豐金證券,8.1%,華南永昌,7.45%,-3.91,4.07,1221.69,4160.52,1.6,-3.54,-4.89,20.5,1.5,237.0,233.5,1193.56,1443.1,-178.0,-132.0,3.0,7.0,-5.0,9.0,4.0,7.0,0.29,2.0,-33.0,-49.0,-179.0,-0.15,20.39,42.0,0.03,26.91,5.0,0.0,1.02,0.13,-0.45,0.96,-1.8,2.0,7.0,9.0,-0.82,-2.23,-2.23,-0.42,-0.3,-3.12,-2.4,-6.25,-9.53,-20.76
2024-07-23,4968,立積,半導體業,-0.45,0.39,-17.07,222.0,-463.0,320.0,-3.22,33.63,36.21,台灣摩根士丹利,7.98%,美林,7.92%,美商高盛,4.13%,-6.77,3.98,1792.7,17743.71,-0.83,-4.2,-6.36,26.0,2.34,218.5,213.5,3867.06,5169.31,-107.0,492.0,1.0,-184.0,-67.0,54.0,-553.0,0.0,-1.29,0.0,-247.0,-139.0,-20.0,-0.02,8.64,450.0,0.5,18.69,62.0,0.07,4.14,0.35,0.93,2.3,4.82,4.0,9.0,17.0,-0.42,0.38,-2.44,-0.51,0.67,-1.91,-6.3,-7.3,-8.0,13.79
2024-07-23,2371,大同,電機機械,0.0,0.23,-14.58,52.4,4912.0,2687.0,23.08,1.02,-2.89,台灣摩根士丹利,16.45%,美商高盛,6.56%,摩根大通,6.32%,-5.79,3.97,20891.91,34936.53,-0.18,-3.27,-5.44,6.600000000000001,1.79,51.3,50.4,23942.7,34936.53,15019.0,6678.0,3.0,-302.0,290.0,162.0,-4.0,290.0,-1.54,1.0,-8270.0,-458.0,13.0,0.0,0.18,7179.0,0.31,10.44,-514.0,-0.02,2.66,0.11,0.0,0.0,0.0,3.0,6.0,10.0,0.85,0.61,0.46,0.07,-0.21,-0.58,-0.88,-2.36,-3.35,-5.43
