date,id,name,category,月增率%,年增率%,累計年增率%,收盤價,漲跌幅,A轉跌幅,成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日A轉跌幅,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
2024-12-03,3533,嘉澤,電子零組件業,-0.59,35.51,23.08,1965.0,2.34,-2.0,2196.24,0.61,7.83,7.26,0.0,3.91,1995.0,-2.29,1831.53,2882.49,168.0,206.5,222.75,365.0
2024-12-03,3665,貿聯-KY,其他電子業,7.01,9.46,2.90,673.0,2.44,-4.54,4924.44,-2.42,7.12,1.55,0.0,3.81,682.0,-2.67,5523.24,4227.19,33.0,40.8,79.58,175.18
2024-12-03,3450,聯鈞,半導體業,8.38,73.05,33.52,242.5,0.0,-4.34,28771.12,-4.71,5.16,-0.82,19.0,1.44,246.0,-2.61,26620.98,28602.06,1.3,6.3,3.03,28.45
2024-12-03,4968,立積,半導體業,-2.81,10.92,29.27,208.0,-2.8,-4.37,9392.76,0.79,9.9,1.42,4.0,1.17,216.5,-3.39,13162.96,18564.92,4.9,12.9,23.32,26.85
2024-12-03,3548,兆利,電子零組件業,-3.11,-16.15,12.16,194.5,0.0,-2.51,2458.64,1.37,5.95,-0.77,1.5,0.77,196.0,-3.23,3536.74,4267.57,4.0,6.1,23.65,23.61
2024-12-03,1569,濱川,電腦及週邊設備業,-10.21,-9.97,-18.52,63.1,-2.62,-2.62,2830.35,-2.59,7.99,-0.15,1.7000000000000028,-0.77,64.3,-2.56,3212.8,3144.34,0.18,1.94,10.7,22.44
2024-12-03,6715,嘉基,電子零組件業,9.49,27.91,-6.62,191.5,3.79,-2.79,3030.93,-0.3,3.3,7.27,0.0,3.25,190.5,-2.38,97.53,1924.07,15.2,18.4,19.2,19.49
2024-12-03,6104,創惟,半導體業,4.64,38.02,24.70,155.5,5.07,-2.51,16597.92,4.18,7.3,0.68,0.0,4.39,154.5,-3.27,6974.91,7118.3,11.7,15.55,14.8,15.36
2024-12-03,3596,智易,通信網路業,-1.05,-16.07,-2.20,171.0,-1.72,-3.12,1753.2,-2.08,0.61,5.14,7.0,-0.57,173.0,-2.25,1846.54,3504.8,2.4,2.5,-1.57,14.33
2024-12-03,2545,皇翔,建材營造,-1.70,253.38,382.60,75.2,-1.31,-2.21,731.4,-4.19,3.83,0.4,2.5,-0.26,76.0,-2.68,1577.56,1190.67,-0.14,-0.76,4.05,11.61
2024-12-03,2392,正崴,電子零組件業,51.94,22.95,9.46,78.1,0.39,-2.13,12794.05,-4.06,2.05,-2.26,9.5,1.41,78.9,-2.75,39337.65,18161.28,-0.86,-1.47,2.31,10.85
