date,id,name,category,A轉跌幅,回彈,20日跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3,昨日A轉跌幅,漲跌幅,成交量,20日最高成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離
2024-03-29,3323,加百裕,電腦及週邊設備業,-2.83,0.42,-13.45,34.3,56.0,-406.0,-26.24,-14.22,-14.22,(牛牛牛)亞-鑫豐,0.95%,摩根大通,0.84%,聯邦-興中,0.84%,-1.01,-0.29,5377.69,23979.41,-1.62,0.6,2.53,3.0,0.44,34.55,34.4,2066.51,2836.44,71.0,-478.0,0.0,-22.0,-67.0,-21.0,-647.0,-22.0,-0.05,2.0,-6.0,53.0,0.0,0.0,0.83,-489.0,-0.55,2.76,11.0,0.01,0.05,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-0.3,-2.16,-0.17,-0.37,-2.11,0.4,0.01,-0.56,-2.17
2024-03-29,3289,宜特,其他電子業,-3.18,1.0,-12.01,137.0,51.0,-315.0,1.56,1.44,1.44,富邦-仁愛,7.28%,統一,6.5%,國泰-敦南,3.64%,-1.08,-0.36,1538.98,1538.98,-1.12,0.38,3.0,0.0,0.36,138.0,137.5,421.74,1166.99,213.0,-673.0,0.0,0.0,0.0,0.0,-5.0,0.0,,3.0,-11.0,203.0,0.0,0.0,0.03,-701.0,-0.93,14.4,28.0,0.04,0.42,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,-1.18,-1.61,-1.33,-0.43,-0.52,-0.71,1.9,2.95,3.97,-0.78
2024-03-29,8050,廣積,電腦及週邊設備業,-2.81,1.0,-17.98,76.2,315.0,-516.0,-10.31,27.08,27.08,港商法國興業,6.21%,兆豐-桃鶯,1.09%,康和-仁愛,1.02%,-1.03,-0.52,2928.99,2928.99,-0.79,-0.53,2.82,0.0,0.26,76.8,76.6,1242.7,2857.9,282.0,-437.0,2.0,3.0,-2.0,-14.0,-7.0,3.0,-5.67,2.0,237.0,-172.0,-8.0,-0.0,0.24,-402.0,-0.19,5.78,-27.0,-0.01,0.38,-0.25,-0.01,-0.03,-0.05,0.0,0.0,0.0,0.18,1.03,0.68,-0.37,0.58,0.31,0.66,1.33,5.31,4.82
2024-03-29,4721,美琪瑪,化學工業,-3.66,1.0,-18.02,71.1,412.0,-718.0,30.39,5.13,5.13,統一-台中,0.88%,元大-大里,0.7%,元大-成功,0.65%,0.0,-0.56,3849.56,3849.56,0.16,1.56,10.0,0.0,0.84,72.1,71.5,159.92,1965.49,-3.0,-352.0,1.0,-11.0,9.0,-5.0,-2.0,9.0,-0.55,3.0,303.0,-74.0,0.0,0.0,0.66,-354.0,-0.47,1.19,2.0,0.0,0.69,-0.96,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.1,0.05,-0.36,-0.32,-0.37,4.0,5.84,7.78,3.25
2024-03-29,8404,百和興業-KY,其他,-4.92,1.0,-18.2,29.0,1053.0,-269.0,6.58,-5.62,-5.62,新加坡商瑞銀,4.13%,台新-中壢,2.17%,永豐金-松山,2.04%,-1.18,-0.85,3776.12,6479.95,4.09,-3.25,3.36,0.0,0.51,29.4,29.25,3642.09,3327.96,1197.0,-222.0,3.0,6.0,-5.0,1.0,-31.0,9.0,-0.83,3.0,-119.0,-8.0,0.0,0.0,0.0,-236.0,-0.06,54.38,14.0,0.0,0.05,-0.07,0.0,0.0,-0.42,0.0,0.0,1.0,-0.03,0.14,0.28,0.04,0.15,-0.13,0.22,0.72,1.73,1.12
2024-03-29,3689,湧德,電子零組件業,-4.93,1.0,-25.56,106.0,643.0,-4.0,22.26,28.26,28.26,美林,4.04%,美商高盛,3.49%,元富-城東,2.19%,-0.47,-0.93,12047.9,12047.9,-3.06,7.48,4.9,0.0,0.93,108.0,107.0,7735.89,10357.13,673.0,468.0,3.0,152.0,85.0,102.0,234.0,152.0,-0.33,3.0,111.0,-907.0,0.0,0.0,0.0,616.0,0.78,28.25,-148.0,-0.19,0.97,-0.01,0.0,0.0,-0.18,0.0,0.0,0.0,3.88,4.96,3.46,3.36,4.46,2.79,4.44,7.63,12.76,12.89
2024-03-29,3583,辛耘,半導體業,-2.67,0.75,-13.57,364.0,23.0,-167.0,12.56,20.91,20.91,元大-民生三民,2.1%,華南永昌-豐原,1.7%,統一-竹南,1.2%,0.0,-0.95,1000.95,2924.52,-1.95,2.13,2.23,13.0,0.0,367.5,367.5,702.52,1016.26,25.0,-242.0,1.0,-8.0,-32.0,-36.0,-39.0,19.0,3.5,3.0,6.0,74.0,0.0,0.0,0.4,-236.0,-0.29,11.95,-6.0,-0.01,0.02,-0.21,0.01,-0.1,-0.1,3.0,5.0,6.0,0.12,-0.23,-0.52,0.18,-0.15,-0.46,3.6,9.45,5.15,-30.98
2024-03-29,4739,康普,化學工業,-2.67,1.0,-18.4,61.9,442.0,-547.0,28.97,20.91,20.91,元大-竹北,1.19%,新加坡商瑞銀,0.93%,永豐金-竹科,0.74%,0.0,-0.96,3115.7,3454.3,0.0,0.71,9.84,0.0,1.6,63.5,62.5,163.96,3454.3,210.0,-354.0,1.0,13.0,-1.0,-2.0,11.0,13.0,-1.15,3.0,148.0,37.0,0.0,0.0,0.73,-318.0,-0.27,2.17,-36.0,-0.03,0.09,-0.46,0.0,-0.01,-0.01,0.0,0.0,0.0,0.06,0.17,0.39,-0.04,0.03,0.06,3.04,5.02,6.75,4.58
2024-03-29,4768,晶呈科技,化學工業,-2.45,0.27,-18.73,159.5,-155.0,-149.0,-42.69,-25.75,-25.75,美商高盛,4.37%,摩根大通,2.38%,新加坡商瑞銀,1.71%,-1.82,-1.24,1052.2,1093.25,-2.82,1.94,2.22,26.0,0.62,162.5,161.5,847.02,1093.25,-290.0,-143.0,2.0,-2.0,0.0,3.0,-1.0,4.0,-2.5,4.0,76.0,26.0,-311.0,-0.72,0.0,164.0,0.38,4.95,4.0,0.01,0.02,-0.35,-3.26,-4.7,-4.84,0.0,0.0,0.0,1.86,1.19,0.88,-1.26,-2.5,-3.08,0.8,-2.4,-10.12,-20.12
2024-03-29,5371,中光電,光電業,-2.82,1.0,-12.53,86.1,6348.0,-3879.0,-22.30,-10.47,-10.47,台灣摩根士丹利,1.27%,國泰-敦南,0.54%,康和,0.51%,0.0,-1.49,37276.12,37276.12,1.91,-0.62,9.94,0.0,0.34,87.7,87.4,5765.95,33505.3,5425.0,-1676.0,3.0,288.0,-13.0,103.0,288.0,288.0,-0.64,4.0,1671.0,-638.0,-32.0,-0.01,1.21,-1136.0,-0.29,9.97,-508.0,-0.13,1.42,-0.99,-0.41,-0.59,-0.5,0.0,0.0,4.0,0.21,0.19,-0.52,-0.06,-0.42,-1.05,3.8,4.42,5.03,5.59
