date,id,name,category,月增率%,年增率%,累計年增率%,收盤價,漲跌幅,A轉跌幅,成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日A轉跌幅,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
2024-11-26,1584,精剛,其他,3.31,-23.60,9.50,32.1,0.47,-2.13,2648.29,1.44,0.47,0.16,0.8000000000000043,0.16,32.0,-0.78,1090.98,1268.84,0.3,0.42,-0.02,-3.39
2024-11-26,5484,慧友,光電業,86.87,22.77,29.65,55.1,3.77,-4.17,771.87,-0.95,0.96,1.14,3.200000000000003,0.75,53.5,-0.75,294.84,259.22,2.06,1.69,-0.09,-8.16
2024-11-26,8039,台虹,電子零組件業,-14.71,-2.95,25.47,49.8,0.3,-1.19,1415.08,2.1,0.41,1.64,5.0,0.0,49.65,-0.4,1056.72,757.77,0.88,1.06,-0.3,-7.84
2024-11-26,4540,全球傳動,電機機械,-17.34,-4.64,-19.99,41.6,2.21,-5.02,3093.42,2.8,0.12,0.74,2.5,0.25,40.8,-1.45,677.12,431.5,1.14,1.01,-0.35,-0.88
2024-11-26,2359,所羅門,其他電子業,-6.71,-3.33,-18.89,139.0,2.96,-3.81,13066.32,1.51,-0.37,0.75,4.5,0.37,135.5,-1.82,1922.03,2452.2,4.0,3.55,-0.53,-7.03
2024-11-26,3607,谷崧,電子零組件業,13.49,39.31,16.91,19.15,1.32,-1.03,550.34,0.27,1.09,1.61,3.9499999999999993,0.0,18.9,0.0,318.47,334.38,0.47,0.48,-0.64,-1.66
2024-11-26,9935,慶豐富,其他,1.03,1.73,19.02,32.3,0.78,-0.46,656.63,-1.41,0.79,0.79,3.3999999999999986,-0.62,31.85,-1.08,450.55,513.94,0.36,0.28,-0.73,-0.34
2024-11-26,2031,新光鋼,鋼鐵工業,18.21,6.04,-10.47,50.9,0.39,-0.78,532.8,0.1,0.9,0.6,5.300000000000004,0.0,50.7,-0.39,500.38,404.25,0.53,0.8,-0.96,-5.1
2024-11-26,1540,喬福,電機機械,-39.48,-78.13,-3.39,38.4,1.99,-6.8,14699.7,-1.62,2.74,0.4,3.0,2.39,38.55,-2.96,3590.3,2201.03,0.97,0.64,-0.98,-4.69
2024-11-26,5263,智崴,文化創意業,7.42,97.99,53.36,164.5,2.49,-1.5,892.11,1.97,1.61,1.9,21.5,0.0,160.5,0.0,301.2,323.87,6.6,6.4,-2.93,-11.97
2024-11-26,3689,湧德,電子零組件業,-8.99,-5.41,-20.63,83.1,0.36,-1.31,1597.94,0.86,0.98,0.36,17.299999999999997,0.85,83.5,-1.19,1263.96,1198.61,0.88,-1.2,-5.25,-6.05
2024-11-26,6223,旺矽,半導體業,-2.68,42.87,22.77,763.0,1.46,0.0,2558.9,0.27,-0.27,0.94,87.0,-0.4,749.0,-2.08,1939.82,1702.71,12.6,-3.7,-26.1,-21.9
