date,id,name,category,月增率%,年增率%,累計年增率%,收盤價,漲跌幅,A轉跌幅,成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日A轉跌幅,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
2024-10-21,2388,威盛,半導體業,44.32,166.86,23.41,133.5,8.1,-0.74,32178.42,2.78,-2.7,-1.98,11.5,0.81,124.5,-3.52,11287.68,9972.06,5.8,4.25,2.18,9.07
2024-10-21,3021,鴻名,電子零組件業,-17.27,18.74,19.61,30.95,9.95,0.0,1510.69,-1.25,0.72,1.26,2.349999999999998,-0.53,28.0,-0.18,277.48,232.66,2.46,2.55,2.0,5.06
2024-10-21,3189,景碩,半導體業,-7.41,33.77,16.28,115.5,10.0,0.0,32565.01,-2.84,2.93,-0.47,1.5,1.9,107.0,-2.33,6470.75,6168.74,8.7,8.65,8.6,8.17
2024-10-21,3535,晶彩科,光電業,-94.73,-94.37,44.52,58.3,10.0,0.0,5970.89,-2.29,5.47,-1.85,7.200000000000003,0.19,53.1,-3.46,2411.24,2544.74,4.52,4.38,0.61,-7.88
2024-10-21,3550,聯穎,電子零組件業,-1.53,-13.63,-11.33,26.3,9.81,0.0,5488.15,0.62,2.06,-3.43,5.599999999999998,0.84,24.15,-4.39,3288.33,2792.04,1.6,1.42,0.61,5.16
2024-10-21,3607,谷崧,電子零組件業,-6.18,23.11,14.37,22.25,7.23,-0.67,3631.43,0.5,2.99,0.24,1.2000000000000028,0.72,20.9,-0.72,722.71,697.8,1.49,1.93,1.27,1.68
2024-10-21,4526,東台,電機機械,1.68,-39.13,-29.36,35.75,5.93,-2.99,30826.12,4.03,2.48,2.12,5.549999999999997,1.33,34.2,0.0,10025.89,6649.94,2.59,2.96,1.44,3.74
2024-10-21,6415,矽力*-KY,半導體業,0.39,7.80,19.77,545.0,7.28,-1.8,4155.43,0.97,-0.58,-1.36,19.0,1.57,516.0,-3.05,1901.25,2038.22,25.2,14.3,50.9,94.26
2024-10-21,6698,旭暉應材,其他電子業,-5.87,-21.19,-23.59,44.85,8.6,-1.21,3071.74,0.0,3.52,0.24,6.800000000000004,0.48,41.5,-5.06,895.72,1301.49,3.46,2.4,-0.34,3.16
2024-10-21,8039,台虹,電子零組件業,-9.50,2.44,29.13,57.9,6.04,-1.7,7247.48,1.47,0.73,-1.62,6.100000000000001,1.65,55.5,-2.15,2031.01,2155.99,2.42,1.97,-0.74,-0.78
2024-10-21,1815,富喬,電子零組件業,3.96,39.51,18.83,22.9,6.51,-1.29,16854.15,1.87,0.46,-1.83,1.650000000000002,0.93,21.7,-2.93,6945.64,5252.9,1.0,0.61,0.72,0.48
2024-10-21,3141,晶宏,半導體業,-9.53,-11.04,-23.81,95.1,9.94,0.0,2609.65,-0.79,-0.23,-1.48,10.900000000000006,1.85,88.1,-2.81,758.73,661.32,5.88,5.64,5.49,12.99
2024-10-21,3354,律勝,電子零組件業,12.89,28.40,23.51,33.1,9.97,0.0,12542.29,1.97,-1.4,7.12,1.5,2.49,30.85,-2.59,1350.21,5974.09,3.55,4.54,3.64,9.56
2024-10-21,3390,旭軟,電子零組件業,-14.69,-13.98,11.56,31.45,6.97,-1.26,1654.13,1.03,1.19,-1.18,3.649999999999999,0.68,29.6,-2.0,416.3,569.45,1.63,1.47,0.6,-0.26
2024-10-21,3537,堡達,電子零組件業,1.49,-5.79,0.37,65.3,6.01,-1.21,2121.16,1.65,1.94,-2.07,1.5,2.76,63.3,-3.75,952.89,636.23,2.86,3.33,3.61,6.41
2024-10-21,4549,桓達,電機機械,-15.88,-38.04,-6.81,174.0,8.07,-1.42,1281.71,0.97,2.56,0.31,9.5,0.31,161.5,-0.92,508.72,394.8,12.6,13.8,8.03,18.72
2024-10-21,5386,青雲,電腦及週邊設備業,54.89,406.74,109.95,91.9,5.03,-0.97,1570.36,0.23,1.81,-2.89,11.200000000000005,1.03,88.4,-3.42,693.78,792.21,2.64,0.68,2.3,6.37
2024-10-21,6126,信音,電子零組件業,-8.50,4.68,4.70,34.45,8.16,-0.43,9680.77,-1.35,-1.37,-1.85,0.9499999999999956,1.1,32.2,-2.75,1477.54,1200.23,1.45,1.93,3.31,1.89
2024-10-21,6138,茂達,半導體業,3.20,6.00,17.32,214.5,6.45,-0.69,3764.09,-2.11,-1.2,-2.18,2.5,0.5,202.5,-2.89,896.79,1439.24,5.8,7.75,9.28,30.22
2024-10-21,6643,M31,半導體業,11.80,-7.74,5.50,855.0,6.61,-0.93,1912.23,-3.28,-1.21,-1.72,167.0,0.12,803.0,-3.61,885.77,938.42,24.4,14.5,6.6,-76.13
2024-10-21,8027,鈦昇,電機機械,0.44,11.31,8.81,112.0,9.8,0.0,7854.93,2.38,-2.33,-2.86,7.0,0.98,103.0,-5.12,1440.26,2549.9,5.7,5.05,3.42,9.66
2024-10-21,8043,蜜望實,電子零組件業,0.79,0.86,-7.73,41.7,9.88,0.0,4591.73,0.4,1.71,-1.81,2.549999999999997,0.53,38.15,-3.07,552.36,801.41,2.87,3.11,1.94,1.81
2024-10-21,6695,芯鼎,半導體業,1.19,-15.23,-14.94,61.9,9.95,0.0,3115.69,0.35,0.69,-3.76,0.6000000000000014,0.89,56.8,-5.06,468.17,600.41,3.36,4.33,4.7,2.96
