date,id,name,category,A轉跌幅,回彈,20日跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3,昨日A轉跌幅,漲跌幅,成交量,20日最高成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離
2024-10-17,1618,合機,電器電纜,-0.94,0.16,-15.53,42.2,-90.0,-24.0,-43.40,-42.16,4.44,合庫-鳳山,6.53%,富邦-仁愛,2.23%,港商野村,1.89%,-1.07,0.96,582.34,3370.62,3.37,-2.21,-0.36,6.350000000000001,0.48,42.0,41.8,850.65,667.02,-108.0,-68.0,3.0,-7.0,0.0,1.0,1.0,4.0,-1.14,3.0,-6.0,19.0,0.0,0.0,0.0,-72.0,-0.04,4.62,4.0,0.0,0.38,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.29,-0.4,-0.33,-0.22,-0.51,-0.27,0.13,-1.24,-2.36,-4.61
2024-10-17,2243,宏旭-KY,汽車工業,-1.88,0.14,-27.94,23.45,-97.0,40.0,-52.57,-73.69,26.07,兆豐-三重,5.3%,國泰-敦南,3.53%,玉山-台中,2.54%,-1.29,1.96,905.54,15045.2,-7.54,-2.15,0.88,7.600000000000001,0.87,23.2,23.0,2304.32,1038.29,-151.0,-95.0,2.0,-1.0,-29.0,10.0,-74.0,5.0,-11.0,1.0,-20.0,-29.0,0.0,0.0,0.0,-95.0,-0.14,27.65,0.0,0.0,0.55,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.93,-0.49,-0.34,-1.69,-1.84,-1.69,-0.1,-2.59,-2.89,-2.5
2024-10-17,2497,怡利電,汽車工業,-3.87,0.19,-17.97,74.5,-205.0,-578.0,-9.27,24.20,23.44,新加坡商瑞銀,5.19%,國票-台南,1.57%,元大-鹿港,1.51%,-1.7,-0.93,3177.28,29746.5,-4.56,-2.58,-0.4,13.200000000000005,0.53,75.6,75.2,4322.06,2767.34,-150.0,-539.0,0.0,-28.0,-72.0,-43.0,-515.0,-28.0,0.54,2.0,-255.0,-117.0,0.0,0.0,0.79,-558.0,-0.45,11.17,19.0,0.02,0.82,-0.47,-0.06,-0.34,0.05,0.0,0.0,3.0,0.79,3.55,7.68,-0.22,1.26,3.6,-2.28,-6.73,-7.66,4.23
2024-10-17,3025,星通,通信網路業,-2.13,0.6,-30.99,78.0,,,14.61,43.17,21.10,摩根大通,1.94%,美林,1.27%,凱基-台北,1.08%,-0.76,-0.76,5371.93,67479.27,-2.23,-2.28,1.81,11.299999999999995,-0.51,78.2,78.6,11020.89,6020.76,-383.0,129.0,0.0,-26.0,-193.0,-19.0,-735.0,-26.0,-0.27,2.0,198.0,-2.0,0.0,0.0,0.0,129.0,0.23,4.64,0.0,0.0,0.48,,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.71,2.12,,,,-0.72,-0.53,6.64,11.9
2024-10-17,3296,勝德,電子零組件業,-1.09,0.8,-15.99,27.25,38.0,-26.0,-7.10,-10.88,6.59,康和-永和,8.56%,合庫-西台中,7.41%,台灣摩根士丹利,6.46%,-0.36,-0.37,526.24,2583.9,3.72,-2.51,0.74,0.8999999999999986,0.55,27.5,27.35,873.7,688.69,-17.0,-147.0,2.0,1.0,0.0,0.0,-7.0,2.0,-1.0,2.0,-14.0,15.0,0.0,0.0,0.0,-147.0,-0.15,4.41,0.0,0.0,0.08,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.5,-0.99,0.08,-0.03,-0.51,-0.04,-0.21,0.58,1.63
2024-10-17,4513,福裕,電機機械,-3.39,0.06,-39.14,44.15,-84.0,-287.0,31.77,-37.06,-7.88,永豐金-中正,5.15%,第一金-中壢,1.56%,富邦-北港,1.25%,-2.95,-0.67,1923.34,22058.86,4.51,-2.59,-1.55,26.599999999999994,0.0,44.45,44.45,2942.24,1775.23,10.0,-464.0,1.0,-42.0,-19.0,-23.0,-141.0,33.0,-0.45,4.0,20.0,51.0,0.0,0.0,0.0,-456.0,-0.43,2.0,-8.0,-0.01,0.17,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,2.3,-0.38,-0.57,0.05,-3.9,-0.74,-3.43,-9.28,-19.4
2024-10-17,5386,青雲,電腦及週邊設備業,-0.11,0.3,-18.94,90.1,-61.0,50.0,54.89,406.74,109.95,凱基-台北,7.2%,美林,3.6%,統一-南京,3.6%,-2.21,1.81,693.78,9741.67,3.24,-4.44,0.23,13.799999999999995,0.79,89.2,88.5,1932.93,933.96,1.0,99.0,2.0,21.0,-4.0,0.0,-17.0,21.0,-1.0,2.0,-17.0,6.0,0.0,0.0,0.0,99.0,0.35,5.77,0.0,0.0,5.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,-1.21,-6.28,-2.2,-2.27,-6.53,0.34,-0.46,0.5,5.14
2024-10-17,6207,雷科,電子零組件業,-0.53,0.56,-24.67,74.4,-82.0,-70.0,0.23,2.82,19.22,凱基-台北,3.15%,富邦-中壢,1.48%,群益金鼎-三重,1.48%,-1.46,0.54,1619.15,39185.26,2.27,-2.48,-1.07,9.100000000000009,0.81,74.6,74.0,5332.32,2877.86,197.0,-38.0,1.0,-11.0,-89.0,1.0,-216.0,-11.0,-1.09,2.0,-328.0,40.0,0.0,0.0,0.0,-37.0,-0.05,2.8,-1.0,-0.0,1.12,-0.09,0.0,0.0,-0.16,0.0,0.0,0.0,1.03,1.34,-0.43,0.57,1.41,1.42,-0.58,-0.93,2.47,4.63
2024-10-17,6415,矽力*-KY,半導體業,-2.09,0.74,-32.4,515.0,-30.0,11.0,0.39,7.80,19.77,富邦證券,9.63%,台灣匯立證券,6%,花旗環球,3.52%,-0.38,-0.58,1901.25,10934.03,-1.13,-2.1,0.97,48.0,-0.39,516.0,518.0,4927.86,2363.3,11.0,142.0,1.0,0.0,-8.0,1.0,-54.0,8.0,inf,4.0,17.0,-118.0,302.0,0.08,2.39,-149.0,-0.04,88.45,-11.0,-0.0,0.36,0.0,0.03,0.0,-0.0,2.0,3.0,7.0,-0.07,1.66,0.97,-0.27,0.95,0.96,-5.0,-9.1,34.05,66.65
2024-10-17,6706,惠特,光電業,-3.41,0.52,-18.86,170.0,-665.0,-479.0,29.24,7.65,-47.63,美商高盛,2.68%,花旗環球,2.29%,富邦-永和,1.23%,-3.1,-1.16,5756.41,32509.67,4.02,-4.7,-0.29,17.5,0.58,173.0,172.0,17041.72,8240.11,-520.0,25.0,0.0,-44.0,-236.0,-232.0,-409.0,-5.0,4.27,2.0,-70.0,119.0,-209.0,-0.28,1.68,224.0,0.3,10.83,10.0,0.01,2.11,-0.65,-0.66,-0.66,-0.66,1.0,1.0,1.0,0.28,2.38,1.59,-3.67,-2.19,-5.9,-3.9,-6.9,-1.93,29.94
