date,id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,昨日成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2024-03-15,3628,盈正,其他電子業,45.35,8.1,0.33,45.5,47.6,4.96,-2.66,1926.96,1177.85,,0.0,0.0,0.0,,4.0,46.0,54.0,0.0,0.0,0.0,-4.0,-0.01,,,,,-44.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.08,-0.72,1.0,2.0,3.0,-0.31,-0.37,-0.85,-24.23,-20.87,-17.64,3.75,4.62,4.97,4.41,新百王,2.18%,華南永昌-林口,1.76%,華南永昌-東勢,1.19%
2024-03-15,4714,永捷,化學工業,22.0,10.0,2.95,22.65,22.65,2.95,-3.62,72632.75,16656.93,,1.0,-24.0,182.0,-8.58,3.0,932.0,699.0,0.0,0.0,0.0,-2214.0,-1.56,,,,,-5477.0,-3.85,0.0,0.0,0.0,0.0,0.0,0.0,-2.04,-1.89,-1.13,2.0,4.0,12.0,-5.47,-5.48,-9.78,-44.42,-53.40,-21.89,0.81,-0.79,0.25,6.17,光和-嘉義,0.84%,統一-板橋,0.82%,富邦-大墩,0.57%
2024-03-15,6546,正基,通信網路業,120.5,1.69,2.9,124.0,123.0,2.07,-3.53,2941.92,2377.3,-491.0,2.0,1.0,-5.0,-6.0,2.0,583.0,772.0,0.0,0.0,1.04,-636.0,-0.96,4.64,145.0,0.22,2.11,-104.0,-0.16,0.36,-0.41,-0.02,1.0,2.0,6.0,-1.71,1.2,0.46,2.0,5.0,9.0,-0.78,-2.46,-4.6,-16.76,-2.40,19.81,0.0,-9.85,-15.57,-1.84,華南永昌-中正,6.76%,凱基,3.81%,統一,3.54%
2024-03-15,6190,萬泰科,通信網路業,35.35,2.61,0.42,35.5,35.45,0.28,-2.61,9750.62,4989.33,-1085.0,2.0,2.0,-18.0,-10.0,4.0,365.0,495.0,0.0,0.0,0.0,-1107.0,-0.68,1.22,22.0,0.01,0.2,-484.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,-1.19,0.08,2.0,5.0,14.0,0.15,0.32,1.35,-14.84,-6.43,8.11,0.66,1.12,2.48,4.1,國票-安和,2.44%,統一-城中,1.92%,永豐金-中壢,1.21%
2024-03-15,2539,櫻花建,建材營造,69.9,1.6,0.0,69.9,69.4,-0.72,-1.7,9374.44,3074.16,-133.0,5.0,2.0,1.0,-0.5,5.0,38.0,6.0,0.0,0.0,0.0,-122.0,-0.01,2.58,-11.0,-0.0,0.01,-264.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.6,3.0,6.0,14.0,-0.06,-0.04,0.19,-49.69,-44.11,-31.77,2.24,4.45,7.41,16.49,摩根大通,67.63%,國票-桃園,1.23%,元富-新興,0.53%
2024-03-15,2486,一詮,光電業,54.8,1.67,-1.46,54.0,54.4,-0.73,-3.72,35004.45,31988.91,-2669.0,5.0,186.0,183.0,-0.02,4.0,2624.0,1781.0,0.0,0.0,0.0,-2933.0,-1.32,4.52,264.0,0.12,1.35,-831.0,-0.37,-0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.68,1.63,3.0,5.0,10.0,4.8,4.2,4.34,-29.60,-17.13,8.57,0.84,2.19,3.44,5.88,兆豐-大同,2.85%,國票-中港,1.68%,凱基-站前,1.49%
2024-03-15,6263,普萊德,通信網路業,168.5,5.31,0.59,169.5,167.0,-0.89,-4.02,1379.08,774.63,-271.0,1.0,5.0,-6.0,-2.2,3.0,72.0,19.0,0.0,0.0,0.23,-260.0,-0.42,1.46,-11.0,-0.02,0.08,-277.0,-0.44,0.0,0.0,0.07,0.0,0.0,1.0,-0.88,-0.57,-1.61,1.0,4.0,6.0,-0.68,-0.68,-1.51,-19.66,-29.31,3.32,3.0,1.3,1.78,17.92,彰銀-台中,2.25%,玉山-桃園,1.96%,統一-彰化,1.52%
2024-03-15,3680,家登,半導體業,414.0,2.48,0.36,415.5,409.0,-1.21,-4.22,1322.53,1216.85,,0.0,-2.0,-21.0,9.5,3.0,99.0,-4.0,-49.0,-0.05,12.62,-173.0,-0.18,,,,,-187.0,-0.2,-1.18,-1.72,-0.57,1.0,1.0,7.0,-0.1,0.3,-0.45,2.0,5.0,8.0,-1.18,-1.38,-1.33,-11.57,2.31,25.65,-3.2,-20.15,-24.93,14.65,富邦證券,3.02%,凱基,2.65%,玉山-板橋,1.59%
2024-03-15,2834,臺企銀,金融保險業,16.55,9.97,0.91,16.7,16.35,-1.21,-2.1,207519.8,137631.69,-25887.0,4.0,246.0,122.0,-0.5,4.0,42992.0,-8620.0,12.0,0.0,0.21,-22003.0,-0.27,17.74,-3896.0,-0.05,0.34,-48217.0,-0.59,0.0,0.0,0.0,1.0,1.0,5.0,-0.04,0.27,0.45,3.0,7.0,13.0,-0.19,0.26,0.54,-31.44,-5.72,8.11,0.88,1.48,2.1,2.6,港商法國興業,0.94%,統一-城中,0.88%,中國信託-忠孝,0.65%
2024-03-15,3588,通嘉,半導體業,109.0,5.83,-1.83,107.0,107.0,-1.83,-4.89,6143.7,4591.1,-759.0,1.0,25.0,-22.0,-1.88,3.0,397.0,-40.0,0.0,0.0,0.0,-742.0,-1.26,11.44,-17.0,-0.03,0.24,-661.0,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,-3.54,-2.26,4.65,0.0,4.0,9.0,-2.57,-3.0,3.97,-23.80,21.44,45.75,1.5,-1.55,1.04,15.69,港商法國興業,2%,新加坡商瑞銀,1.63%,摩根大通,1.35%
2024-03-15,6117,迎廣,電腦及週邊設備業,80.6,1.26,1.36,81.7,79.1,-1.86,-5.27,8002.89,7698.08,-1048.0,3.0,0.0,10.0,inf,3.0,101.0,11.0,0.0,0.0,0.0,-1048.0,-1.18,3.22,0.0,0.0,0.54,-992.0,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,-1.45,-0.14,-0.85,2.0,3.0,6.0,-1.29,-1.61,-2.76,0.08,62.94,68.15,-1.0,-0.77,1.53,2.58,國泰-敦南,0.81%,統一-台中,0.65%,元富-城東,0.37%
2024-03-15,8046,南電,電子零組件業,206.0,1.48,-0.73,204.5,202.0,-1.94,-1.94,2520.61,1610.35,-329.0,1.0,-87.0,-100.0,0.15,2.0,24.0,-37.0,65.0,0.01,2.82,-367.0,-0.06,8.29,-27.0,-0.0,1.44,-375.0,-0.06,0.02,0.03,-0.03,4.0,7.0,8.0,-0.13,-0.09,-0.89,1.0,4.0,5.0,-0.1,-0.26,-0.99,-26.90,-54.43,-46.02,-3.5,-4.25,-11.8,-26.38,花旗環球,15.43%,中國信託,2.62%,元大-鳳山,1.71%
2024-03-15,3305,昇貿,其他電子業,66.3,1.69,0.3,66.5,65.0,-1.96,-2.69,1703.25,1133.36,-87.0,2.0,50.0,43.0,-0.14,3.0,57.0,-423.0,0.0,0.0,0.0,-30.0,-0.02,6.33,-57.0,-0.04,0.51,-523.0,-0.39,-0.0,0.0,-0.01,0.0,0.0,0.0,-1.06,-1.39,1.72,0.0,1.0,7.0,-1.21,-2.66,-0.59,-22.16,-11.37,4.03,-0.98,-2.64,-5.5,-4.92,京城,11.74%,新加坡商瑞銀,4.7%,美商高盛,4.58%
2024-03-15,2436,偉詮電,半導體業,64.0,1.27,0.0,64.0,62.7,-2.03,-2.79,1264.7,1256.01,-624.0,1.0,11.0,-619.0,-57.27,3.0,-259.0,164.0,0.0,0.0,0.37,-641.0,-0.36,6.73,17.0,0.01,1.51,-589.0,-0.33,0.08,0.08,0.08,2.0,2.0,2.0,-0.61,-1.75,-1.05,2.0,3.0,9.0,-0.47,-1.04,-0.67,-33.89,-2.85,28.36,-1.16,-1.9,-3.89,-5.32,富邦-新竹,6.88%,元大-新店中正,1.82%,群益金鼎-民權,1.82%
2024-03-15,2442,新美齊,電腦及週邊設備業,28.2,1.08,0.18,28.25,27.3,-3.19,-3.36,2400.14,2014.38,-1040.0,3.0,2.0,-6.0,-4.0,3.0,-134.0,82.0,0.0,0.0,0.0,-1074.0,-0.42,5.84,34.0,0.01,0.91,-788.0,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.97,0.69,3.0,6.0,11.0,-0.34,-0.52,-1.14,-67.33,624.47,"1,378.12",-0.89,-0.39,0.17,1.92,永豐金-忠孝,3.58%,統一-高雄,2.79%,華南永昌-岡山,2.58%
2024-03-15,1449,佳和,紡織纖維,19.6,1.03,0.51,19.7,18.95,-3.32,-4.05,1339.56,955.03,73.0,2.0,-2.0,21.0,-11.5,2.0,66.0,-295.0,0.0,0.0,0.0,47.0,0.06,9.73,26.0,0.03,16.78,-292.0,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.21,4.26,4.0,9.0,18.0,-1.19,-1.33,0.68,-55.52,-7.71,78.28,-0.65,-1.65,-2.14,-1.79,凱基-台北,5.75%,富邦-敦南,4.25%,永豐金-天母,3.73%
2024-03-15,2743,山富,觀光事業,120.0,2.56,-1.67,118.0,116.0,-3.33,-8.3,2721.89,406.0,,2.0,5.0,-24.0,-5.8,4.0,33.0,69.0,0.0,0.0,0.0,-263.0,-0.73,,,,,-93.0,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,-0.13,-0.14,3.0,6.0,12.0,0.29,0.42,-0.15,50.58,218.38,141.65,-1.2,0.85,2.58,-5.74,富邦證券,1.84%,玉山-桃園,1.62%,華南永昌-三重,1.47%
2024-03-15,1303,南亞,塑膠工業,56.4,1.44,-0.71,56.0,54.5,-3.37,-3.2,51401.76,8852.8,-11250.0,3.0,1.0,48.0,47.0,5.0,77.0,8.0,-5221.0,-0.07,3.23,-5957.0,-0.08,28.64,-72.0,-0.0,0.77,-9931.0,-0.13,-0.07,-0.07,-0.05,0.0,0.0,4.0,-0.06,-0.2,-0.38,2.0,3.0,6.0,-0.15,-0.37,-0.62,-18.05,-23.49,-11.93,-1.36,-1.75,-3.73,-7.76,凱基-台北,7.05%,台灣摩根士丹利,6.81%,美林,5.13%
2024-03-15,5519,隆大,建材營造,39.3,2.08,-0.13,39.25,37.9,-3.56,-3.44,2044.32,1738.84,-964.0,1.0,0.0,-1.0,-inf,4.0,-28.0,95.0,0.0,0.0,0.0,-996.0,-0.45,6.05,32.0,0.01,0.09,-646.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.27,0.33,4.0,6.0,11.0,-0.09,-0.29,-0.29,634.72,"1,662.50","1,119.07",-0.01,1.2,2.27,6.0,凱基-永和,7.09%,台新-高雄,2.98%,玉山-大里,2.35%
2024-03-15,3661,世芯-KY,半導體業,3750.0,9.97,0.0,3750.0,3605.0,-3.87,-5.5,4532.65,3832.34,-119.0,1.0,27.0,-39.0,-2.44,2.0,-2.0,-33.0,627.0,0.82,10.68,-713.0,-0.93,62.4,-33.0,-0.04,2.19,-171.0,-0.22,0.16,-1.18,-1.37,1.0,1.0,4.0,-1.25,-1.9,-1.96,2.0,3.0,7.0,-0.92,-2.44,-3.47,-3.88,110.83,108.75,-15.0,-227.0,-343.75,-93.5,元大證券,7.59%,香港上海匯豐,6.51%,統一-中壢,2.21%
2024-03-15,3313,斐成,其他,20.35,10.0,-1.72,20.0,19.55,-3.93,-6.24,1402.74,1195.93,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.02,,,,,-380.0,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.02,3.0,8.0,11.0,-0.35,-0.58,-0.97,,,,-0.61,-3.06,-1.51,4.87,國泰-敦南,4.06%,台新-左楠,3.49%,新光,2.99%
2024-03-15,2033,佳大,鋼鐵工業,16.95,9.71,1.47,17.2,16.0,-5.6,-8.05,1162.35,865.5,-88.0,1.0,26.0,-26.0,-2.0,3.0,62.0,-27.0,0.0,0.0,0.0,-88.0,-0.11,1.06,0.0,0.0,3.16,-106.0,-0.13,0.0,0.0,-0.0,0.0,0.0,0.0,-0.05,-0.14,0.11,3.0,4.0,12.0,-0.08,-0.12,-0.1,-33.57,-35.64,-1.55,-0.07,-0.17,-0.51,-0.86,華南永昌,4.3%,元大-雙和,2.58%,元大-豐原,1.98%
