date,id,name,category,三等份位階,20日跌幅,30N漲跌幅,當日漲跌幅,昨日漲跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,漲跌幅,成交量,20日最高成交量,20日最高價,3日前漲跌幅,前日漲跌幅,昨日漲跌幅.1,距20日最高價,最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券5增張,融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離,RSI
2026-07-02,3230,錦明,光電業,3,-46.35,86.38,8.19,3.82,51.5,270.0,29.0,,,,8.19,2093.3,10935.47,52.0,9.93,16.56,3.82,0.0,52.0,0.0,47.6,47.6,10935.47,1930.75,-5.0,19.0,4.0,-216.0,410.0,14.0,273.0,410.0,284.0,410.0,-1.06,4.0,48.0,100.0,0.0,0.0,0.0,18.0,0.03,2.85,1.0,0.0,0.53,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.89,-0.05,0.01,1.89,-2.26,-2.7,7.17,13.1,17.48,16.65,94.1924153188757
2026-07-02,8091,翔名,電子零組件業,3,-25.43,32.72,5.33,0.73,286.5,126.0,168.0,,,,3.99,1678.71,4029.83,291.0,-3.41,6.47,0.73,3.0,288.0,-1.27,272.0,275.5,1818.48,1743.15,157.0,394.0,4.0,18.0,157.0,4.0,127.0,157.0,157.0,157.0,-0.78,1.0,-47.0,3.0,0.0,0.0,0.0,378.0,0.79,10.94,16.0,0.03,0.51,0.35,-0.21,-0.21,-0.21,0.0,0.0,0.0,1.99,-1.65,-2.16,0.01,-3.27,-5.24,16.0,13.2,27.82,60.33,64.50666245496407
2026-07-02,4763,材料-KY,化學工業,3,-17.24,23.38,3.66,0.84,49.5,3.0,-264.0,,,,3.34,18088.73,26864.7,49.6,-2.25,8.97,0.84,0.0,49.6,-0.31,47.75,47.9,26864.7,16738.97,153.0,265.0,3.0,-111.0,138.0,57.0,39.0,138.0,91.0,138.0,-1.51,3.0,74.0,413.0,6.0,0.01,50.27,-88.0,-0.1,530.95,347.0,0.4,3.2,-0.31,0.26,0.25,0.2,2.0,4.0,4.0,-0.42,-4.4,0.32,-1.52,-4.1,1.24,2.94,3.61,4.45,5.97,73.93332627478037
2026-07-02,8261,富鼎,半導體業,3,-54.13,141.33,11.99,0.0,327.0,1451.0,-1615.0,,,,9.92,29470.64,33335.69,327.0,-4.5,10.86,0.0,0.0,327.0,-1.85,292.0,297.5,7219.16,12471.33,1923.0,-2304.0,2.0,-11.0,95.0,44.0,-169.0,95.0,90.0,95.0,-5.0,4.0,732.0,1323.0,0.0,0.0,0.3,-2400.0,-2.9,6.61,96.0,0.12,2.67,-1.95,0.01,0.03,-0.29,2.0,4.0,6.0,-0.98,3.66,-1.41,2.87,6.29,12.68,48.1,72.2,115.05,166.5,85.46253558713727
2026-07-02,2449,京元電子,半導體業,3,-25.46,31.88,7.25,-3.22,347.5,3104.0,5670.0,,,,4.98,24008.39,81551.32,353.5,-7.92,9.58,-3.22,6.0,347.5,-2.11,324.0,331.0,38077.9,37186.13,4397.0,2320.0,3.0,-39.0,113.0,67.0,77.0,113.0,85.0,113.0,-2.72,3.0,-449.0,1627.0,93.0,0.01,6.65,1814.0,0.15,36.7,413.0,0.03,13.96,0.46,-0.3,-1.69,-1.66,1.0,1.0,7.0,1.86,8.45,6.07,1.55,6.58,3.46,15.8,22.55,39.1,45.44,65.49960394983466
2026-07-02,3443,創意,半導體業,3,-26.38,35.83,8.78,3.7,5330.0,247.0,320.0,,,,5.65,3217.68,4719.52,5345.0,-8.87,9.62,3.7,0.0,5345.0,-2.87,4900.0,5045.0,2005.81,2288.15,227.0,388.0,2.0,-1.0,29.0,17.0,22.0,29.0,42.0,29.0,-18.0,3.0,-60.0,40.0,115.0,0.09,10.05,245.0,0.18,26.51,28.0,0.02,5.62,0.24,0.31,2.0,2.57,5.0,8.0,16.0,0.09,-1.61,-2.87,0.42,0.14,0.34,432.0,451.5,679.5,929.92,68.427964186293
2026-07-02,8039,台虹,電子零組件業,2,-19.68,19.12,3.14,-2.35,148.0,-620.0,-43.0,,,,1.72,5057.85,17954.5,157.5,-4.18,8.36,-2.35,8.0,149.5,-1.37,143.5,145.5,8771.53,12536.97,-16.0,-541.0,2.0,-13.0,25.0,17.0,12.0,25.0,29.0,25.0,-2.31,3.0,-683.0,198.0,0.0,0.0,0.13,-563.0,-0.27,20.79,22.0,0.01,1.16,-0.02,0.01,0.01,0.01,2.0,4.0,5.0,0.57,0.46,-0.23,0.62,0.71,0.2,3.3,1.85,4.97,6.25,54.34618822759335
2026-07-02,1536,和大,汽車工業,2,-11.84,10.42,5.49,-0.73,50.9,102.0,-31.0,,,,6.49,9250.01,9250.01,52.8,-1.98,1.27,-0.73,1.3999999999999986,51.4,0.94,48.25,47.8,828.95,1164.65,134.0,92.0,2.0,-2.0,19.0,17.0,22.0,19.0,23.0,19.0,-9.5,1.0,-1.0,400.0,0.0,0.0,0.0,64.0,0.02,3.99,28.0,0.01,1.88,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,-1.44,-2.12,-0.22,-1.0,-1.75,2.59,2.07,1.62,0.23,63.35061706924302
2026-07-02,3346,麗清,汽車工業,3,-24.91,86.62,11.2,-5.83,29.3,-1019.0,828.0,,,,9.94,5117.51,5226.05,29.3,-2.65,13.6,-5.83,0.0,29.3,-1.13,26.35,26.65,4713.34,5226.05,-906.0,416.0,2.0,-10.0,13.0,4.0,2.0,13.0,7.0,13.0,-1.4,3.0,-34.0,420.0,0.0,0.0,0.0,416.0,0.37,3.0,0.0,0.0,0.06,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.41,0.1,0.65,0.13,-0.6,2.99,3.86,4.28,9.17,75.87341677361188
2026-07-02,5289,宜鼎,電腦及週邊設備業,3,-26.67,15.49,13.58,-4.26,1715.0,-408.0,280.0,,,,8.89,3410.26,6111.88,2025.0,-7.76,0.62,-4.26,310.0,1715.0,-4.13,1510.0,1575.0,2807.4,6111.88,169.0,259.0,3.0,-19.0,13.0,5.0,-4.0,13.0,1.0,13.0,-1.26,4.0,141.0,44.0,620.0,0.7,6.2,-388.0,-0.44,26.95,27.0,0.03,1.07,0.32,-1.71,-1.75,-1.44,1.0,3.0,6.0,0.06,-1.43,-1.73,-1.95,-3.34,-3.1,65.0,-53.5,-96.0,148.2,46.72088815371208
