date,id,name,category,A轉跌幅,回彈,20日跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3,昨日A轉跌幅,漲跌幅,成交量,20日最高成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離
2024-09-18,3363,上詮,通信網路業,0.0,0.57,-18.23,177.0,-202.0,2858.0,-5.29,9.18,5.43,富邦證券,8.37%,統一-仁愛,7.5%,港商野村,3.98%,-2.72,9.94,11775.2,20100.63,7.96,-4.13,-0.92,15.0,-0.31,160.5,161.0,7022.27,3500.04,-51.0,1262.0,4.0,85.0,20.0,450.0,4.0,92.0,4.29,2.0,-166.0,-491.0,0.0,0.0,2.51,1219.0,1.24,3.1,43.0,0.04,2.91,2.9,-0.03,0.37,1.57,2.0,5.0,11.0,-0.52,0.2,4.72,0.92,-0.3,4.6,11.6,9.55,4.88,14.26
2024-09-18,5234,達興材料,光電業,0.0,1.0,-44.67,248.5,1014.0,918.0,-3.95,-11.53,-6.52,台灣匯立證券,12.43%,花旗環球,3.92%,統一,1.48%,0.0,9.96,10336.41,10336.41,6.25,9.89,9.98,0.0,2.21,231.0,226.0,7694.56,5513.3,1135.0,696.0,5.0,166.0,154.0,377.0,363.0,166.0,1.27,2.0,-64.0,-193.0,0.0,0.0,6.05,731.0,0.71,6.99,-35.0,-0.03,1.19,0.89,0.39,0.91,1.85,2.0,6.0,11.0,2.4,2.32,3.64,3.43,4.38,6.18,39.9,56.95,72.05,94.14
2024-09-18,3167,大量,電機機械,-1.83,0.96,-24.22,96.7,10.0,2003.0,3.55,114.73,90.61,華南永昌-中正,5.62%,富邦-嘉義,5.22%,台灣摩根士丹利,1.43%,-2.63,4.54,16038.37,27425.07,9.92,5.86,2.44,1.0,-0.54,92.0,92.5,14877.33,11485.46,-307.0,107.0,4.0,88.0,155.0,328.0,323.0,155.0,2.73,5.0,756.0,1311.0,0.0,0.0,0.0,-115.0,-0.14,6.97,222.0,0.27,0.91,2.43,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,-0.12,-1.05,3.91,3.67,-0.65,8.22,12.46,9.17,19.95
2024-09-18,5438,東友,電腦及週邊設備業,0.0,1.0,-41.55,27.8,-617.0,388.0,91.90,70.00,-1.32,群益金鼎,5.27%,統一,1.69%,國票-安和,1.53%,0.0,9.88,13427.64,13427.64,9.97,9.79,10.0,0.0,3.95,26.3,25.3,3440.42,7179.16,-752.0,862.0,4.0,91.0,166.0,295.0,274.0,166.0,2.24,2.0,816.0,-217.0,0.0,0.0,0.0,863.0,0.77,1.82,-1.0,-0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.93,0.94,0.4,0.4,0.4,4.58,7.68,9.38,9.98
2024-09-18,4513,福裕,電機機械,0.0,0.34,-37.74,65.8,-1346.0,1165.0,-49.30,-50.25,-4.17,凱基-台北,10.26%,港商野村,9.7%,國票證券,2.58%,0.0,9.85,7717.54,22258.79,-1.7,-3.11,6.96,21.90000000000001,3.01,61.7,59.9,4964.97,9169.22,-1378.0,1109.0,2.0,0.0,44.0,287.0,-103.0,79.0,inf,2.0,321.0,-201.0,0.0,0.0,0.0,1035.0,0.97,3.08,74.0,0.07,0.27,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.82,-2.4,-0.2,-1.25,-7.97,6.14,3.86,-4.48,5.25
2024-09-18,4563,百德,電機機械,0.0,1.0,-34.29,108.5,-37.0,1297.0,10.17,33.16,29.96,群益金鼎,9.93%,凱基-台北,3.38%,統一,3.1%,-3.14,9.82,7163.1,25605.1,2.39,4.44,5.11,0.0,2.23,101.0,98.8,10642.49,11319.85,154.0,1129.0,4.0,16.0,23.0,277.0,58.0,77.0,16.31,4.0,109.0,-369.0,0.0,0.0,0.0,1071.0,1.95,4.07,58.0,0.11,0.63,2.36,0.0,0.0,0.0,0.0,0.0,0.0,2.18,-0.17,0.56,2.92,-0.46,-2.76,12.66,15.87,22.78,37.31
2024-09-18,3581,博磊,半導體業,0.0,1.0,-25.17,60.2,708.0,1232.0,31.91,3.62,-7.94,群益金鼎,5.88%,凱基-台北,4.35%,統一,3.79%,0.0,9.85,8439.99,19826.5,1.7,-1.87,9.93,0.0,0.36,55.0,54.8,1116.43,4706.77,900.0,-68.0,3.0,14.0,-16.0,265.0,1.0,33.0,17.93,4.0,512.0,469.0,0.0,0.0,0.0,-68.0,-0.13,11.41,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.93,2.28,3.84,3.69,3.16,7.08,7.42,8.65,13.75
2024-09-18,6869,雲豹能源-創,其他業,0.0,0.39,-23.03,224.0,-874.0,1637.0,-14.55,-88.94,-53.57,凱基-台北,6.71%,美商高盛,3.75%,元大-忠孝鼎富,3.31%,-6.21,9.8,8703.97,24509.7,3.38,-0.93,-3.77,36.5,0.49,205.0,204.0,2417.67,4237.57,-678.0,1403.0,4.0,9.0,1.0,230.0,21.0,38.0,24.56,3.0,48.0,317.0,0.0,0.0,0.03,1393.0,1.2,3.14,10.0,0.01,1.01,1.41,0.0,0.01,0.02,0.0,1.0,3.0,1.12,0.88,-1.72,0.53,-0.5,-4.55,11.8,10.5,-4.45,-11.22
2024-09-18,6830,汎銓,其他電子業,0.0,1.0,-33.06,184.5,763.0,1012.0,-5.67,4.48,3.99,富邦證券,20.46%,統一,3.87%,元大證券,1.78%,0.0,9.82,5454.22,5454.22,2.86,6.25,9.8,0.0,4.17,175.0,168.0,3249.04,3487.07,-101.0,-66.0,5.0,39.0,18.0,163.0,-6.0,39.0,3.18,4.0,576.0,732.0,0.0,0.0,0.19,-66.0,-0.14,2.81,-0.0,-0.0,1.22,2.16,0.03,0.14,0.19,1.0,3.0,4.0,-0.19,0.55,0.46,3.41,4.37,4.0,26.6,33.45,42.22,45.44
2024-09-18,6288,聯嘉,汽車工業,0.0,1.0,-13.6,28.3,19.0,845.0,5.49,21.02,32.39,華南永昌,17.72%,統一-板橋,10.81%,兆豐-南京,10.81%,-0.58,9.9,4577.61,4577.61,0.4,1.99,0.59,0.0,-0.19,25.7,25.75,351.06,287.23,104.0,-439.0,2.0,0.0,-2.0,146.0,-2.0,2.0,inf,2.0,-211.0,996.0,0.0,0.0,0.0,-432.0,-0.21,2.15,-7.0,-0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,-0.07,-0.11,0.43,0.34,0.2,2.35,2.73,2.5,0.89
