date,id,name,category,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,前日成交量,昨日成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2024-04-02,6288,聯嘉,汽車工業,-1.04,3.14,0.0,1.6,35.0,36.55,6.1,-1.75,23072.75,1488.4,2718.46,1267.0,3.0,150.0,2878.0,18.19,3.0,253.0,5967.0,0.0,0.0,0.0,1360.0,0.66,6.01,-93.0,-0.05,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.82,1.92,4.0,7.0,12.0,,,,,,,2.17,2.23,2.5,3.7,華南永昌-忠孝,9.04%,凱基-信義,4.83%,凱基-敦北,2.11%
2024-04-02,2486,一詮,光電業,2.39,10.0,0.0,3.03,68.0,72.6,10.0,0.0,73957.41,17457.28,40464.13,3992.0,4.0,1296.0,2581.0,0.99,4.0,2733.0,483.0,0.0,0.0,0.0,3989.0,1.8,12.44,3.0,0.0,1.29,,,0.0,0.0,0.0,0.0,0.0,0.0,3.96,9.36,10.04,3.0,7.0,12.0,,,,,,,9.36,11.12,15.32,20.79,富邦證券,4.63%,摩根大通,2.94%,台灣摩根士丹利,2.66%
2024-04-02,8054,安國,半導體業,2.1,3.42,0.0,0.0,151.0,166.0,9.93,0.0,32979.77,32742.57,19928.02,2155.0,5.0,118.0,930.0,6.88,4.0,329.0,1177.0,0.0,0.0,0.0,2128.0,2.17,4.71,27.0,0.03,1.63,,,0.0,0.0,-0.12,0.0,0.0,0.0,0.96,0.31,-2.2,3.0,5.0,7.0,,,,,,,18.8,25.9,29.82,22.33,凱基-台北,2.66%,富邦證券,2.59%,港商野村,1.26%
2024-04-02,2317,鴻海,其他電子業,-3.54,0.33,0.0,1.0,152.0,159.0,5.65,-0.31,180494.52,154117.08,78537.15,18691.0,2.0,-151.0,808.0,-6.35,3.0,-45.0,8557.0,619.0,0.0,3.19,13659.0,0.1,40.49,4413.0,0.03,1.43,,,0.1,0.24,0.9,5.0,10.0,20.0,0.2,0.58,2.19,4.0,8.0,15.0,,,,,,,6.3,11.3,25.5,46.23,美林,6.1%,港商法國興業,2.16%,摩根大通,1.73%
2024-04-02,2515,中工,建材營造,0.35,2.47,0.0,0.34,14.55,15.95,10.0,0.0,126149.47,25767.53,33496.13,28483.0,3.0,83.0,600.0,6.23,4.0,2243.0,3132.0,0.0,0.0,0.04,27810.0,1.82,18.76,673.0,0.04,2.45,,,0.0,0.0,0.0,0.0,0.0,0.0,3.48,4.2,3.06,4.0,9.0,12.0,,,,,,,1.39,2.1,2.68,3.08,台灣摩根士丹利,4.84%,富邦-南屯,4.05%,美商高盛,3.93%
2024-04-02,3583,辛耘,半導體業,-2.27,4.47,0.0,1.58,320.5,347.0,9.98,0.0,12722.74,6983.96,11853.22,1583.0,2.0,-12.0,317.0,-27.42,3.0,474.0,89.0,29.0,0.04,1.88,1406.0,1.75,13.82,148.0,0.18,1.49,,,0.03,0.42,0.46,3.0,5.0,6.0,2.15,1.47,4.29,2.0,4.0,9.0,,,,,,,28.8,44.15,56.27,99.15,摩根大通,4.68%,元富,4.24%,富邦證券,2.49%
2024-04-02,2382,廣達,電腦及週邊設備業,4.82,-3.75,0.0,1.42,286.5,298.0,5.49,-0.33,87462.98,135928.95,66759.24,19407.0,3.0,-1076.0,298.0,-1.28,2.0,177.0,-1589.0,1943.0,0.05,5.54,16232.0,0.42,27.46,1232.0,0.03,4.03,,,0.55,0.54,0.53,5.0,8.0,12.0,0.44,0.33,1.38,3.0,5.0,12.0,,,,,,,15.7,29.85,39.12,55.75,台灣摩根士丹利,3.94%,凱基-台北,3.57%,港商麥格理,3.43%
2024-04-02,6668,中揚光,光電業,0.31,4.4,0.0,0.45,66.8,70.3,5.71,-2.09,11142.08,5857.41,5133.77,-89.0,3.0,48.0,237.0,3.94,4.0,377.0,706.0,0.0,0.0,0.0,-110.0,-0.14,24.52,21.0,0.03,1.02,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,-0.06,1.56,2.0,4.0,9.0,,,,,,,5.34,6.99,11.16,16.35,台灣摩根士丹利,2.2%,富邦-永康,1.29%,美林,1.03%
2024-04-02,3010,華立,電子通路業,0.44,5.31,0.0,5.04,125.0,130.5,9.66,0.0,14380.65,770.41,3965.48,-978.0,4.0,37.0,210.0,4.68,3.0,469.0,1316.0,130.0,0.06,0.13,-1055.0,-0.45,14.07,-53.0,-0.02,0.0,,,0.06,0.06,0.06,4.0,8.0,14.0,0.22,0.35,0.26,4.0,7.0,11.0,,,,,,,13.1,15.95,17.83,25.82,中國信託-松江,4.52%,元大-頭份,4.35%,統一,3.74%
2024-04-02,3231,緯創,電腦及週邊設備業,3.73,-2.0,4.5,1.22,124.0,125.0,2.04,-0.4,81508.61,241803.26,111872.12,6608.0,3.0,-492.0,192.0,-1.39,4.0,3758.0,-593.0,840.0,0.03,10.34,6399.0,0.22,29.65,-631.0,-0.02,9.33,,,0.17,0.25,0.09,4.0,7.0,11.0,1.17,0.53,0.42,3.0,5.0,10.0,,,,,,,3.0,3.75,4.92,12.83,凱基-台北,2.62%,美林,2.16%,凱基,1.69%
