date,id,name,category,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,前日成交量,昨日成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2024-04-02,1723,中碳,化學工業,-2.43,-1.24,9.0,0.42,119.5,118.0,-0.84,-1.26,683.12,3294.73,1183.01,-224.0,1.0,0.0,-30.0,-inf,1.0,-233.0,-91.0,0.0,0.0,4.49,-170.0,-0.07,8.31,-54.0,-0.02,0.69,,,1.07,1.74,1.77,4.0,9.0,14.0,-0.57,-0.82,-1.02,1.0,3.0,6.0,,,,,,,-2.6,-2.4,0.58,2.24,凱基-台北,10.69%,統一,4.39%,美好-蘆洲,3.07%
2024-04-02,1731,美吾華,生技醫療業,-4.15,0.19,1.6000000000000014,0.56,26.75,26.2,-1.5,-2.06,574.57,1296.9,343.17,48.0,1.0,6.0,-5.0,-1.83,1.0,-20.0,-40.0,0.0,0.0,0.0,41.0,0.03,3.24,7.0,0.01,0.27,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.6,4.0,8.0,16.0,,,,,,,-0.44,-0.01,0.27,2.28,美林,9.04%,元大-彰化,4.17%,第一金-路竹,3.83%
2024-04-02,1762,中化生,生技醫療業,-2.3,0.82,1.2999999999999972,0.0,49.25,48.75,-1.02,-1.52,321.27,408.81,110.29,-6.0,4.0,11.0,5.0,-0.55,2.0,-9.0,-9.0,0.0,0.0,0.0,-5.0,-0.01,2.36,-1.0,-0.0,0.67,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.39,0.71,3.0,7.0,13.0,,,,,,,-0.56,-0.78,-0.57,-2.91,永豐金-市政,7.79%,兆豐-新營,6.23%,元大-木柵,3.43%
2024-04-02,2206,三陽工業,汽車工業,-2.09,0.13,3.799999999999997,0.27,75.3,74.7,-0.53,-1.06,2507.56,5400.94,1927.3,-697.0,2.0,4.0,-11.0,-3.75,1.0,-74.0,-108.0,-4.0,-0.0,0.68,-736.0,-0.09,8.09,43.0,0.01,0.71,,,-0.01,-0.03,0.13,0.0,1.0,8.0,-0.17,0.08,-0.58,2.0,4.0,6.0,,,,,,,-0.66,-1.26,-1.12,1.18,永豐金-內湖,9.97%,港商野村,2.71%,元大-高雄,2.67%
2024-04-02,2301,光寶科,電腦及週邊設備業,-4.72,-0.99,20.5,0.5,100.5,104.0,4.0,-1.42,38634.69,66886.13,20586.86,-10567.0,3.0,-77.0,56.0,-1.73,5.0,670.0,124.0,866.0,0.04,11.25,-11729.0,-0.5,28.09,296.0,0.01,6.79,,,0.04,1.99,2.37,4.0,9.0,15.0,-2.12,-3.82,-5.73,0.0,0.0,1.0,,,,,,,-0.7,-9.1,-9.22,-7.69,富邦證券,2.67%,群益金鼎,2.65%,國票-敦北法人,2.28%
2024-04-02,2324,仁寶,電腦及週邊設備業,-5.48,0.97,2.1000000000000014,0.27,36.65,36.85,0.82,-1.21,27226.74,77618.97,24860.89,3495.0,3.0,12.0,50.0,3.17,3.0,1592.0,-363.0,1188.0,0.03,13.93,3572.0,0.08,43.64,-1265.0,-0.03,8.38,,,-0.01,-0.04,-0.06,2.0,3.0,7.0,0.06,0.14,-0.33,4.0,6.0,10.0,,,,,,,-0.35,-0.89,-0.48,-0.17,美林,17.59%,台灣匯立證券,4.3%,摩根大通,2.64%
2024-04-02,2739,寒舍,觀光事業,-2.67,1.73,4.299999999999997,0.0,50.1,49.35,-1.5,-2.47,330.38,867.19,333.75,-112.0,1.0,0.0,0.0,,3.0,-20.0,11.0,0.0,0.0,0.0,-47.0,-0.05,3.86,-65.0,-0.07,0.1,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.2,0.43,2.0,5.0,11.0,,,,,,,-0.89,-1.4,-1.72,-5.32,元大-樹林,6.06%,港商野村,3.33%,台中銀-豐原,2.42%
2024-04-02,3005,神基,電腦及週邊設備業,-4.14,0.78,31.0,0.39,129.0,128.5,0.0,-1.53,6531.42,23092.8,12651.69,953.0,4.0,192.0,7.0,-0.96,2.0,415.0,-209.0,-22.0,-0.0,15.78,1090.0,0.18,14.84,-115.0,-0.02,5.26,,,0.56,2.84,4.82,2.0,6.0,14.0,0.31,-3.64,-8.33,3.0,3.0,4.0,,,,,,,-4.9,-12.3,-6.35,10.61,台灣摩根士丹利,12.48%,摩根大通,6%,美林,2.82%
2024-04-02,3083,網龍,文化創意業,-2.08,2.5,4.399999999999999,0.56,53.5,52.4,-1.5,-2.24,873.09,1400.4,905.48,-76.0,1.0,8.0,-17.0,-3.12,3.0,-4.0,50.0,0.0,0.0,1.35,-74.0,-0.09,3.12,-2.0,-0.0,0.73,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.78,2.6,3.0,6.0,16.0,,,,,,,-0.56,-0.93,1.83,5.72,台新證券,9.62%,港商法國興業,3.21%,元大-上新莊,2.41%
2024-04-02,3169,亞信,半導體業,-2.34,1.2,27.0,1.19,128.0,126.0,-0.4,-1.56,329.3,1019.62,369.38,-83.0,2.0,0.0,0.0,,0.0,-6.0,-37.0,0.0,0.0,0.0,-74.0,-0.12,1.73,-9.0,-0.01,1.02,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,-0.63,-1.33,2.0,4.0,9.0,,,,,,,-1.1,-4.0,-8.6,-4.93,凱基-永華,9.12%,凱基-竹北,6.08%,土銀-新竹,4.86%
2024-04-02,3406,玉晶光,光電業,-2.55,-1.31,42.0,0.72,493.0,484.5,-1.02,-2.32,1479.91,3418.4,2240.4,-12.0,2.0,-9.0,-14.0,0.56,2.0,41.0,-88.0,-70.0,-0.06,0.12,157.0,0.14,30.71,-99.0,-0.09,9.12,,,-0.64,-0.48,-0.84,0.0,3.0,5.0,0.72,1.98,3.7,4.0,7.0,11.0,,,,,,,-12.3,-5.2,34.5,62.6,香港上海匯豐,8.04%,美商高盛,7.64%,港商法國興業,4.39%
2024-04-02,3437,榮創,光電業,-2.76,0.5,4.250000000000004,0.0,30.15,29.8,-1.16,-1.32,1079.13,1837.06,977.5,-134.0,1.0,-10.0,-24.0,1.4,4.0,-83.0,28.0,0.0,0.0,0.0,-139.0,-0.1,4.24,5.0,0.0,0.45,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.34,-0.45,-1.36,2.0,4.0,7.0,,,,,,,-0.27,-0.18,-0.61,-1.34,大昌-新店,9.92%,統一-台中,4.63%,摩根大通,3.15%
2024-04-02,4121,優盛,生技醫療業,-2.49,1.18,2.6000000000000014,0.0,25.75,25.25,-1.94,-1.94,381.26,613.45,376.92,-115.0,2.0,4.0,-5.0,-2.25,3.0,7.0,-13.0,0.0,0.0,0.0,-116.0,-0.14,2.23,1.0,0.0,2.18,,,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.38,0.87,3.0,7.0,15.0,,,,,,,-0.53,-1.11,-0.96,0.29,大昌-安康,5.25%,新光-台中,4.72%,臺銀-新竹,4.2%
2024-04-02,4148,全宇生技-KY,生技醫療業,-3.26,1.58,3.200000000000003,-0.19,51.2,51.7,0.78,-0.19,41.0,92.43,60.15,1.0,0.0,0.0,0.0,,1.0,-2.0,-12.0,0.0,0.0,0.0,2.0,0.0,73.17,-1.0,-0.0,0.05,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.17,-0.17,-0.06,1.0,4.0,11.0,,,,,,,-0.32,-1.24,-1.06,1.67,元富-緯城,19.51%,凱基-台北,17.07%,富邦-嘉義,12.2%
