date,id,name,category,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,昨日A轉跌幅,成交量,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
2024-04-02,1723,中碳,化學工業,1.23,-2.43,-1.24,9.0,0.42,119.5,118.0,-0.84,-1.26,-1.65,683.12,3294.73,1183.01,-2.6,-2.4,0.58,2.24
2024-04-02,1731,美吾華,生技醫療業,5.93,-4.15,0.19,1.6000000000000014,0.56,26.75,26.2,-1.5,-2.06,-1.3,574.57,1296.9,343.17,-0.44,-0.01,0.27,2.28
2024-04-02,2206,三陽工業,汽車工業,1.59,-2.09,0.13,3.799999999999997,0.27,75.3,74.7,-0.53,-1.06,-0.66,2507.56,5400.94,1927.3,-0.66,-1.26,-1.12,1.18
2024-04-02,2301,光寶科,電腦及週邊設備業,-5.78,-4.72,-0.99,20.5,0.5,100.5,104.0,4.0,-1.42,-2.44,38634.69,66886.13,20586.86,-0.7,-9.1,-9.22,-7.69
2024-04-02,2324,仁寶,電腦及週邊設備業,0.52,-5.48,0.97,2.1000000000000014,0.27,36.65,36.85,0.82,-1.21,-1.48,27226.74,77618.97,24860.89,-0.35,-0.89,-0.48,-0.17
2024-04-02,3005,神基,電腦及週邊設備業,-11.04,-4.14,0.78,31.0,0.39,129.0,128.5,0.0,-1.53,-2.28,6531.42,23092.8,12651.69,-4.9,-12.3,-6.35,10.61
2024-04-02,3406,玉晶光,光電業,0.79,-2.55,-1.31,42.0,0.72,493.0,484.5,-1.02,-2.32,-1.31,1479.91,3418.4,2240.4,-12.3,-5.2,34.5,62.6
2024-04-02,3437,榮創,光電業,4.4,-2.76,0.5,4.250000000000004,0.0,30.15,29.8,-1.16,-1.32,-0.66,1079.13,1837.06,977.5,-0.27,-0.18,-0.61,-1.34
2024-04-02,4915,致伸,電子零組件業,0.7,-2.45,-1.19,6.599999999999994,0.24,82.9,82.7,0.0,-1.43,-2.13,3343.42,16407.32,5241.5,-1.32,-1.47,1.61,10.57
2024-04-02,5388,中磊,通信網路業,-3.03,-5.9,1.48,13.0,0.0,137.5,137.5,0.0,-0.72,-0.36,2754.5,10376.63,3721.7,-3.1,-5.95,-3.0,3.4
2024-04-02,5469,瀚宇博,電子零組件業,-0.63,-3.8,0.33,7.700000000000003,0.66,61.4,61.2,0.33,-1.77,-1.29,6046.72,19291.04,7154.21,-0.76,-1.55,1.83,3.8
2024-04-02,6176,瑞儀,光電業,0.29,-2.03,0.3,28.0,-0.29,169.0,174.0,2.65,0.0,-1.45,5771.72,12100.6,5690.31,2.6,-0.7,0.05,23.04
2024-04-02,8016,矽創,半導體業,-1.15,-2.83,-0.34,28.0,0.52,292.0,293.5,1.03,-0.51,-1.69,864.85,4638.48,1688.21,-2.3,-6.2,-0.77,7.32
2024-04-02,3083,網龍,文化創意業,-2.39,-2.08,2.5,4.399999999999999,0.56,53.5,52.4,-1.5,-2.24,-1.3,873.09,1400.4,905.48,-0.56,-0.93,1.83,5.72
2024-04-02,5309,系統電,電子零組件業,-0.25,-9.49,0.0,4.75,0.28,35.85,35.35,-1.12,-1.39,-1.11,2241.22,13529.0,2403.71,-1.84,-1.29,-1.01,-0.35
2024-04-02,6146,耕興,其他電子業,-3.92,-3.3,0.2,47.5,0.0,249.5,247.0,-1.0,-1.0,-1.58,732.62,1971.01,923.11,-7.2,-14.85,-9.45,6.98
2024-04-02,6190,萬泰科,通信網路業,0.41,-2.88,0.71,1.0499999999999972,0.84,35.9,35.3,-0.84,-1.81,-1.11,846.85,1981.04,1284.9,-0.48,-0.21,0.14,3.02
2024-04-02,6237,驊訊,半導體業,2.84,-2.6,1.5,10.099999999999994,0.99,61.5,60.7,-0.33,-1.3,-1.3,513.16,838.54,557.72,0.08,-0.02,-0.73,-2.93
