date,id,name,category,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,前日成交量,昨日成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2024-04-02,3055,蔚華科,電子通路業,-0.71,2.28,2.5,-0.28,71.6,76.8,6.96,-1.79,6878.82,1989.44,1264.03,-146.0,1.0,-3.0,4.0,-2.33,2.0,-9.0,570.0,0.0,0.0,0.0,-171.0,-0.17,4.73,25.0,0.03,0.09,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.54,1.07,2.0,3.0,9.0,,,,,,,4.6,5.47,6.17,15.3,群益金鼎-大安,2.18%,凱基-台北,1.99%,摩根大通,1.25%
2024-04-02,3443,創意,半導體業,2.05,4.02,185.0,5.02,1360.0,1375.0,6.18,-1.43,4566.97,2747.23,2401.3,278.0,3.0,8.0,24.0,2.0,3.0,7.0,-123.0,77.0,0.06,2.93,139.0,0.1,24.44,62.0,0.05,5.01,,,-0.42,-0.62,-1.09,2.0,2.0,3.0,0.17,0.35,-0.4,3.0,6.0,9.0,,,,,,,100.0,90.0,24.0,-159.67,台灣摩根士丹利,4.12%,摩根大通,3.17%,國泰證券,2.06%
2024-04-02,3587,閎康,其他電子業,-0.74,4.48,9.5,0.71,282.0,297.0,6.07,-0.34,4134.66,492.06,1594.47,1330.0,2.0,-33.0,3.0,-1.09,1.0,-44.0,-137.0,553.0,0.83,4.87,680.0,1.03,11.69,97.0,0.15,0.94,,,0.5,0.58,0.56,1.0,4.0,6.0,1.69,2.21,2.09,2.0,5.0,10.0,,,,,,,18.9,22.0,22.07,36.19,摩根大通,5.27%,第一金,5.27%,國票-敦北法人,4.16%
2024-04-02,4542,科嶠,電子零組件業,-3.35,1.1,2.300000000000012,3.12,66.2,70.6,9.97,0.0,1193.16,252.09,268.55,23.0,1.0,0.0,20.0,inf,3.0,3.0,187.0,0.0,0.0,0.0,32.0,0.1,4.01,-9.0,-0.03,1.97,,,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.5,0.61,2.0,5.0,11.0,,,,,,,4.42,4.8,5.46,10.63,元富-松德,11.99%,元大證券,11.9%,元大-林森,9.3%
2024-04-02,4908,前鼎,通信網路業,-1.36,0.92,4.0,0.46,110.0,118.5,8.22,-1.25,6963.61,1950.28,2956.13,129.0,4.0,-8.0,7.0,-1.88,3.0,-132.0,380.0,0.0,0.0,0.12,-21.0,-0.03,3.36,150.0,0.19,1.04,,,0.0,0.01,0.12,0.0,1.0,3.0,-0.03,-0.26,-2.69,3.0,6.0,9.0,,,,,,,7.7,10.1,10.17,16.76,群益金鼎-延平,5.72%,凱基-台北,5.47%,統一-仁愛,4.31%
2024-04-02,6515,穎崴,半導體業,1.55,0.42,32.0,0.0,722.0,766.0,6.09,-0.91,1395.89,226.9,224.01,130.0,2.0,0.0,3.0,inf,4.0,-3.0,226.0,-3.0,-0.01,11.97,14.0,0.04,12.21,119.0,0.34,1.38,,,0.04,-0.13,-2.13,3.0,5.0,8.0,-0.36,-0.23,1.15,3.0,4.0,10.0,,,,,,,40.2,37.7,38.75,2.65,元大-城東,4.51%,新加坡商瑞銀,4.37%,元大證券,3.94%
2024-04-02,6526,達發,半導體業,1.31,0.0,52.0,0.81,624.0,650.0,5.01,-2.26,1847.89,587.43,220.19,269.0,,,,,,,,-39.0,-0.02,0.61,305.0,0.18,6.44,3.0,0.0,0.05,,,-0.15,-0.2,-0.29,0.0,1.0,4.0,0.2,-0.21,-1.06,3.0,5.0,6.0,,,,,,,25.4,20.7,11.15,48.15,凱基-台北,22.62%,港商野村,8.6%,富邦-仁愛,5.03%
2024-04-02,6532,瑞耘,半導體業,0.0,0.98,1.3999999999999917,0.28,72.4,79.4,9.97,0.0,3081.07,189.18,323.02,-338.0,1.0,-2.0,0.0,-1.0,2.0,-16.0,412.0,0.0,0.0,0.0,-339.0,-0.91,1.84,1.0,0.0,0.37,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,-0.61,-0.18,2.0,4.0,9.0,,,,,,,6.16,6.62,6.27,12.82,統一,7.89%,富邦-台南,1.69%,元富-緯城,1.66%
2024-04-02,6643,M31,半導體業,9.73,4.96,70.0,1.69,1505.0,1595.0,7.77,-0.31,2579.28,1165.85,1713.75,36.0,5.0,12.0,24.0,1.0,3.0,68.0,4.0,143.0,0.41,8.83,-122.0,-0.35,16.3,15.0,0.04,1.97,,,0.45,0.42,-1.83,2.0,2.0,3.0,-1.25,-1.58,-3.98,0.0,1.0,5.0,,,,,,,170.0,174.0,148.0,141.15,國泰證券,4.58%,元大證券,3.37%,群益金鼎-大安,1.74%
2024-04-02,6684,安格,半導體業,0.71,2.01,19.8,0.7,86.9,93.3,8.11,-0.96,5549.22,4535.57,2047.85,56.0,1.0,0.0,90.0,inf,3.0,-104.0,148.0,0.0,0.0,0.0,56.0,0.13,1.03,-0.0,-0.0,0.19,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,-1.26,-0.96,2.0,6.0,10.0,,,,,,,7.42,7.91,4.33,-1.2,凱基-宜蘭,1.93%,新光,1.87%,凱基-台北,1.55%
