date,id,name,category,三等份位階,20日跌幅,30N漲跌幅,當日漲跌幅,昨日漲跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,漲跌幅,成交量,20日最高成交量,20日最高價,3日前漲跌幅,前日漲跌幅,昨日漲跌幅.1,距20日最高價,最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券5增張,融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離,RSI
2026-06-04,2409,友達,光電業,3,-40.03,78.31,2.99,4.55,29.25,10594.0,-78262.0,,,,1.74,878685.42,878685.42,29.6,3.48,9.87,4.55,0.0,29.6,-1.22,28.4,28.75,720567.4,706729.44,-29968.0,-6210.0,3.0,3465.0,2768.0,-3133.0,5328.0,3465.0,2646.0,3465.0,-1.9,3.0,10104.0,-12038.0,156.0,0.0,0.23,-8471.0,-0.11,12.38,2105.0,0.03,6.64,-1.02,0.0,0.0,0.0,4.0,6.0,10.0,-0.46,-3.18,1.06,0.73,-1.57,1.92,3.06,4.99,7.44,10.63,83.638735626536
2026-06-04,6116,彩晶,光電業,3,-60.26,166.01,-5.32,5.34,20.45,3627.0,-5065.0,,,,-9.91,43646.78,497020.91,22.7,9.94,9.84,5.34,1.099999999999998,21.6,-4.85,21.6,22.7,200560.08,108791.28,-3872.0,1054.0,4.0,2452.0,82.0,-617.0,6558.0,2452.0,3952.0,2452.0,-1.25,2.0,6262.0,-9576.0,0.0,0.0,0.0,948.0,0.03,7.37,106.0,0.0,3.1,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.41,-0.39,0.59,-0.18,0.27,1.52,0.51,3.62,6.91,10.21,74.20608556741277
2026-06-04,4931,新盛力,電腦及週邊設備業,3,-41.79,80.86,0.58,7.4,260.0,1961.0,-1018.0,,,,2.36,24252.65,32312.04,274.0,3.92,-3.14,7.4,0.0,274.0,1.77,258.5,254.0,7792.04,10841.75,-168.0,722.0,3.0,209.0,-1.0,-69.0,230.0,209.0,214.0,209.0,-1.33,2.0,1330.0,-806.0,0.0,0.0,0.0,829.0,1.26,12.67,-107.0,-0.16,5.51,-1.55,0.0,0.0,0.0,0.0,0.0,0.0,2.18,5.3,8.28,3.74,4.48,11.44,17.4,32.05,51.45,93.97,79.30857707641424
2026-06-04,1710,東聯,化學工業,3,-31.02,44.98,-3.14,5.96,15.4,-393.0,-964.0,,,,-3.75,30914.85,34746.24,16.6,-1.09,6.59,5.96,0.0,16.6,-0.62,15.9,16.0,13980.96,34746.24,847.0,4742.0,3.0,208.0,19.0,-50.0,244.0,208.0,188.0,208.0,-1.24,3.0,358.0,-1568.0,0.0,0.0,0.0,5020.0,0.57,5.63,-278.0,-0.03,0.67,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.24,1.55,1.05,0.08,0.27,0.03,0.72,1.54,2.38,1.81,72.98525585428513
2026-06-04,2371,大同,電機機械,3,-14.48,16.93,1.1,5.5,32.05,-1255.0,-12580.0,,,,1.26,82194.85,82194.85,32.8,1.51,-1.32,5.5,0.0,32.8,0.16,31.7,31.65,18001.88,67765.67,1101.0,-12194.0,4.0,127.0,-3.0,29.0,158.0,127.0,177.0,127.0,-0.77,1.0,1198.0,-46.0,172.0,0.01,0.22,-13029.0,-0.56,6.43,663.0,0.03,2.67,-0.54,0.02,-0.06,-0.04,4.0,4.0,11.0,-0.07,-0.21,-1.75,-0.36,-0.75,-2.02,1.33,1.89,2.33,1.23,72.39503843511953
2026-06-04,6126,信音,電子零組件業,3,-28.09,45.42,1.9,9.92,43.0,2260.0,-1672.0,,,,0.82,18946.27,18946.27,44.5,4.93,4.16,9.92,0.0,44.5,-1.06,42.2,42.65,6031.56,15724.33,2369.0,-250.0,4.0,112.0,12.0,13.0,147.0,112.0,152.0,112.0,-0.88,4.0,848.0,76.0,0.0,0.0,0.0,-496.0,-0.42,7.68,246.0,0.21,0.85,-1.43,0.0,0.0,0.0,0.0,0.0,0.0,2.77,3.79,4.91,2.07,2.6,3.57,3.56,5.37,7.53,9.89,90.2170694308413
2026-06-04,2891,中信金,金融保險業,3,-24.11,32.31,0.0,7.8,68.0,15307.0,-5904.0,,,,-3.55,97008.09,114703.22,70.5,2.64,3.22,7.8,1.2999999999999972,69.2,-3.55,68.0,70.5,70381.89,84076.95,112.0,-4514.0,4.0,100.0,48.0,-246.0,203.0,100.0,-50.0,100.0,-3.46,2.0,1394.0,-949.0,-3300.0,-0.02,15.6,-2792.0,-0.01,34.41,1578.0,0.01,1.64,-0.03,0.25,0.29,-0.15,4.0,7.0,8.0,-0.18,-0.13,0.52,0.17,0.3,0.56,2.96,6.38,9.43,13.12,77.89342293178703
2026-06-04,8064,東捷,光電業,3,-45.38,152.67,-1.46,7.14,169.0,2868.0,-2504.0,,,,-2.03,42646.46,42646.46,189.5,9.79,0.0,7.14,0.0,189.5,-0.58,171.5,172.5,25755.51,9044.51,888.0,-585.0,3.0,94.0,-37.0,-168.0,74.0,94.0,-31.0,94.0,-2.79,4.0,170.0,68.0,0.0,0.0,0.17,-285.0,-0.17,11.0,-300.0,-0.18,0.71,-1.52,0.17,0.17,0.17,1.0,1.0,1.0,-0.06,-1.51,-5.79,0.66,-0.6,-5.24,9.3,18.85,33.8,72.78,73.02491862617181
2026-06-04,3376,新日興,電子零組件業,2,-18.57,20.69,-5.27,7.09,215.5,4441.0,-1710.0,,,,-4.86,6456.77,14199.22,231.5,6.17,-1.63,7.09,4.0,227.5,0.44,227.5,226.5,3929.31,14199.22,4864.0,-1756.0,2.0,78.0,-5.0,-28.0,73.0,78.0,49.0,78.0,-1.36,4.0,586.0,389.0,0.0,0.0,2.22,-1435.0,-0.76,25.45,-321.0,-0.17,1.32,-0.91,0.0,0.0,-0.95,0.0,1.0,2.0,1.71,4.29,6.0,1.26,3.18,2.39,1.3,1.75,7.43,8.1,53.61734188461973
2026-06-04,2342,茂矽,半導體業,3,-20.76,57.5,-0.58,9.71,43.05,3997.0,-211.0,,,,-3.58,18426.72,31903.42,47.45,-2.57,-2.64,9.71,0.2000000000000028,47.25,-3.02,43.3,44.65,4794.85,15954.65,3902.0,738.0,2.0,72.0,-36.0,-82.0,16.0,72.0,-69.0,72.0,-2.14,2.0,616.0,-757.0,0.0,0.0,0.0,796.0,0.51,8.75,-58.0,-0.04,0.09,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,2.26,2.77,2.66,1.61,1.91,-1.68,0.49,0.34,1.12,7.85,55.26356605773334
