date,id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,三大買賣超,融券5N,前日融券,昨日融券,昨日融券5MAX,昨日融券10MAX,昨日融券20MAX,融券差額(張),昨日融券5增張,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2024-03-06,3013,晟銘電,電腦及週邊設備業,60.2,9.85,1.16,60.9,64.2,6.64,-3.02,95222.79,456.0,4.0,734.0,1827.0,1827.0,1827.0,1827.0,1567.0,2960.0,-0.14,4.0,1555.0,3266.0,0.0,0.0,0.0,372.0,0.24,12.54,84.0,0.05,0.79,-143.0,-0.09,17.08,16.63,17.5,,,,9.3,13.66,17.18,17.78,凱基-台北,2.04%,台灣摩根士丹利,1.66%,凱基-文心,0.6%
2024-03-06,6117,迎廣,電腦及週邊設備業,83.0,9.93,2.41,85.0,85.8,3.37,-5.82,49023.76,-242.0,2.0,-1.0,146.0,146.0,146.0,146.0,18.0,29.0,-0.88,5.0,534.0,1049.0,0.0,0.0,0.0,-254.0,-0.29,5.34,12.0,0.01,0.54,-3448.0,-3.89,0.62,0.09,-0.87,,,,7.36,8.28,10.36,10.43,摩根大通,1.45%,台新-台中,0.62%,台新-三民,0.31%
2024-03-06,6163,華電網,通信網路業,23.95,9.86,2.3,24.5,24.85,3.76,-4.42,43107.98,-2128.0,3.0,23.0,109.0,109.0,109.0,109.0,-14.0,125.0,-1.13,3.0,706.0,357.0,0.0,0.0,0.0,-2060.0,-1.46,3.02,-68.0,-0.05,0.37,-5632.0,-3.99,-0.35,0.1,-0.32,,,,2.68,3.89,4.77,5.3,富邦-仁愛,0.64%,摩根大通,0.54%,元大-四維,0.52%
2024-03-06,6161,捷波,電腦及週邊設備業,51.7,10.0,0.0,51.7,52.4,1.35,-3.32,5961.96,-65.0,3.0,2.0,78.0,78.0,78.0,78.0,-4.0,79.0,-1.05,3.0,348.0,165.0,0.0,0.0,0.0,-15.0,-0.02,7.83,-50.0,-0.07,0.25,-209.0,-0.28,0.73,1.72,1.42,,,,3.7,6.02,8.33,9.7,福邦證券,3.35%,元大-城東,2%,富邦-內湖,1.31%
2024-03-06,1409,新纖,紡織纖維,16.85,5.64,-0.59,16.75,16.95,0.59,-1.45,16835.44,-1779.0,3.0,2.0,66.0,66.0,66.0,66.0,59.0,67.0,-0.11,4.0,518.0,340.0,0.0,0.0,0.0,-1760.0,-0.11,11.91,-19.0,-0.0,0.18,-1037.0,-0.06,-0.66,-0.73,-0.73,,,,0.9,1.13,1.46,1.51,康和-嘉義,4.11%,元大-新莊,1.03%,永豐金-桃園,0.95%
2024-03-06,4939,亞電,電子零組件業,26.1,2.96,0.38,26.2,26.5,1.53,-4.33,7911.75,-201.0,3.0,5.0,54.0,54.0,54.0,67.0,-11.0,72.0,-1.2,3.0,370.0,-28.0,0.0,0.0,0.0,-199.0,-0.2,3.05,-2.0,-0.0,0.24,-276.0,-0.28,-0.02,1.38,3.75,,,,0.99,1.73,2.83,4.61,元大-土城學府,1.44%,台新-屏東,1.04%,統一-城中,1.02%
2024-03-06,8163,達方,電腦及週邊設備業,61.4,9.84,-0.65,61.0,61.7,0.49,-1.75,15769.59,463.0,2.0,2.0,54.0,54.0,54.0,54.0,-20.0,61.0,-1.37,3.0,823.0,-72.0,-30.0,-0.01,1.16,323.0,0.12,18.53,170.0,0.06,1.12,-1995.0,-0.71,1.08,1.17,1.15,-16.24,-16.17,-9.40,4.38,6.7,8.49,8.33,合庫證券,3.63%,台灣摩根士丹利,2.75%,美林,1.55%
2024-03-06,3325,旭品,電腦及週邊設備業,40.75,9.99,0.86,41.1,42.5,4.29,-2.41,64624.44,-259.0,3.0,-36.0,51.0,51.0,51.0,51.0,33.0,21.0,-0.35,2.0,900.0,-2809.0,0.0,0.0,0.0,-549.0,-0.61,2.53,290.0,0.32,5.14,-6274.0,-7.0,-0.74,-2.66,-2.31,,,,3.65,4.91,5.55,5.32,摩根大通,0.98%,元大-竹科,0.79%,華南永昌-敦南,0.56%
2024-03-06,5498,凱崴,電子零組件業,14.1,9.73,4.26,14.7,15.5,9.93,0.0,26999.55,-1283.0,4.0,1.0,42.0,42.0,42.0,42.0,499.0,53.0,10.88,3.0,1796.0,589.0,0.0,0.0,0.0,-1372.0,-0.71,1.34,89.0,0.05,0.05,-287.0,-0.15,1.86,0.25,0.53,,,,1.84,2.28,3.01,3.93,富邦證券,1.72%,統一,1.42%,元大-鹿港,1.4%
2024-03-06,3669,圓展,通信網路業,55.3,9.94,1.27,56.0,58.5,5.79,-2.5,10223.57,-195.0,2.0,-2.0,22.0,22.0,22.0,22.0,24.0,20.0,0.09,3.0,468.0,-173.0,0.0,0.0,0.0,-217.0,-0.23,2.74,22.0,0.02,0.41,-401.0,-0.43,0.17,0.19,0.3,12.62,12.76,21.35,5.96,7.81,10.16,10.22,元大-台中中港,0.75%,永豐金-板盛,0.51%,玉山-城中,0.49%
2024-03-06,5284,jpp-KY,其他,221.0,9.14,-0.9,219.0,232.0,4.98,-1.28,1323.81,82.0,3.0,-1.0,21.0,21.0,95.0,131.0,2.0,11.0,-0.9,2.0,30.0,-15.0,0.0,0.0,6.03,84.0,0.18,59.26,-2.0,-0.0,0.57,-10.0,-0.02,0.48,0.61,7.23,9.27,16.31,12.18,22.7,35.35,63.97,97.04,凱基-市政,3.02%,永豐金證券,2.34%,台灣摩根士丹利,2.27%
2024-03-06,3265,台星科,半導體業,131.5,4.78,0.0,131.5,132.0,0.38,-3.3,6902.11,-750.0,2.0,0.0,11.0,11.0,32.0,32.0,-25.0,7.0,-3.27,2.0,268.0,-57.0,0.0,0.0,0.4,-621.0,-0.46,5.96,-129.0,-0.09,2.89,-633.0,-0.46,-0.84,-2.29,-3.64,-7.00,17.97,21.56,4.2,4.35,8.3,26.88,凱基-埔墘,4.4%,摩根大通,2.67%,元大-新生,1.16%
2024-03-06,8476,台境,其他,63.5,9.86,2.2,64.9,63.6,0.16,-5.07,1272.41,-177.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,220.0,-64.0,0.0,0.0,0.0,-177.0,-0.22,4.69,0.0,0.0,0.0,-65.0,-0.08,0.02,-0.02,-0.09,,,,4.82,7.46,8.93,8.17,第一金-澎湖,4.95%,富邦-台北,4.64%,國票-九鼎,3.46%
