date,id,name,category,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,昨日A轉跌幅,成交量,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
2024-04-02,8996,高力,電機機械,-1.04,-3.43,-0.82,29.0,1.52,368.5,362.0,-0.28,-2.69,-3.2,7354.7,8464.8,6387.6,-8.6,-5.4,24.62,90.15
2024-04-02,6187,萬潤,其他電子業,-0.41,2.47,7.63,12.5,0.75,270.0,284.5,6.16,-2.9,-2.01,9891.32,737.58,7927.42,26.8,31.2,31.22,76.66
2024-04-02,6584,南俊國際,電子零組件業,0.0,5.85,-0.25,23.0,2.77,204.0,202.0,1.76,-4.27,-4.57,1632.36,2168.37,1081.6,6.9,3.0,-0.9,55.83
2024-04-02,3207,耀勝,電子零組件業,2.81,0.78,2.33,4.0,-0.38,131.5,139.0,5.3,-2.11,-2.94,3666.81,2991.99,2699.51,8.5,9.6,21.34,42.96
2024-04-02,6239,力成,半導體業,6.91,-0.25,-3.74,13.5,0.26,193.5,191.0,-1.04,-2.55,-3.5,7198.29,16786.95,9692.74,-3.7,-2.65,3.4,33.57
2024-04-02,4912,聯德控股-KY,電子零組件業,0.8,-2.37,0.0,0.0,0.4,124.0,130.5,5.67,-3.69,-2.37,2074.25,407.85,365.27,4.6,3.35,8.65,30.79
2024-04-02,6425,易發,電機機械,4.72,1.83,6.78,0.0,-1.17,76.3,79.0,2.33,-3.3,-2.89,9597.26,4320.99,9228.14,5.54,10.96,14.72,30.59
2024-04-02,4768,晶呈科技,化學工業,2.36,-0.84,-0.63,3.0,1.49,238.5,231.5,-1.49,-3.74,-2.29,1444.11,1319.62,924.4,-3.4,0.4,5.72,30.22
2024-04-02,1319,東陽,汽車工業,0.0,0.0,-1.6,1.0,0.0,123.0,123.5,0.41,-3.52,-2.38,6836.66,25733.45,7829.12,-0.8,1.7,7.71,29.21
2024-04-02,3147,大綜,資訊服務業,-0.75,5.3,1.08,27.0,-0.71,139.5,140.0,-0.36,-2.1,-2.09,657.68,1559.15,1088.34,3.1,1.2,3.85,26.51
2024-04-02,3551,世禾,其他電子業,10.0,6.61,-4.26,0.0,1.62,125.5,127.0,2.83,-3.79,-4.26,5273.76,7173.06,3875.23,4.9,11.45,14.6,25.1
2024-04-02,4576,大銀微系統,電機機械,-5.59,-3.2,6.98,0.0,0.57,87.9,89.5,2.4,-4.58,-2.46,2258.19,1150.02,1958.42,3.02,6.53,15.06,21.01
2024-04-02,8040,九暘,半導體業,-3.1,1.11,2.68,9.600000000000009,2.14,86.1,82.8,-1.78,-3.83,-3.55,3016.76,7981.12,4611.45,-0.04,-1.88,0.41,20.38
2024-04-02,6188,廣明,電腦及週邊設備業,-0.91,-0.82,1.34,11.0,1.22,99.6,98.4,0.0,-3.05,-4.47,8791.74,9951.04,13785.45,0.28,-0.93,8.56,15.53
2024-04-02,4945,陞達科技,半導體業,7.2,-2.37,0.0,19.0,1.21,125.0,121.0,-2.02,-3.2,-2.76,552.38,881.22,649.89,-1.5,0.3,-0.12,14.98
2024-04-02,3030,德律,其他電子業,-0.46,2.1,-1.26,1.2000000000000028,0.69,87.0,87.5,1.27,-2.02,-4.53,1230.24,907.14,1614.54,0.86,3.45,6.36,14.94
2024-04-02,3376,新日興,電子零組件業,0.28,3.06,-4.31,57.5,-0.56,176.5,174.0,-1.97,-2.52,-4.83,10332.01,17315.67,15552.9,-5.3,-17.85,-23.97,12.18
2024-04-02,3013,晟銘電,電腦及週邊設備業,9.94,4.61,0.82,3.799999999999997,0.65,62.2,60.5,-2.1,-3.51,-4.78,20163.67,79820.05,34017.23,1.4,4.0,4.1,11.53
2024-04-02,2704,國賓,觀光事業,-6.0,0.0,-0.49,4.800000000000004,0.16,60.9,59.8,-1.64,-2.13,-2.09,1040.43,1607.08,1325.8,-1.76,1.87,6.84,10.68
2024-04-02,3312,弘憶股,電子通路業,4.17,3.06,-1.71,5.200000000000003,0.0,43.0,42.35,-1.51,-2.19,-4.34,5190.57,13881.13,11210.86,-0.11,1.29,1.92,10.42
