date,id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,昨日成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2024-03-12,3228,金麗科,半導體業,504.0,1.82,0.0,504.0,495.5,-1.69,-4.34,926.94,1240.38,,0.0,,,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,-238.0,-0.34,,,,,-173.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.7,2.0,5.0,11.0,0.7,0.71,0.32,-48.87,-17.46,47.74,-7.6,-3.9,6.1,117.68,宏遠證券,4.96%,中國信託-文心,3.67%,台新證券,2.7%
2024-03-12,6187,萬潤,其他電子業,273.5,9.84,0.55,275.0,269.0,-1.65,-3.41,7412.78,10790.5,,1.0,254.0,-68.0,-1.27,2.0,1457.0,428.0,-230.0,-0.28,6.12,-1076.0,-1.29,,,,,-1265.0,-1.52,-0.34,-0.35,-0.5,0.0,0.0,1.0,-2.25,-1.14,-0.19,1.0,6.0,12.0,-2.09,-1.48,1.59,63.31,254.97,182.48,-3.6,6.2,27.8,89.29,元大-城東,1.73%,台新-松江,1.17%,元大-天母,1.03%
2024-03-12,5284,jpp-KY,其他,207.5,-1.19,0.24,208.0,208.5,0.48,-2.57,2203.59,4143.15,208.0,4.0,11.0,7.0,-0.36,0.0,-150.0,-228.0,0.0,0.0,4.76,203.0,0.42,61.41,5.0,0.01,0.22,-18.0,-0.04,-1.27,-1.27,4.77,0.0,0.0,6.0,3.28,4.2,7.68,5.0,10.0,16.0,-0.04,0.55,8.58,9.27,16.31,12.18,-8.7,0.0,23.72,68.05,台灣摩根士丹利,5.58%,凱基-台北,3.18%,富邦-三峽,2.72%
2024-03-12,8147,正淩,電子零組件業,126.0,0.0,1.98,128.5,134.5,6.75,-2.54,1367.44,811.04,,1.0,-73.0,22.0,-1.3,2.0,141.0,-136.0,0.0,0.0,0.41,-95.0,-0.28,,,,,-186.0,-0.55,0.0,0.0,0.42,0.0,0.0,1.0,-0.6,-0.55,-2.01,1.0,4.0,9.0,-1.55,-1.36,-1.41,-40.39,-4.57,36.96,0.5,0.4,16.5,45.73,台新證券,6.66%,康和-嘉義,2.49%,凱基-高美館,2.12%
2024-03-12,3362,先進光,光電業,237.0,-8.85,0.0,237.0,240.0,1.27,-3.61,3057.94,5066.8,,2.0,-188.0,-12.0,-0.94,2.0,-95.0,203.0,-507.0,-0.36,0.73,-619.0,-0.43,,,,,-996.0,-0.7,-0.37,-0.41,-0.35,0.0,0.0,2.0,-0.5,-0.15,2.37,1.0,5.0,14.0,-0.43,-0.37,0.24,-40.68,-15.93,23.35,-20.4,-29.95,-15.22,38.43,國泰-敦南,1.57%,永豐金-忠孝,1.47%,元大-歸仁,1.21%
2024-03-12,3163,波若威,通信網路業,121.0,9.5,-1.65,119.0,120.5,-0.41,-3.21,28956.29,37377.76,,3.0,614.0,-654.0,-2.07,3.0,3549.0,-2023.0,0.0,0.0,0.0,628.0,0.78,,,,,-1139.0,-1.41,-0.0,-0.0,0.0,0.0,0.0,0.0,1.26,1.01,5.98,3.0,5.0,12.0,6.68,0.95,11.12,-34.72,0,0,5.8,11.99,18.31,26.7,新加坡商瑞銀,0.86%,富邦-南京,0.78%,美林,0.69%
2024-03-12,7402,邑錡,光電業,104.0,-4.15,1.92,106.0,102.5,-1.44,-3.3,1428.4,2073.8,,0.0,-13.0,-17.0,0.31,3.0,-18.0,87.0,0.0,0.0,0.0,-45.0,-0.13,,,,,-110.0,-0.32,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,1.56,1.27,3.0,7.0,12.0,-1.22,0.82,1.07,-6.50,10.48,54.67,-6.5,-7.2,4.58,19.57,凱基-台北,3.85%,凱基-竹東,3.64%,群益金鼎-桃園,2.94%
2024-03-12,6204,艾華,電子零組件業,146.5,3.9,0.34,147.0,147.0,0.34,-3.92,812.73,1124.52,,1.0,25.0,-7.0,-1.28,1.0,10.0,-17.0,0.0,0.0,0.0,77.0,0.33,,,,,-105.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,-2.65,1.18,2.0,3.0,9.0,-1.44,-3.65,-1.76,-62.60,-26.20,43.83,2.9,1.1,4.88,18.43,凱基-台北,10.95%,玉山-左營,3.2%,港商野村,1.6%
2024-03-12,1514,亞力,電機機械,104.0,-3.26,0.96,105.0,104.5,0.48,-4.57,41893.83,17634.16,-8326.0,0.0,-524.0,-424.0,-0.19,2.0,178.0,1024.0,0.0,0.0,1.07,-8581.0,-3.48,17.83,255.0,0.1,0.1,-7398.0,-3.0,0.0,0.0,0.01,0.0,0.0,1.0,-2.26,5.66,1.7,2.0,6.0,11.0,-3.04,3.19,-0.37,-12.82,-5.16,8.00,-5.0,-2.45,8.11,17.58,合庫證券,0.68%,國泰-敦南,0.4%,台新證券,0.29%
2024-03-12,3617,碩天,其他電子業,217.0,3.09,0.46,218.0,216.5,-0.23,-3.35,1366.55,2078.29,-245.0,2.0,1.0,0.0,-1.0,2.0,110.0,16.0,-38.0,-0.04,0.05,-159.0,-0.18,5.28,-48.0,-0.05,0.44,-5.0,-0.01,-0.04,-0.04,-0.07,0.0,0.0,0.0,-0.06,-0.08,0.01,2.0,5.0,10.0,0.27,0.28,0.36,-18.11,19.14,8.13,6.0,7.55,11.95,17.38,華南永昌-林口,4.46%,富邦證券,2.93%,統一,2.78%
