date,id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2023-02-06,3693,營邦,電腦及週邊設備業,130.0,1.56,0.0,130.0,129.0,-0.77,-4.44,5642.01,-224.0,2.0,8.0,9.0,0.12,5.0,404.0,44.0,0.0,0.0,0.0,-225.0,-0.58,2.61,1.0,0.0,0.96,-31.0,-0.08,-0.0,0.0,0.0,0.0,0.0,0.0,-3.79,-2.92,-7.37,1.0,5.0,9.0,-3.79,-2.59,-6.91,,,,0.3,3.95,12.03,33.04,新光,2.43%,元大-中壢,1.42%,富邦-陽明,1.05%
2023-02-06,6799,來頡,半導體業,127.5,9.91,0.0,127.5,131.0,2.75,-3.68,2498.58,260.0,,,,,,,,0.0,0.0,0.71,199.0,0.49,9.49,61.0,0.15,0.16,-46.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.72,0.65,4.0,5.0,8.0,0.48,0.45,0.48,,,,14.2,23.5,29.12,24.96,台灣摩根士丹利,4.64%,陽信-石牌,4.08%,大展,1.76%
2023-02-06,5321,美而快,電子商務,88.7,-3.59,-0.23,88.5,88.7,0.0,-3.59,2572.29,85.0,1.0,-34.0,-9.0,-0.74,2.0,55.0,-52.0,0.0,0.0,0.0,80.0,0.2,1.14,5.0,0.01,1.12,-72.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.21,-0.29,3.0,6.0,9.0,-0.93,-1.24,-1.68,,,,0.46,1.7,11.24,18.51,美林,1.83%,群益金鼎-三民,1.17%,摩根大通,0.7%
2023-02-06,3141,晶宏,半導體業,105.0,9.95,1.9,107.0,104.5,-0.48,-2.79,15097.54,200.0,1.0,195.0,-87.0,-1.45,4.0,522.0,-582.0,0.0,0.0,0.0,426.0,0.57,7.3,-226.0,-0.3,2.55,-1288.0,-1.72,0.0,0.0,-0.0,0.0,0.0,0.0,1.56,0.88,1.21,4.0,5.0,10.0,1.78,2.03,3.14,,,,5.86,10.33,16.15,17.11,美林,1.35%,合庫-桃園,0.78%,港商野村,0.74%
2023-02-06,6411,晶焱,半導體業,103.0,9.81,1.94,105.0,106.5,3.4,-2.74,8507.93,37.0,5.0,61.0,29.0,-0.52,4.0,429.0,-8.0,0.0,0.0,0.0,6.0,0.01,10.96,31.0,0.03,0.19,-86.0,-0.09,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.19,0.24,0.19,4.0,7.0,11.0,0.87,0.72,0.31,,,,9.64,14.59,17.93,15.17,陽信-石牌,3.2%,華南永昌-中正,1.05%,新光,0.86%
2023-02-06,1342,八貫,其他,127.0,-3.05,0.0,127.0,124.5,-1.97,-2.35,2155.16,-177.0,3.0,4.0,-28.0,-8.0,4.0,87.0,-23.0,0.0,0.0,0.04,-177.0,-0.26,51.52,0.0,0.0,0.61,-389.0,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,-1.32,-0.65,-5.46,0.0,4.0,7.0,-0.92,-1.03,-4.95,,,,0.3,3.45,2.5,14.08,國泰-敦南,1.44%,玉山-嘉義,1.21%,康和-澎湖,1.11%
2023-02-06,6150,撼訊,電腦及週邊設備業,81.6,1.87,0.25,81.8,79.0,-3.19,-3.42,1773.49,-95.0,1.0,-38.0,-13.0,-0.66,3.0,180.0,-206.0,0.0,0.0,0.0,-95.0,-0.2,9.6,-0.0,-0.0,5.81,-71.0,-0.15,0.0,0.0,-0.0,0.0,0.0,0.0,1.61,1.48,1.2,3.0,6.0,10.0,0.84,0.8,0.6,,,,-1.52,1.52,4.16,9.41,兆豐-台中港,4.34%,台新證券,1.92%,國票-博愛,1.41%
2023-02-06,6111,大宇資,文化創意業,67.4,2.12,0.59,67.8,65.0,-3.56,-4.13,2146.52,-115.0,1.0,-2.0,4.0,-3.0,4.0,89.0,-8.0,0.0,0.0,0.0,-102.0,-0.12,16.03,-13.0,-0.02,0.59,-99.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-0.03,0.01,2.0,6.0,11.0,-0.26,-0.39,-1.12,,,,-0.44,0.38,0.33,9.08,凱基-湖口,2.38%,元富-世貿,1.91%,兆豐-東門,1.72%
2023-02-06,6494,九齊,半導體業,81.5,0.62,-0.49,81.1,79.4,-2.58,-2.1,576.64,-14.0,4.0,3.0,-34.0,-12.33,2.0,-85.0,9.0,0.0,0.0,0.0,-14.0,-0.04,6.13,0.0,0.0,1.5,-16.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,-0.25,3.0,5.0,8.0,0.03,-0.02,-0.24,,,,1.62,4.7,5.94,7.8,華南永昌-頭份,6.59%,永豐金-板橋,2.6%,台灣摩根士丹利,2.43%
2023-02-06,8038,長園科,電子零組件業,47.0,3.52,0.0,47.0,47.2,0.43,-3.58,2762.68,90.0,,,,,,,,0.0,0.0,0.0,90.0,0.15,3.67,0.0,0.0,0.0,-126.0,-0.21,0.0,-0.0,0.0,0.0,0.0,0.0,-0.07,0.52,0.53,3.0,7.0,10.0,-0.8,-2.3,-1.95,,,,1.39,3.64,5.77,7.33,摩根大通,2.71%,台灣摩根士丹利,1.7%,兆豐-西螺,1.38%
2023-02-06,4153,鈺緯,生技醫療業,40.7,2.52,0.74,41.0,39.4,-3.19,-4.72,638.62,-95.0,0.0,-2.0,0.0,-1.0,1.0,-29.0,-31.0,0.0,0.0,0.0,-95.0,-0.15,1.45,0.0,0.0,0.06,-48.0,-0.08,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.1,0.01,0.84,2.0,6.0,14.0,-0.04,-0.35,-0.18,,,,-0.27,1.5,0.87,6.89,元大-大雅,11.74%,元大-太平,5.01%,台灣摩根士丹利,3.6%
2023-02-06,3207,耀勝,電子零組件業,60.8,4.65,0.33,61.0,58.6,-3.62,-4.25,7206.6,-274.0,3.0,31.0,-158.0,-6.1,4.0,107.0,371.0,0.0,0.0,1.39,-74.0,-0.14,7.38,-200.0,-0.37,1.58,-17.0,-0.03,-0.0,0.0,0.0,0.0,0.0,0.0,5.39,6.08,5.6,4.0,7.0,11.0,4.7,5.53,4.56,,,,1.68,4.58,6.94,6.88,台新證券,4.57%,凱基-土城,3.75%,永豐金-內湖,1.98%
2023-02-06,6231,系微,資訊服務業,93.8,0.32,0.75,94.5,92.2,-1.71,-3.66,537.06,-29.0,1.0,2.0,-1.0,-1.5,4.0,-79.0,72.0,0.0,0.0,0.0,-29.0,-0.08,15.59,0.0,0.0,0.32,-72.0,-0.19,-0.0,0.0,-0.4,0.0,0.0,0.0,0.6,0.47,-0.51,3.0,5.0,9.0,-0.01,0.61,0.68,,,,-0.9,0.82,3.4,6.6,華南永昌-竹北,6.89%,台灣摩根士丹利,5.21%,元大-內湖,2.79%
2023-02-06,4171,瑞基,農業科技,64.0,2.56,0.63,64.4,63.1,-1.41,-2.92,903.11,-15.0,3.0,1.0,-2.0,-3.0,2.0,-76.0,6.0,0.0,0.0,0.0,-15.0,-0.03,17.4,-0.0,-0.0,0.78,-64.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.02,-1.54,2.0,4.0,8.0,-0.44,-0.83,-1.69,,,,1.16,2.44,0.89,6.29,凱基-台北,3.88%,新光,1.22%,新光-新竹,0.89%
2023-02-06,2436,偉詮電,半導體業,49.35,2.17,0.71,49.7,50.9,3.14,-3.42,15983.96,-833.0,0.0,-8.0,-79.0,8.88,3.0,31.0,857.0,0.0,0.0,0.0,-959.0,-0.54,6.89,126.0,0.07,1.2,-177.0,-0.1,0.0,0.0,-0.0,0.0,0.0,0.0,0.57,0.09,0.75,4.0,6.0,13.0,0.96,0.51,0.9,,,,1.97,3.44,5.89,6.16,凱基-市政,2.2%,新光,0.67%,元大證券,0.61%
2023-02-06,8261,富鼎,半導體業,115.5,0.87,0.87,116.5,112.5,-2.6,-3.85,3970.88,-346.0,4.0,18.0,-26.0,-2.44,1.0,226.0,-156.0,0.0,0.0,1.71,-293.0,-0.36,10.33,-53.0,-0.06,2.43,-624.0,-0.76,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.92,2.73,4.0,5.0,10.0,2.52,2.39,2.13,,,,-1.0,3.05,5.03,5.81,台灣摩根士丹利,1.81%,美商高盛,1.76%,華南永昌-台中,1.54%
2023-02-06,4129,聯合,生技醫療業,48.25,2.01,0.41,48.45,46.85,-2.9,-3.3,899.43,-230.0,2.0,1.0,-12.0,-13.0,3.0,92.0,-100.0,0.0,0.0,4.05,-230.0,-0.29,11.67,0.0,0.0,0.09,-265.0,-0.34,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.54,1.54,2.0,6.0,12.0,-0.18,-0.23,-0.0,,,,0.14,0.86,0.39,5.29,富邦-竹東,5.45%,元大-花蓮,2.56%,兆豐-三重,2.45%
2023-02-06,6175,立敦,電子零組件業,37.15,3.48,-0.67,36.9,36.5,-1.75,-2.14,1990.53,-407.0,2.0,-1.0,4.0,-5.0,3.0,-139.0,97.0,0.0,0.0,0.0,-368.0,-0.26,17.09,-39.0,-0.03,0.03,-456.0,-0.32,-0.0,-0.0,0.0,0.0,0.0,0.0,0.07,-0.08,0.18,2.0,4.0,11.0,0.17,0.04,0.29,,,,0.72,2.26,2.94,5.14,永豐金-南京,2.31%,第一金-桃園,1.05%,永豐金-敦南,1%
2023-02-06,3162,精確,電機機械,52.8,1.73,0.38,53.0,51.4,-2.65,-3.93,3307.3,375.0,2.0,14.0,-22.0,-2.57,2.0,-54.0,-408.0,0.0,0.0,0.1,373.0,0.28,46.49,2.0,0.0,0.71,-165.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,2.85,2.84,2.37,5.0,7.0,10.0,0.91,0.7,-0.9,,,,0.2,1.99,2.33,4.51,美商高盛,6.44%,台灣摩根士丹利,4.29%,華南永昌,2.96%
2023-02-06,5371,中光電,光電業,61.5,4.59,0.98,62.1,60.5,-1.63,-3.04,4237.34,-415.0,3.0,8.0,17.0,1.12,2.0,298.0,-247.0,0.0,0.0,0.14,-378.0,-0.1,18.33,-37.0,-0.01,1.13,-372.0,-0.1,0.0,0.0,0.04,0.0,0.0,2.0,0.6,0.72,0.97,4.0,6.0,12.0,0.53,0.63,0.73,,,,1.1,2.42,2.79,4.32,元大-承德,2.38%,元大-新莊,1.77%,統一,1.6%
2023-02-06,8091,翔名,電子零組件業,91.0,0.22,-0.66,90.4,88.7,-2.53,-2.53,1096.12,-261.0,2.0,32.0,-34.0,-2.06,2.0,16.0,30.0,0.0,0.0,0.12,-226.0,-0.5,5.18,-35.0,-0.08,1.77,-176.0,-0.39,-0.0,0.0,0.0,0.0,0.0,0.0,-0.66,-0.61,0.22,3.0,5.0,11.0,-0.97,-1.06,-0.96,,,,-0.96,0.6,1.29,4.04,元富-文心,2.74%,日盛證券,2.55%,永豐金-屏東,2.19%
2023-02-06,3567,逸昌,半導體業,27.35,3.4,8.59,29.7,28.85,5.48,-3.19,799.56,-54.0,2.0,0.0,26.0,inf,3.0,-15.0,34.0,0.0,0.0,0.0,-54.0,-0.16,1.13,0.0,0.0,0.0,-194.0,-0.57,0.0,0.0,-0.2,0.0,0.0,0.0,-0.08,-0.03,-0.01,2.0,4.0,8.0,-0.35,-0.31,-0.58,,,,2.01,3.24,4.1,3.98,中國信託-三重,3.75%,元大-台南,3.13%,凱基-竹東,2.5%
2023-02-06,2465,麗臺,電腦及週邊設備業,43.15,0.47,0.35,43.3,42.3,-1.97,-2.42,1931.8,-114.0,2.0,-18.0,-8.0,-0.56,2.0,-29.0,-60.0,0.0,0.0,0.0,-114.0,-0.19,2.77,0.0,0.0,1.01,-79.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.48,0.66,3.0,5.0,9.0,1.32,1.57,1.12,,,,-0.7,0.45,1.56,3.57,兆豐-台中港,6.26%,美商高盛,1.29%,永豐金-彰化,1.09%
2023-02-06,8289,泰藝,電子零組件業,39.95,5.41,0.13,40.0,39.5,-1.13,-2.95,2818.66,-297.0,1.0,-13.0,-16.0,0.23,4.0,346.0,99.0,0.0,0.0,0.0,-297.0,-0.43,5.56,0.0,0.0,0.89,-71.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.33,-0.44,4.0,4.0,9.0,-0.04,-0.36,-1.53,,,,1.39,2.62,2.73,3.39,第一金-台南,5.57%,台灣摩根士丹利,3.23%,統一,3.16%
2023-02-06,1784,訊聯,生技醫療業,45.7,2.47,0.33,45.85,45.1,-1.31,-2.06,806.45,,3.0,0.0,1.0,inf,4.0,160.0,117.0,0.0,0.0,0.0,66.0,0.13,,,,,-14.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.74,1.02,4.0,7.0,13.0,0.33,0.22,-0.47,,,,0.62,1.4,1.52,3.36,永豐金證券,6.45%,第一金-大稻埕,3.35%,兆豐-新竹,3.35%
2023-02-06,6129,普誠,半導體業,35.7,5.0,-1.4,35.2,34.45,-3.5,-2.55,6420.07,-390.0,3.0,199.0,-12.0,-1.06,2.0,-73.0,-75.0,0.0,0.0,0.0,-278.0,-0.15,1.61,-112.0,-0.06,0.44,-68.0,-0.04,-0.05,-0.05,-0.05,0.0,0.0,0.0,0.23,0.75,0.63,3.0,8.0,13.0,0.17,0.51,0.15,,,,0.6,1.77,2.92,3.15,富邦-桃園,1.96%,美林,1.95%,元大-歸仁,1.51%
