date,id,name,category,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,昨日A轉跌幅,成交量,前日成交量,昨日成交量,ma5距離,ma10距離,ma20距離,ma60距離
2024-04-02,5269,祥碩,半導體業,3.59,3.68,2.92,0.0,-0.61,2450.0,2535.0,2.84,-0.59,0.0,1380.68,1801.23,813.75,148.0,221.0,245.25,470.08
2024-04-02,6139,亞翔,其他電子業,9.98,6.42,6.65,0.0,0.58,258.0,279.0,8.77,-0.71,-3.02,28134.7,40146.17,23587.36,37.5,59.4,81.32,103.12
2024-04-02,6491,晶碩,生技醫療業,0.0,0.0,5.51,0.5,0.0,479.0,485.5,1.36,-1.72,-3.13,2075.36,545.91,2459.89,20.2,24.85,45.02,79.11
2024-04-02,4763,材料-KY,化學工業,0.45,0.22,1.0,112.0,0.22,909.0,951.0,4.85,-1.25,-1.63,4389.78,803.56,1937.34,42.2,48.2,42.2,72.17
2024-04-02,3680,家登,半導體業,1.53,0.35,5.53,0.0,1.2,463.5,475.5,3.82,-0.94,0.0,5028.48,3317.18,2841.26,30.3,40.6,45.5,68.32
2024-04-02,6197,佳必琪,電子零組件業,10.0,9.88,9.71,0.0,-0.66,151.5,155.5,1.97,-4.01,0.0,22774.65,3681.59,15581.6,17.8,33.5,41.08,61.3
2024-04-02,6667,信紘科,其他電子業,7.48,0.0,9.81,0.0,-2.02,170.0,182.5,5.19,-2.93,0.0,11665.71,9691.53,8067.76,18.7,24.3,26.95,49.92
2024-04-02,3617,碩天,其他電子業,2.8,1.89,3.09,0.0,2.0,255.5,252.0,0.6,-1.75,-1.18,2472.35,3552.89,2815.51,8.8,18.7,28.3,46.12
2024-04-02,3207,耀勝,電子零組件業,2.81,0.78,2.33,4.0,-0.38,131.5,139.0,5.3,-2.11,-2.94,3666.81,2991.99,2699.51,8.5,9.6,21.34,42.96
2024-04-02,5434,崇越,電子通路業,0.0,0.23,2.51,0.0,1.34,227.5,236.0,5.12,-0.42,-1.32,2083.96,597.99,1460.88,12.7,16.35,21.47,39.44
2024-04-02,5508,永信建,建材營造,1.58,0.0,2.72,0.0,2.65,135.5,137.5,4.17,-0.36,0.0,1996.2,1209.03,1107.86,6.9,8.9,15.33,33.74
2024-04-02,6213,聯茂,電子零組件業,5.67,9.96,8.85,0.0,2.34,109.5,117.5,9.81,0.0,-0.93,44834.08,34079.75,36627.72,18.14,25.42,29.2,30.64
2024-04-02,6425,易發,電機機械,4.72,1.83,6.78,0.0,-1.17,76.3,79.0,2.33,-3.3,-2.89,9597.26,4320.99,9228.14,5.54,10.96,14.72,30.59
2024-04-02,1786,科妍,生技醫療業,0.21,2.31,9.86,0.0,1.87,109.0,112.5,5.14,-2.17,0.0,4347.88,701.86,3943.55,11.08,16.04,19.6,28.86
2024-04-02,6735,美達科技,其他電子業,0.47,0.0,1.4,12.5,1.38,110.0,110.0,1.38,-1.79,-4.82,654.05,618.6,676.35,2.2,2.3,2.53,26.92
2024-04-02,4958,臻鼎-KY,電子零組件業,8.23,0.0,1.2,0.0,3.95,131.5,132.0,4.35,-1.49,-5.6,39942.05,19734.79,28770.13,7.2,13.35,20.69,26.34
2024-04-02,3010,華立,電子通路業,0.45,0.44,5.31,0.0,5.04,125.0,130.5,9.66,0.0,-0.42,14380.65,770.41,3965.48,13.1,15.95,17.83,25.82
2024-04-02,8054,安國,半導體業,10.0,2.1,3.42,0.0,0.0,151.0,166.0,9.93,0.0,-3.21,32979.77,32742.57,19928.02,18.8,25.9,29.82,22.33
2024-04-02,4303,信立,塑膠工業,2.7,7.18,2.08,7.5,0.0,54.1,54.6,0.92,-1.44,-3.39,17064.02,20439.96,21946.92,2.74,6.46,7.01,20.56
2024-04-02,3289,宜特,其他電子業,2.93,0.41,4.45,3.0,0.78,130.0,132.0,2.33,-2.22,-0.77,5087.76,2651.83,3839.91,6.6,9.25,8.58,19.75
