date,id,name,category,A轉跌幅,回彈,20日跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3,昨日A轉跌幅,漲跌幅,成交量,20日最高成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離
2024-08-30,6446,藥華藥,生技醫療業,-2.51,0.89,-20.71,699.0,-432.0,-235.0,3.68,97.31,86.26,摩根大通,4.28%,花旗環球,3.99%,美林,2.7%,-0.98,-1.55,2404.57,12312.24,0.57,1.71,-0.42,17.0,0.14,711.0,710.0,4421.58,2644.15,-568.0,-324.0,3.0,5.0,-42.0,-14.0,-32.0,13.0,-3.8,2.0,84.0,41.0,0.0,0.0,1.09,-322.0,-0.11,26.11,-2.0,-0.0,0.07,-0.08,-0.04,-0.04,-0.17,0.0,0.0,3.0,0.28,0.67,2.73,0.15,0.24,1.63,-5.0,1.3,12.65,94.83
2024-08-30,6788,華景電,半導體業,-4.15,0.99,-45.05,289.0,22.0,-143.0,-2.04,103.84,57.04,第一金-桃園,3.25%,第一金-忠孝,2.43%,群益金鼎-忠孝,2.11%,-1.16,-3.02,1566.78,4687.47,0.73,7.22,0.34,1.5,0.84,300.5,298.0,4687.47,1722.57,-19.0,-199.0,3.0,-6.0,41.0,-4.0,61.0,41.0,-0.33,2.0,-104.0,-79.0,0.0,0.0,0.29,-195.0,-0.56,16.01,-4.0,-0.01,0.73,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,2.75,4.62,-0.06,1.83,3.17,1.8,9.9,44.75,78.37
2024-08-30,5432,新門,光電業,-2.48,1.0,-30.36,295.5,65.0,-97.0,38.45,17.73,-18.81,大昌-樹林,7.29%,港商野村,1.97%,元大-新營,1.04%,-1.84,0.51,864.0,938.06,0.18,1.59,2.44,0.0,1.7,299.0,294.0,449.84,685.0,175.0,-58.0,4.0,-17.0,1.0,3.0,12.0,10.0,-1.18,2.0,-26.0,65.0,0.0,0.0,0.0,-60.0,-0.29,1.98,2.0,0.01,0.41,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.57,0.54,0.51,0.31,0.03,7.3,15.4,36.23,36.72
2024-08-30,6667,信紘科,其他電子業,-2.56,0.94,-41.04,228.0,-127.0,-118.0,32.83,49.26,28.82,群益金鼎,2.11%,華南永昌-板橋,1.76%,統一,1.56%,-1.95,0.66,1992.35,4014.46,9.51,-3.39,-0.66,6.0,0.66,228.0,226.5,3584.3,1531.36,-155.0,-123.0,3.0,-8.0,-13.0,4.0,-57.0,19.0,-1.5,4.0,1.0,101.0,0.0,0.0,0.22,-232.0,-0.52,9.83,109.0,0.24,0.79,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,2.22,4.41,4.47,2.2,3.85,4.18,1.2,12.95,32.32,35.67
2024-08-30,3019,亞光,光電業,-3.94,0.88,-40.37,122.0,745.0,-4067.0,5.43,43.63,23.30,國票-台南,1.71%,統一-城中,1.14%,富邦-木柵,1.04%,-4.12,-4.69,23753.06,59784.6,4.78,0.83,5.35,6.5,-1.17,126.5,128.0,17127.09,49944.83,-2246.0,-3460.0,2.0,219.0,-108.0,-106.0,57.0,219.0,-1.48,2.0,3049.0,-734.0,0.0,0.0,0.0,-3285.0,-1.18,22.66,-175.0,-0.06,2.33,-1.46,-0.26,-0.26,-0.15,0.0,0.0,2.0,-2.16,-0.38,8.62,-1.49,-0.74,6.27,0.6,0.45,10.93,32.98
2024-08-30,8937,合騏,其他,-4.65,1.0,-53.92,65.6,134.0,-7.0,117.81,197.46,-21.19,元大-東港,9.63%,合庫-三重,3.46%,群益金鼎-三民,1.04%,-3.24,-0.3,2023.62,3447.66,4.06,5.08,6.13,0.0,0.61,66.2,65.8,2162.8,2562.43,-122.0,-210.0,4.0,30.0,35.0,4.0,92.0,95.0,-0.87,4.0,46.0,-75.0,0.0,0.0,0.0,-216.0,-0.3,0.44,6.0,0.01,1.48,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.48,0.04,0.4,-0.09,-0.07,3.78,8.76,16.72,29.82
2024-08-30,3086,華義,文化創意業,-3.73,1.0,-26.37,193.5,206.0,-51.0,2.58,17.30,21.35,元大-忠孝,3.71%,摩根大通,1.41%,凱基-和平,1.41%,0.0,-1.28,1777.13,1777.13,0.29,2.59,9.8,0.0,1.53,199.0,196.0,536.25,1370.88,172.0,-50.0,1.0,-2.0,2.0,-4.0,4.0,5.0,1.0,4.0,124.0,-14.0,0.0,0.0,0.0,-50.0,-0.21,41.83,0.0,0.0,0.14,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.74,1.06,1.38,0.75,1.28,0.78,10.4,12.45,16.7,29.08
2024-08-30,4513,福裕,電機機械,-3.81,0.88,-33.87,80.8,-965.0,-443.0,-24.66,-7.23,2.24,凱基-台北,2.62%,國泰-敦南,0.87%,新加坡商瑞銀,0.82%,-3.53,-1.46,12975.04,25897.27,5.33,1.9,1.74,3.700000000000003,0.98,82.8,82.0,21998.08,13805.37,-1254.0,161.0,3.0,-29.0,53.0,88.0,-448.0,78.0,-4.03,2.0,-70.0,-583.0,0.0,0.0,0.0,150.0,0.14,0.97,11.0,0.01,0.14,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,-2.47,-6.57,-1.77,-3.7,-7.68,-5.62,1.28,1.32,4.77,24.48
2024-08-30,5364,力麗店,觀光事業,-2.54,0.92,-55.35,46.0,130.0,-79.0,17.19,-40.25,-29.01,元富-敦南,7.41%,宏遠-高雄,6.48%,元大-敦南,6.17%,-2.24,-4.37,648.45,2253.74,8.12,1.93,1.26,2.299999999999997,-1.87,47.2,48.1,1040.28,794.51,351.0,-114.0,,,,,,,,,,,0.0,0.0,0.0,-114.0,-0.23,1.39,0.0,0.0,0.0,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.15,0.67,-0.16,-0.14,-0.35,-0.26,4.63,10.34,20.98
2024-08-30,4174,浩鼎,生技醫療業,-2.22,0.92,-37.57,88.0,-761.0,-608.0,53.71,293.83,173.89,凱基,1.45%,摩根大通,1.22%,國票-博愛,0.96%,-2.16,-2.87,3442.55,12053.46,-2.32,6.76,0.67,2.9000000000000057,-0.66,90.0,90.6,7017.8,5913.1,-662.0,-373.0,1.0,44.0,-12.0,-7.0,-74.0,44.0,-1.16,3.0,128.0,34.0,0.0,0.0,0.0,-373.0,-0.16,9.83,0.0,0.0,0.03,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.44,-0.44,-0.8,-1.06,0.16,0.82,8.81,20.53
2024-08-30,2543,皇昌,建材營造,-3.52,1.0,-36.81,76.8,-109.0,-2107.0,-37.11,3.52,26.55,摩根大通,2.02%,永豐金-板新,1.27%,港商法國興業,1.2%,-2.3,0.26,20140.3,26432.95,9.9,1.59,-0.13,0.0,0.78,77.2,76.6,25958.56,10267.35,-402.0,-2449.0,4.0,4.0,417.0,-60.0,1146.0,545.0,-16.0,3.0,36.0,725.0,0.0,0.0,0.03,-2773.0,-1.17,8.84,324.0,0.14,1.32,-0.89,0.0,0.0,0.0,0.0,0.0,2.0,2.53,4.1,5.09,2.33,2.65,3.69,1.94,6.0,10.76,18.79
2024-08-30,4909,新復興,通信網路業,-4.44,1.0,-30.44,129.0,5782.0,-1734.0,58.82,398.17,330.63,凱基-彰化,2.5%,統一,2.4%,康和,1.32%,-0.37,-3.01,21269.29,30748.43,5.53,-2.02,9.47,0.0,0.0,133.0,133.0,5665.95,30748.43,1552.0,-264.0,5.0,136.0,12.0,21.0,206.0,136.0,-0.85,3.0,-516.0,5.0,0.0,0.0,0.04,-740.0,-0.79,2.07,476.0,0.51,1.76,-1.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.95,1.47,0.08,3.33,5.05,2.12,4.0,3.55,8.33,16.32
2024-08-30,3284,太普高,其他,-4.41,0.79,-44.42,62.9,-36.0,-276.0,48.49,206.32,71.14,富邦-台北,2.94%,國票-天祥,2.68%,玉山證券,2.68%,-0.16,-0.79,1156.08,9867.02,6.62,4.36,1.93,6.799999999999997,1.26,64.2,63.4,934.05,744.66,-13.0,-95.0,5.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,-64.0,51.0,0.0,0.0,0.0,-21.0,-0.02,3.78,-74.0,-0.08,0.25,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,-0.67,-1.31,-2.2,2.1,0.43,4.46,14.98
2024-08-30,8091,翔名,電子零組件業,-4.11,1.0,-28.74,163.5,-43.0,-124.0,-1.42,15.27,11.68,元大-館前,4.09%,國泰證券,3.55%,華南永昌-忠孝,2.47%,-2.44,2.19,2027.55,2895.48,2.39,6.67,0.0,0.0,0.62,161.0,160.0,2895.48,1401.38,-207.0,-383.0,2.0,-4.0,10.0,9.0,5.0,10.0,-3.25,5.0,197.0,341.0,0.0,0.0,0.0,-339.0,-0.71,13.46,-44.0,-0.09,1.19,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,-1.07,-0.99,-0.24,-0.57,-0.66,-0.77,7.5,11.65,18.47,14.89
2024-08-30,3455,由田,光電業,-3.65,0.81,-38.58,132.0,-331.0,-79.0,3.72,11.88,-4.15,美林,5.1%,摩根大通,1.69%,永豐金-桃盛,0.84%,-5.73,0.38,2135.88,16373.78,3.31,-2.49,-4.01,11.0,0.76,132.5,131.5,3444.26,3809.47,362.0,-36.0,1.0,-109.0,-13.0,28.0,-243.0,-5.0,-1.26,1.0,-862.0,-15.0,0.0,0.0,2.42,-36.0,-0.06,15.16,-0.0,-0.0,0.17,-0.13,0.0,0.0,0.0,0.0,0.0,1.0,-0.21,6.21,4.59,-1.54,2.96,3.03,-3.4,-6.05,8.33,13.99
2024-08-30,8064,東捷,光電業,-4.51,0.95,-31.12,65.7,747.0,-1757.0,-26.76,-19.87,-20.23,新光-新竹,1.33%,國泰-敦南,0.9%,兆豐-台中,0.51%,-1.32,-2.67,20048.58,104313.04,3.8,-2.93,1.81,1.1000000000000083,1.04,68.2,67.5,36596.18,28365.08,819.0,-1918.0,3.0,328.0,-257.0,-358.0,743.0,348.0,-2.09,2.0,-93.0,-449.0,0.0,0.0,0.0,-1771.0,-1.07,2.16,-147.0,-0.09,0.65,-1.07,0.0,0.0,0.0,0.0,0.0,0.0,-1.69,-2.56,-0.64,-2.14,-0.74,-0.81,-1.02,0.37,5.92,12.15
2024-08-30,6570,維田,電腦及週邊設備業,-2.91,0.82,-40.96,70.0,-24.0,-12.0,-4.80,-13.51,-8.45,富邦-新板,5.76%,玉山-台南,3.75%,(牛牛牛)亞-鑫豐,2.28%,-1.13,0.14,746.85,12292.91,2.52,0.58,0.43,5.900000000000006,1.14,70.7,69.9,699.84,536.41,24.0,33.0,1.0,0.0,-4.0,-3.0,-22.0,2.0,-inf,2.0,6.0,-21.0,0.0,0.0,0.0,16.0,0.04,2.37,17.0,0.05,0.26,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.32,0.09,-0.26,0.8,1.29,0.76,-0.08,9.41,11.6
2024-08-30,1438,三地開發,建材營造,-3.8,0.61,-27.5,83.5,119.0,-126.0,,,,新加坡商瑞銀,6.06%,港商野村,1.78%,群益金鼎-建成,1.31%,-1.08,1.46,841.43,2307.94,0.38,0.25,4.05,10.299999999999995,1.94,83.9,82.3,429.46,708.2,188.0,20.0,1.0,-47.0,-1.0,3.0,8.0,69.0,-1.06,2.0,-19.0,4.0,0.0,0.0,0.0,21.0,0.03,1.96,-1.0,-0.0,0.03,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.09,-0.36,-0.11,-0.84,-0.7,3.02,1.67,0.37,11.32
