date,id,name,category,三等份位階,20日跌幅,30N漲跌幅,當日漲跌幅,昨日漲跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,漲跌幅,成交量,20日最高成交量,20日最高價,3日前漲跌幅,前日漲跌幅,昨日漲跌幅.1,距20日最高價,最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券5增張,融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離,RSI
2026-04-14,2495,普安,電腦及週邊設備業,3,-26.4,48.67,4.31,4.51,41.1,1737.0,1470.0,,,,4.31,33222.49,50220.16,42.8,7.27,1.94,4.51,0.7999999999999972,42.0,0.0,39.4,39.4,10426.6,14610.64,2240.0,1486.0,3.0,11.0,54.0,222.0,65.0,54.0,287.0,222.0,19.18,4.0,1035.0,896.0,0.0,0.0,0.3,1291.0,0.47,7.9,195.0,0.07,0.7,0.54,-0.02,-0.02,-0.02,0.0,0.0,0.0,0.24,-0.09,3.09,0.47,0.14,2.64,3.66,5.81,5.54,7.76,78.27107532815846
2026-04-14,4927,泰鼎-KY,電子零組件業,3,-26.12,33.33,2.63,9.55,50.7,6371.0,2437.0,,,,5.19,46055.06,56354.99,53.8,9.93,-3.41,9.55,0.7999999999999972,53.0,2.49,49.4,48.2,13815.52,22584.29,5273.0,3492.0,2.0,85.0,-1.0,107.0,-3.0,85.0,148.0,107.0,0.26,2.0,2599.0,-1225.0,0.0,0.0,0.0,3471.0,1.83,16.85,21.0,0.01,0.13,1.28,0.0,0.0,0.0,0.0,0.0,0.0,4.13,5.2,-2.87,4.26,4.53,-5.15,4.81,7.12,6.66,10.59,75.06159449436957
2026-04-14,6789,采鈺,半導體業,3,-26.41,35.89,5.71,8.19,407.0,1091.0,-63.0,,,,10.0,17000.53,17000.53,407.0,-0.88,-0.74,8.19,0.0,407.0,4.05,385.0,370.0,2744.37,7756.35,367.0,224.0,2.0,26.0,-8.0,56.0,23.0,26.0,66.0,56.0,1.15,2.0,690.0,890.0,10.0,0.0,0.59,301.0,0.1,4.43,-87.0,-0.03,0.3,-0.02,0.0,-0.02,0.04,3.0,5.0,11.0,-0.03,0.12,-0.39,0.06,-0.13,-0.57,48.1,67.3,70.25,94.93,82.1876877292342
2026-04-14,8042,金山電,電子零組件業,2,-22.83,33.81,2.36,5.84,65.0,1741.0,-1577.0,,,,5.52,12039.81,12039.81,65.7,1.47,1.08,5.84,0.0,65.7,3.08,63.5,61.6,1119.2,3036.33,661.0,-1048.0,4.0,8.0,1.0,18.0,10.0,8.0,28.0,18.0,1.25,3.0,234.0,882.0,0.0,0.0,0.0,-1208.0,-0.93,8.02,160.0,0.12,0.73,-1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.16,-0.62,-0.04,0.48,-0.14,-0.01,6.48,8.9,9.46,6.36,79.12581820551085
2026-04-14,3289,宜特,其他電子業,3,-36.17,58.65,3.3,12.87,188.0,2176.0,1186.0,,,,9.94,3822.07,18776.8,188.0,9.85,3.32,12.87,0.0,188.0,6.43,182.0,171.0,12084.7,7733.17,2015.0,578.0,3.0,11.0,17.0,17.0,28.0,17.0,45.0,17.0,0.55,4.0,502.0,-125.0,0.0,0.0,0.38,471.0,0.62,16.54,107.0,0.14,1.07,1.57,0.0,0.0,0.0,0.0,0.0,0.0,6.75,7.38,5.26,9.84,9.71,6.48,27.6,42.85,46.57,56.28,86.5351456655315
2026-04-14,6821,聯寶,電子零組件業,3,-49.15,100.85,3.35,11.9,71.0,111.0,-99.0,,,,9.4,1551.46,7115.58,71.0,1.12,9.06,11.9,0.0,71.0,5.86,68.7,64.9,1401.76,1862.07,1.0,-13.0,3.0,32.0,5.0,16.0,-299.0,32.0,-22.0,32.0,-0.5,3.0,224.0,-36.0,0.0,0.0,0.0,-13.0,-0.04,1.13,-0.0,-0.0,0.0,-0.32,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.14,0.22,-0.74,-3.21,-5.58,10.5,12.41,20.84,29.46,81.66680977538059
2026-04-14,3504,揚明光,光電業,2,-19.75,24.6,4.83,9.33,60.8,185.0,-162.0,,,,5.92,2470.18,2470.18,62.8,-0.96,0.77,9.33,0.0,62.8,1.05,58.0,57.4,179.5,745.94,65.0,-340.0,4.0,8.0,2.0,9.0,13.0,8.0,22.0,9.0,0.12,3.0,-27.0,45.0,0.0,0.0,0.0,-339.0,-0.3,2.66,-1.0,-0.0,2.27,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,-0.36,-0.54,0.05,-0.09,-0.28,5.9,7.5,5.36,4.8,73.67600506448733
2026-04-14,6205,詮欣,電子零組件業,3,-26.28,42.26,9.6,10.44,68.5,1184.0,-231.0,,,,9.78,5847.11,5847.11,68.5,4.59,-0.35,10.44,0.0,68.5,0.16,62.5,62.4,1483.42,3595.7,886.0,-724.0,2.0,0.0,0.0,6.0,4.0,3.0,9.0,6.0,inf,5.0,565.0,604.0,0.0,0.0,0.25,-722.0,-0.88,2.13,-2.0,-0.0,0.09,-0.28,-0.02,-0.02,-0.02,0.0,0.0,0.0,0.18,0.33,-0.09,1.14,0.88,0.34,8.66,12.33,11.5,13.19,80.04022424240499
2026-04-14,6152,百一,通信網路業,2,-27.74,19.35,2.28,2.86,17.95,-77.0,-158.0,,,,-0.28,5908.38,9840.48,21.45,9.94,-1.92,2.86,2.9499999999999997,18.5,-2.5,17.55,18.0,8070.89,7047.77,102.0,-375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-380.0,-0.23,1.55,5.0,0.0,0.23,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.1,0.23,1.1,0.34,-0.98,0.21,0.99,0.04,1.78,55.78331175559993
2026-04-14,4720,德淵,化學工業,3,-22.28,36.75,6.48,4.32,20.55,8.0,-2762.0,,,,6.48,15447.65,15447.65,20.65,7.65,-5.33,4.32,0.0,20.65,0.0,19.3,19.3,4977.53,3530.72,590.0,-950.0,1.0,5.0,-1.0,-2.0,1.0,5.0,-1.0,5.0,-1.4,4.0,142.0,521.0,-1.0,-0.0,0.2,-1002.0,-0.97,5.72,53.0,0.05,0.53,-2.66,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.04,-0.27,-0.76,-2.72,-2.6,-4.49,1.25,1.96,2.62,3.45,73.08422721998504
