date,id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),融資增加,投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2022-12-05,1218,泰山,食品工業,46.15,2.21,0.87,46.55,41.55,-9.97,-11.41,7053.84,-2171.0,3.0,20.0,-47.0,-3.35,2.0,-17.0,349.0,-21.53,0.0,0.0,0.03,-1937.0,-0.39,3.06,-234.0,-0.05,0.05,-1959.0,-0.39,0.0,-0.0,0.0,1.0,2.0,11.0,-0.03,0.21,0.05,3.0,7.0,12.0,-0.25,0.13,-0.02,,,,-3.41,-1.33,0.29,3.42,元大-土城學府,4.59%,合庫-彰化,1.98%,元大-大同,1.79%
2022-12-05,1736,喬山,生技醫療業,77.4,1.18,0.65,77.9,85.1,9.95,0.0,9578.06,-16.0,2.0,0.0,123.0,inf,2.0,-169.0,938.0,-6.55,0.0,0.0,1.25,-333.0,-0.11,8.2,317.0,0.1,0.68,1170.0,0.39,-0.07,0.39,0.79,0.0,2.0,6.0,0.19,-0.07,-1.13,4.0,6.0,8.0,0.47,0.36,0.12,,,,6.72,7.51,13.38,11.52,富邦證券,12.31%,凱基-台北,2.56%,永豐金證券,2.52%
2022-12-05,1907,永豐餘,造紙工業,27.15,-1.27,-0.55,27.0,25.95,-4.42,-3.89,10120.67,-6318.0,5.0,1.0,6.0,5.0,3.0,31.0,503.0,15.23,0.0,0.0,0.06,-6338.0,-0.38,16.01,20.0,0.0,0.19,-5244.0,-0.32,0.0,0.0,0.0,1.0,2.0,10.0,-0.43,-0.44,0.42,1.0,3.0,13.0,-0.36,-0.42,-0.05,,,,-1.03,-1.23,-1.27,0.58,國票-安和,2.81%,美好-台南,1.91%,永豐金-復興,1.88%
2022-12-05,2359,所羅門,其他電子業,25.95,1.76,0.77,26.15,27.2,4.82,0.0,11338.95,-2226.0,4.0,-6.0,41.0,-7.83,2.0,-44.0,902.0,-21.5,0.0,0.0,0.0,-2226.0,-1.3,4.43,0.0,0.0,0.33,-1276.0,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.47,0.09,4.0,6.0,13.0,0.1,-0.43,-0.43,,,,1.38,2.12,2.52,3.16,永豐金-中正,4.24%,元大-樹林,2.62%,統一-桃園,2.25%
2022-12-05,2481,強茂,半導體業,65.7,0.15,0.0,65.7,66.0,0.46,0.0,5553.78,-595.0,3.0,9.0,-19.0,-3.11,4.0,-6.0,158.0,-27.33,100.0,0.03,0.49,-850.0,-0.22,11.37,155.0,0.04,0.43,-423.0,-0.11,0.16,0.16,-0.04,2.0,2.0,8.0,-1.18,-1.23,-0.17,1.0,4.0,13.0,-0.92,-0.85,-0.22,,,,1.78,3.84,5.31,7.21,統一,4.11%,康和,3.62%,永豐金證券,1.13%
2022-12-05,2495,普安,電腦及週邊設備業,20.7,2.99,0.0,20.7,20.15,-2.66,-4.5,4458.64,-1266.0,4.0,3.0,-11.0,-4.67,2.0,-122.0,653.0,-6.35,0.0,0.0,0.0,-1310.0,-0.48,21.55,44.0,0.02,0.25,-575.0,-0.21,0.0,-0.0,-0.0,0.0,0.0,0.0,1.14,0.97,2.04,4.0,7.0,13.0,0.77,0.33,1.57,,,,0.09,0.46,0.79,2.6,中國信託-新竹,4.42%,元富-大裕,3.72%,國泰-板橋,3.61%
2022-12-05,3017,奇鋐,電腦及週邊設備業,115.5,0.87,1.3,117.0,127.0,9.96,0.0,33364.1,5630.0,4.0,42.0,265.0,5.31,1.0,-113.0,1526.0,-14.5,-996.0,-0.28,17.15,6753.0,1.91,43.88,-127.0,-0.04,0.53,6965.0,1.97,-0.33,-0.04,-1.2,1.0,5.0,10.0,2.81,3.84,3.43,5.0,9.0,16.0,2.81,3.93,2.41,,,,10.6,14.05,18.15,19.1,凱基-台北,7.97%,台灣摩根士丹利,6.11%,新加坡商瑞銀,4.84%
2022-12-05,3062,建漢,通信網路業,25.4,2.63,0.2,25.45,25.9,1.97,0.0,10987.68,-764.0,4.0,49.0,2.0,-0.96,4.0,7.0,572.0,80.71,0.0,0.0,0.0,-806.0,-0.24,12.12,42.0,0.01,0.67,-193.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,-1.06,-1.27,-1.34,2.0,3.0,10.0,-0.73,-1.08,-1.63,,,,0.75,1.86,2.29,1.82,玉山證券,2.3%,合庫-台中,1.35%,永豐金-信義,0.93%
2022-12-05,3105,穩懋,半導體業,164.5,1.23,0.91,166.0,163.0,-0.91,-3.83,4676.97,-1598.0,1.0,-1.0,-22.0,21.0,3.0,-77.0,355.0,-5.61,118.0,0.03,1.37,-1643.0,-0.39,40.92,-73.0,-0.02,1.76,-1142.0,-0.27,0.16,0.2,0.22,5.0,8.0,13.0,-0.21,-0.17,0.85,1.0,5.0,13.0,-0.07,-0.01,1.14,0.59,-48.96,-27.42,2.8,3.8,8.78,22.53,台灣摩根士丹利,3.81%,元大-南勢角,2.42%,群益金鼎-大甲,2.16%
2022-12-05,3218,大學光,生技醫療業,286.0,5.15,0.7,288.0,303.0,5.94,-1.14,3146.15,12.0,3.0,5.0,15.0,2.0,3.0,-13.0,91.0,-8.0,58.0,0.07,2.19,-215.0,-0.27,29.1,169.0,0.21,0.78,-29.0,-0.04,0.28,0.46,0.63,3.0,7.0,11.0,-0.81,-1.48,-3.18,0.0,2.0,4.0,0.05,0.11,-1.13,,,,24.6,32.7,40.85,34.41,大展,2.45%,群益金鼎,2.35%,港商麥格理,1.59%
2022-12-05,3324,雙鴻,其他電子業,156.5,-0.95,0.64,157.5,159.0,1.6,-1.85,2228.18,118.0,2.0,-23.0,-1.0,-0.96,2.0,-16.0,89.0,-6.56,33.0,0.04,3.98,81.0,0.09,10.2,4.0,0.0,1.99,52.0,0.06,0.23,0.39,1.29,2.0,5.0,9.0,0.57,0.17,1.51,3.0,5.0,12.0,0.43,-0.85,0.81,,,,3.2,5.05,11.93,19.21,新加坡商瑞銀,4.17%,美商高盛,3.05%,國票證券,1.57%
2022-12-05,3454,晶睿,光電業,213.5,-3.17,0.23,214.0,212.0,-0.7,-3.42,9241.02,-1141.0,1.0,-52.0,-164.0,2.15,3.0,42.0,524.0,11.48,24.0,0.03,2.31,-1139.0,-1.32,6.13,-26.0,-0.03,1.58,-614.0,-0.71,0.52,0.56,-1.47,5.0,7.0,10.0,-1.1,-0.05,-3.09,2.0,3.0,6.0,-0.93,1.4,-1.31,,,,2.4,18.95,27.88,58.7,凱基-中山,1.1%,國票-敦北法人,0.83%,永豐金-桃園,0.77%
2022-12-05,3466,致振,通信網路業,31.35,1.95,0.48,31.5,29.75,-5.1,-5.85,1711.95,-364.0,4.0,6.0,2.0,-0.67,1.0,-45.0,184.0,-5.09,0.0,0.0,0.0,-365.0,-0.6,11.6,1.0,0.0,0.08,-67.0,-0.11,0.0,0.0,-0.0,0.0,0.0,0.0,0.88,2.59,2.78,4.0,9.0,16.0,0.07,0.27,1.08,,,,-0.63,-0.27,1.01,4.05,元富,12.15%,台中銀-豐原,3.74%,台灣摩根士丹利,3.1%
2022-12-05,3587,閎康,其他電子業,144.5,2.12,1.04,146.0,147.0,1.73,-2.65,2699.74,310.0,2.0,4.0,-3.0,-1.75,4.0,3.0,113.0,36.67,328.0,0.53,6.36,-61.0,-0.1,4.04,43.0,0.07,0.47,296.0,0.48,0.38,0.47,0.69,1.0,2.0,7.0,0.25,0.91,1.94,3.0,6.0,13.0,0.48,0.81,1.29,,,,4.4,4.75,6.12,10.54,兆豐證券,5.07%,凱基-台北,3.74%,統一-仁愛,3.44%
