date,id,name,category,A轉跌幅,回彈,20日跌幅,收盤價,昨日主力,主力買賣超(張),月增率%,年增率%,累計年增率%,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3,昨日A轉跌幅,漲跌幅,成交量,20日最高成交量,3日前漲跌幅,前日漲跌幅,昨日漲跌幅,距20日最高價,開盤位置,開盤價,昨日收盤價,前日成交量,昨日成交量,昨日三大,三大買賣超,融券5N,昨日融券,前日融券,融券差額(張),昨日融券5增張,昨日融券5MAX,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,主力5買%,主力10買%,主力20買%,ma5距離,ma10距離,ma20距離,ma60距離
2024-07-04,2349,錸德,光電業,0.0,1.0,-46.36,16.5,4752.0,-11440.0,0.37,4.39,7.59,新加坡商瑞銀,2.42%,國泰-敦南,2%,美林,1.32%,0.0,10.0,41086.9,137415.5,9.69,9.64,9.89,0.0,8.33,16.25,15.0,137415.5,50028.56,7078.0,-7180.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-7180.0,-1.04,10.98,0.0,0.0,0.54,-1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.78,1.3,-0.79,0.51,0.58,2.71,4.82,6.12,7.67
2024-07-04,3048,益登,電子通路業,0.0,1.0,-39.84,49.7,9414.0,1457.0,0.36,7.74,5.50,元富-台中,13.78%,元富,12.57%,元富-城中,3.71%,0.0,9.96,10422.72,76104.87,3.61,-1.32,9.98,0.0,7.85,48.75,45.2,13164.51,34773.68,1134.0,-119.0,4.0,483.0,-79.0,378.0,642.0,483.0,-0.22,3.0,-80.0,718.0,0.0,0.0,0.0,-113.0,-0.05,3.13,-6.0,-0.0,0.25,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.83,-0.17,-0.34,4.77,3.94,2.79,6.13,8.24,10.78,19.9
2024-07-04,3229,晟鈦,電子零組件業,0.0,0.98,-35.08,29.25,161.0,31.0,21.50,31.90,-7.91,統一,7.68%,華南永昌-楠梓,5.95%,元大-台中,4.74%,0.0,9.96,1327.92,2318.98,-2.5,-4.54,9.92,0.25,9.96,29.25,26.6,461.31,677.68,62.0,17.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.06,1.21,-1.0,-0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.67,0.67,0.74,0.2,-2.29,2.97,3.09,3.72,10.31
2024-07-04,4562,穎漢,電機機械,0.0,1.0,-48.94,66.3,5643.0,334.0,-5.00,15.28,-7.84,群益金鼎,17.93%,統一,11.19%,富邦-南屯,10.48%,0.0,9.95,3814.82,60064.21,9.88,-1.26,9.84,0.0,9.95,66.3,60.3,47527.89,30477.0,2445.0,322.0,4.0,187.0,-87.0,187.0,522.0,412.0,0.0,4.0,927.0,227.0,0.0,0.0,0.0,339.0,0.39,6.0,-17.0,-0.02,0.55,0.38,0.0,0.0,0.0,0.0,0.0,0.0,4.48,3.25,3.76,7.79,4.6,5.98,8.76,13.45,17.92,32.33
2024-07-04,8028,昇陽半導體,半導體業,0.0,1.0,-43.62,110.5,4989.0,1238.0,3.05,-14.01,-13.90,港商野村,9.32%,富邦證券,7.71%,元大-土城永寧,3.44%,0.0,9.95,14232.88,62092.95,0.23,3.27,9.72,0.0,6.47,107.0,100.5,20811.73,17661.35,492.0,1316.0,4.0,464.0,-46.0,235.0,444.0,464.0,-0.49,4.0,2160.0,620.0,0.0,0.0,0.13,1227.0,0.71,7.53,89.0,0.05,2.24,0.72,0.0,0.0,0.13,0.0,0.0,3.0,0.82,-0.07,2.42,3.62,2.19,5.77,14.54,19.87,27.39,44.9
2024-07-04,3498,陽程,其他電子業,0.0,1.0,-37.57,57.5,1939.0,671.0,-20.02,-75.22,-67.32,國票-安和,6.26%,統一,6.2%,統一-城中,5.7%,0.0,9.94,5193.34,17965.5,-4.88,6.14,9.99,0.0,5.16,55.0,52.3,12582.28,11106.3,946.0,-637.0,3.0,209.0,34.0,279.0,307.0,209.0,0.33,1.0,-6.0,-72.0,0.0,0.0,0.0,-622.0,-0.99,2.71,-15.0,-0.02,1.17,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.57,1.02,1.17,2.19,5.53,5.07,7.65,10.19,15.3,19.62
2024-07-04,2365,昆盈,電腦及週邊設備業,0.0,1.0,-37.06,49.25,14807.0,2169.0,1.99,55.65,34.00,中國信託-松江,9.94%,元大-土城永寧,6.19%,國票-安和,3.11%,0.0,9.93,16089.42,162192.75,4.64,0.37,9.94,0.0,9.15,48.9,44.8,80157.99,79996.37,2629.0,25.0,4.0,2233.0,-6.0,332.0,2562.0,2233.0,-0.85,4.0,1376.0,2351.0,0.0,0.0,0.0,79.0,0.04,3.91,-54.0,-0.02,0.31,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.49,-0.12,-5.27,8.25,6.84,1.49,6.41,9.25,12.05,20.86
2024-07-04,3219,倚強科,其他電子業,0.0,1.0,-49.02,76.5,45.0,-61.0,48.85,101.08,19.69,元大-林森,9.03%,國票證券,6.44%,元富-松德,5.82%,0.0,9.91,808.3,2316.51,-4.2,-0.78,9.95,0.0,5.6,73.5,69.6,298.87,1140.52,6.0,17.0,3.0,43.0,1.0,8.0,19.0,43.0,-0.81,3.0,279.0,151.0,0.0,0.0,0.0,17.0,0.02,0.45,0.0,0.0,0.08,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-1.06,-0.21,-0.42,-1.17,8.54,8.65,16.5,30.08
2024-07-04,6937,天虹,半導體業,0.0,1.0,-24.22,256.0,623.0,-212.0,-0.67,14.72,6.96,元大-松山,5.53%,摩根大通,1.83%,元大-竹科,1.76%,0.0,9.87,4159.45,4159.45,0.7,-1.62,9.91,0.0,8.58,253.0,233.0,561.95,1713.63,158.0,199.0,1.0,0.0,0.0,48.0,0.0,0.0,inf,5.0,590.0,368.0,0.0,0.0,0.0,198.0,0.29,1.04,1.0,0.0,0.24,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.64,0.68,0.26,0.52,0.4,29.9,39.2,48.85,48.52
2024-07-04,8374,羅昇,電機機械,0.0,1.0,-49.87,119.5,281.0,162.0,11.98,0.02,-9.82,國票-安和,57.69%,台新證券,9.62%,凱基,9.44%,0.0,9.63,571.51,21982.62,9.98,9.96,9.66,0.0,9.63,119.5,109.0,21982.62,5866.0,705.0,-1.0,4.0,-11.0,496.0,144.0,587.0,496.0,-14.09,3.0,207.0,-53.0,0.0,0.0,0.0,-1.0,-0.0,3.79,0.0,0.0,0.63,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.64,0.98,2.77,2.28,0.36,19.4,29.46,38.1,67.62
